tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.79417119990103,None,262.52475959581466,6.652210799972767,0.00033169123514790197,0,"[0.7768706905270497, 0.48065406489486096, 0.5061073136580274, 0.46513789094749164]","[779.0838265833413, 243.64550503140964, 1124.0608907427181, 1096.5247907209207]",None,"[5.16241742518486, 12.341250460895301, 8.975157741519983, 8.162925942570439]",False,192.79804180003703,195.59321309998631,195.59321309998631,196.81880269991234,None,0,3.2701264501083642,4.288750450126827,None,1,['space'],0,[0.34337369981221855],,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.11204160004854,None,5958.19853405341,-13.148902913724053,2.58383301696647e-05,0,"[0.40470129551999157, 0.7453008958632212, 0.40913939083625933, 0.726920319004376]","[1182.256327598971, 1771.3830223237744, 2654.075718206916, 3976.620431155983]",Perfect_5th,"[9.0, 10.841202016064528, 12.254883937865648, -2.0]",False,198.12551510008052,200.72309540002607,200.72309540002607,201.93277610000223,None,0,3.31769905006513,4.334022450027987,None,1,['space'],0,[0.3819597000256181],,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.48603689996526,None,6091.604875636251,-13.0,2.6906481917313465e-05,1,"[0.6815990417310978, 0.6815990417310978, 0.6815990417310978, 0.6815990417310978]","[1208.7274984699495, 1811.0449649729735, 2713.501487560888, 4065.6584819278814]",Perfect_5th,"[9.649313447323593, 11.0, 12.0, -3.0]",False,203.48155510006472,206.56375809991732,206.56375809991732,207.7841789999511,['space'],1,3.76135704992339,4.775529050035402,None,1,None,1,,[0.02913709986023605],,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.28011799999513,None,353.5533905932738,-2.0,7.038727582816145e-05,1,"[0.7823849362175779, 0.7823849362175779, 0.7823849362175779, 0.7823849362175779]","[5419.477764871378, 156.5491463543163, 761.1309755343232, 281.01926455658236]",None,"[-8.44087783935553, 12.880741781152295, 5.16241742518486, 12.884343599480179]",False,209.30738719995134,212.67818420007825,212.67818420007825,213.89483770006336,['space'],1,4.137506450060755,5.147067449986935,None,1,None,1,,[0.062106600031256676],,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.5028280999977,None,,,,,"[0.4037019232332198, 0.4037019232332198, 0.4037019232332198, 0.4037019232332198]","[6657.7185799663275, 5931.352948631121, 5284.234738773387, 4707.717955125861]",Tone,"[-5.0, -7.1489029137240525, -8.44087783935553, -7.0]",True,215.4889996999409,217.7196289000567,217.7196289000567,218.94066309998743,['space'],0,2.6469143501017243,3.6643513501621783,None,1,None,1,,[0.0651738999877125],0,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.17503549996763,None,406.12619817811805,2.0,9.598216571527888e-05,1,"[0.44884211329239476, 0.44884211329239476, 0.44884211329239476, 0.44884211329239476]","[161.17128855494758, 203.06309908905908, 255.84347299919395, 322.34257710989505]",Major_3rd,"[12.208275013174095, 11.489678846650868, 12.341250460895301, 12.977149928426584]",False,220.20139060006477,222.5751944000367,222.5751944000367,223.7899758000858,['space'],1,2.824930150061846,3.839473450090736,None,1,None,1,,[0.2118387999944389],,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.08357760007493,None,378.9291416275994,2.0,0.00010326279949859523,1,"[0.4215240630928292, 0.5986741761854817, 0.7701933131117795, 0.4235537477164393]","[634.9051434198246, 790.1110340124843, 1250.5380383444758, 207.45816741304048]",None,"[6.0, 5.363737063009177, 9.649313447323593, 11.489678846650868]",False,225.10759230004624,227.92440099990927,227.92440099990927,229.12534740008414,['space'],1,3.2235662499442697,4.240839549805969,None,1,None,1,,[0.24227470019832253],,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.40118560008705,None,5378.829016888877,-14.44087783935553,2.631911047794334e-05,1,"[0.6281798602754496, 0.6281798602754496, 0.6281798602754496, 0.6281798602754496]","[236.81951571123153, 1032.9035290557417, 903.8706211047837, 868.7014723278509]",None,"[12.0, 8.0, 6.0, 5.81671246552616]",False,230.40942239994183,233.32004770007916,233.32004770007916,234.54709809995256,['space'],1,3.559725849889219,4.576886849943548,None,1,None,1,,[0.04759019985795021],,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.01947530009784,None,,,,,"[0.42444252360485685, 0.7492203974633711, 0.5421406710052374, 0.7333397940452233]","[1667.9894563393661, 171.10687682127235, 207.26941143586023, 226.29407127678525]",None,"[10.667652715985808, 12.0, 11.489678846650868, 11.994205410041342]",True,236.0202560001053,238.78029470006004,238.78029470006004,239.99753629998304,None,1,3.4966910500079393,4.502578750019893,None,1,['space'],0,[0.3963427001144737],,0,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.55046860012226,None,406.12619817811805,2.0,9.598216571527888e-05,1,"[0.728467560167178, 0.6440038503929404, 0.6071449421466251, 0.5130761394659772]","[644.6851542197901, 574.349177498518, 511.68694599838784, 455.86124427910875]",Tone,"[5.583743565933323, 7.0199997600909985, 9.0, 10.105712428777647]",False,241.5724764999468,244.57454670011066,244.57454670011066,245.7991963000968,['space'],1,3.5246888499241322,4.537820050027221,None,1,None,1,,[0.14412609999999404],,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.1515117001254,None,275.13071061385244,6.652210799972767,0.0003029669123017985,1,"[0.7590784757607925, 0.7551080463371843, 0.6520459949069821, 0.69507831875943]","[327.00140052616683, 5111.511989495174, 1682.2970253174317, 1601.2452156024283]",None,"[12.977149928426584, -8.44087783935553, 10.667652715985808, 10.667652715985808]",False,247.1629411999602,250.34163819998503,250.34163819998503,251.54708970012143,['space'],1,3.8848544501233846,4.893032350111753,None,1,None,1,,[0.13552280003204942],,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.09326480003074,None,1444.007846394714,4.417032437983572,8.263113933681005e-05,1,"[0.5651724161166276, 0.5651724161166276, 0.5651724161166276, 0.5651724161166276]","[2292.219574417303, 2042.1354805445696, 1819.335881886063, 1620.8440050390172]",Tone,"[12.55667241725619, 11.616156682525062, 11.0, 10.667652715985808]",False,253.09947660006583,255.8184873999562,255.8184873999562,257.01819199998863,['space'],1,3.2830399498343468,4.295681949937716,None,1,None,1,,[0.18408909998834133],,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.43273329990916,None,,,,,"[0.4109152844811274, 0.7894179583490615, 0.51119426977838, 0.6117113338514772]","[2836.5380746214373, 3183.9063373471035, 3573.8140290438237, 4011.4706153173033]",Tone,"[11.175891324766763, 8.0, 3.0, -2.1218966447230265]",True,258.44025090010837,261.16981410002336,261.16981410002336,262.3711208999157,['space'],0,3.3639367499854416,4.371011449955404,None,1,None,1,,[0.6433480000123382],0,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.83717789989896,None,5656.85424949238,-19.0,1.4420594760332665e-05,0,"[0.6205970919811874, 0.7416976100233553, 0.7971692747505521, 0.4577248710150348]","[2953.6985929258562, 271.8681771469517, 923.8552835169346, 343.3579202973664]",None,"[10.0, 12.652210799972767, 6.486717348887886, 12.784698087435721]",False,263.92407670011744,267.1007131000515,267.1007131000515,268.3087299000472,None,0,3.6570740996394306,4.684856599662453,None,1,None,1,,,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.6260130999144,None,3712.6007891357417,-5.0,4.436601192619895e-05,1,"[0.4985761284035217, 0.5698773073153778, 0.42530806447976016, 0.6907273910882226]","[1130.151525275082, 175.2007406033787, 676.8988814184094, 1996.2668852075399]",None,"[8.975157741519983, 11.72279626284238, 5.583743565933323, 11.616156682525062]",False,269.63586689997464,272.13569279992953,272.13569279992953,273.34363160002977,['space'],1,3.219420050038025,4.229035150026903,None,1,None,1,,[0.08618959994055331],,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.90165330003947,None,615.5722066724584,-1.0,4.760651710325358e-05,1,"[0.6883280349826767, 0.4378038911370179, 0.7111811669942115, 0.5544052605705815]","[285.0595539850841, 614.1127452943654, 2031.732241923418, 4043.9787370915456]",None,"[12.884343599480179, 6.194639860553464, 11.616156682525062, -2.1218966447230265]",False,275.7487610001117,278.62295079999603,278.62295079999603,279.8539344999008,['space'],1,3.405243349960074,4.418825349770486,None,1,None,1,,[0.2432185998186469],,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
,,,,0,0,0,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.20059969997965,None,1643.9652007077864,4.667652715985808,0.00010052748787733567,0,"[0.5339135598828376, 0.47757269596354107, 0.6160722700394508, 0.7332636333616616]","[308.5113397282523, 171.96095783707295, 2531.095285838123, 465.15033522350126]",None,"[13.00264281714749, 12.0, 12.662837838969763, 10.105712428777647]",False,281.20165059994906,283.852493399987,283.852493399987,285.07464240002446,None,0,3.406462350161746,4.430683150188997,None,1,['space'],0,[0.5875442000105977],,,,,,,nunamh,001,fr,0,0,2022-05-17_11h14.45.197,Cluster,2022.1.1,None,
