tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_both,Audiogram_none,Audiogram_time,Audiogram_frequency,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.08070810000936,None,353.5533905932738,19.0,0.0007897582242723967,0,"[0.675757517974011, 0.7136348056901978, 0.45857184773310006, 0.736958289167721]","[1781.7974362806788, 1189.2071150027211, 793.7005259840998, 529.7315471796477]",Perfect_5th,"[29.769780792544555, 27.0, 25.383581342819372, 25.788902942437673]",False,173.87964670000656,176.74041320000833,176.74041320000833,177.9453707000066,None,0,3.6025858000066364,4.636227600014536,None,1,['space'],0,[0.3982484000007389],,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.55873760000395,None,7468.393874478469,8.58243639270409,0.0004443471347007452,1,"[0.6185644205117377, 0.5919586765942993, 0.417523409270736, 0.5436441797705428]","[2648.2830712580435, 4996.545916453832, 366.06480890386774, 1343.643556366058]",None,"[28.958951076732028, 22.0, 25.57041546457009, 28.0]",False,179.5654394000012,182.22272670001257,182.22272670001257,183.45117570000002,['space'],1,3.210321466671303,4.242540266670403,None,1,None,1,,[0.8908167000045069],,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.84169960000145,None,,,,,"[0.5643990254214605, 0.5643990254214605, 0.5643990254214605, 0.5643990254214605]","[2625.5272838775622, 2083.882386199226, 1653.9785460153264, 1312.7636419387811]",Major_3rd,"[28.958951076732028, 29.64975290668494, 29.546558954001995, 27.993129379184833]",True,184.85476590000326,187.5592037000024,187.5592037000024,188.79375230000005,None,1,3.2837702666583937,4.30639736665762,None,1,None,1,,,0,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1924616000033,None,264.6622168712539,18.45503826001906,0.0012718942506624985,1,"[0.712805525989973, 0.604402985917068, 0.7637556124873375, 0.734744440150142]","[166.72674907396743, 187.14444827352833, 210.0625407388321, 235.7872297507806]",Tone,"[27.0, 26.05866239498316, 25.500858518366996, 24.653218692910055]",False,190.19779720000224,193.3191652000096,193.3191652000096,194.54866560001392,['space'],1,3.84361786665977,4.869549466660828,None,1,None,1,,[0.4248600999999326],,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.1077626000042,None,436.70703498561204,20.094873375709398,0.0007549892768945163,1,"[0.5215220177056268, 0.5215220177056268, 0.5215220177056268, 0.5215220177056268]","[173.30730168451854, 218.3535174928061, 275.1081930077748, 346.61460336903696]",Major_3rd,"[26.61195803563669, 25.0, 24.45503826001906, 25.57041546457009]",False,196.12877920000756,198.7038353000098,198.7038353000098,199.9362417000084,['space'],1,3.1216624666558346,4.156651666664402,None,1,None,1,,[0.2887157999939518],,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.31492500001332,None,901.1665369829661,19.42587904797925,0.0003860544492814302,1,"[0.7536386708653862, 0.7536386708653862, 0.7536386708653862, 0.7536386708653862]","[371.26775978831375, 7571.209118621298, 227.67801599203284, 2863.4073838314093]",None,"[25.849647623110307, 14.58243639270409, 24.653218692910055, 28.64606431841785]",False,201.32255050000094,204.6074418000062,204.6074418000062,205.84291920000396,['space'],1,4.030931566667277,5.036917066667229,None,1,None,1,,[0.33053469999867957],,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.38744560000487,None,,,,,"[0.6058166484738946, 0.6058166484738946, 0.6058166484738946, 0.6058166484738946]","[554.0901552463837, 3415.702098571066, 851.1901400761296, 483.1844968322204]",None,"[25.788902942437673, 27.205984099293445, 25.42587904797925, 26.0]",True,207.3935429000121,210.24548090000462,210.24548090000462,211.46165150000888,None,1,3.4677881666721078,4.492159566667397,None,1,None,1,,,0,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.9124526000087,None,353.5533905932738,19.0,0.0007897582242723967,1,"[0.42502720629486956, 0.7492426812594599, 0.5839000162706898, 0.6872289585311369]","[134.575501260468, 2701.0662236354588, 2496.2725663587776, 751.8346488108845]",None,"[27.64817655585913, 28.958951076732028, 29.22822029262, 25.38904172910234]",False,212.92474070000753,215.71362210001098,215.71362210001098,216.92904790000466,['space'],1,3.4724435666721547,4.506449366672314,None,1,None,1,,[0.29881949999253266],,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.472488600004,None,3507.6759925352185,21.205984099293445,0.000865131325114132,1,"[0.6697786156458598, 0.4113765111713954, 0.40091543415666475, 0.5207268499264375]","[2081.4082545879737, 1819.6984596813995, 254.52755794776925, 5952.632395505025]",None,"[29.64975290668494, 29.841789413468156, 24.465335243177176, 18.0]",False,218.48082830000203,220.98387520000688,220.98387520000688,222.1937420000031,['space'],1,3.0250175666587893,4.059597666666377,None,1,None,1,,[0.3862761999916984],,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.57960730000923,None,176.7766952966369,19.0,0.003119565241000184,1,"[0.5841619554822539, 0.48133320729661516, 0.5506693850144792, 0.6748727655208686]","[280.61551207734334, 250.00000000000006, 222.72467953508487, 198.42513149602496]",Tone,"[24.606844944034993, 24.465335243177176, 25.0, 25.500858518366996]",False,223.6012461000064,226.23052340000868,226.23052340000868,227.4665265000076,['space'],1,3.316285633321968,4.348263833322562,None,1,None,1,,[0.6976950999960536],,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,11,0,11,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.98225490000914,None,4745.0269140810815,17.0,0.00095715979415473,0,"[0.5151456562272915, 0.4397476044256136, 0.40159084928437466, 0.7475457466808713]","[2989.1796456842326, 3355.2407078594097, 3766.1303575148636, 4227.338395296245]",Tone,"[28.268439788568884, 27.7872268042997, 26.490680930160096, 25.0]",False,228.99361110001337,231.36863290000474,231.36863290000474,232.58239740000863,None,0,3.124428266659379,4.153357066650642,None,1,None,1,,,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,12,0,12,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.18383390000963,None,,,,,"[0.6789674013227618, 0.6789674013227618, 0.6789674013227618, 0.6789674013227618]","[1613.91117121744, 205.19900626144127, 159.59946843913016, 1789.427433939783]",None,"[29.546558954001995, 25.500858518366996, 27.100592925878615, 29.769780792544555]",True,234.1874780000071,237.2497241000092,237.2497241000092,238.46341460000258,None,1,3.7333787666575518,4.763322966668056,None,1,None,1,,,0,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.97922540000582,None,189.4645708137998,21.0,0.003408826918638871,1,"[0.5315064257826241, 0.4688450095631341, 0.49909064753360877, 0.6007798326621836]","[181.76497912097585, 929.7656184963449, 3161.2428223572842, 1684.5758279910806]",None,"[26.61195803563669, 25.550552382978218, 28.0, 29.769780792544555]",False,239.99669290000747,242.51950130000478,242.51950130000478,243.73171600000933,['space'],1,3.115304966675467,4.153428966674255,None,1,None,1,,[0.2681276999937836],,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.20331520000764,None,189.4645708137998,21.0,0.003408826918638871,1,"[0.6612261826422856, 0.6612261826422856, 0.6612261826422856, 0.6612261826422856]","[477.4208019552084, 378.9291416275996, 300.7562590205292, 238.7104009776042]",Major_3rd,"[26.0, 25.849647623110307, 24.88373465489432, 24.653218692910055]",False,245.26267600001302,248.28067710000323,248.28067710000323,249.5167322000052,['space'],1,3.6760702333267545,4.7017381333280355,None,1,None,1,,[0.2874232999893138],,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0067859000119,None,139.3652010294307,21.639725384498178,0.007184201550838704,1,"[0.4590666218684672, 0.4590666218684672, 0.4590666218684672, 0.4590666218684672]","[221.22846672187788, 197.0921574186737, 175.58915039981036, 156.4321490105423]",Tone,"[25.0, 25.500858518366996, 26.61195803563669, 27.4547801860206]",False,251.02092040001298,253.43901310001092,253.43901310001092,254.65039770001022,['space'],1,2.881060266663553,3.9147049666644307,None,1,None,1,,[0.22988169999734964],,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.97339110000758,None,,,,,"[0.7822882933184643, 0.7822882933184643, 0.7822882933184643, 0.7822882933184643]","[468.06349703937326, 416.9971695206621, 371.50224379410764, 330.9708727824303]",Tone,"[26.050848273502336, 26.031910949287646, 25.849647623110307, 25.23241404027677]",True,255.9796764000057,259.3663383000094,259.3663383000094,260.57801180001115,None,1,4.1680874666635646,5.203077466663672,None,1,None,1,,,0,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
