tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.33650010009296,None,248.57927624016617,-1.6602460559522887,0.0001406423481439217,1,"[0.6860030226069511, 0.6860030226069511, 0.6860030226069511, 0.6860030226069511]","[1252.7610508104715, 836.1176891868744, 558.0416071515967, 372.4480887555245]",Perfect_5th,"[7.0, 6.567802545951723, 10.29197494321869, 7.0]",False,127.33064100006595,130.41791050008032,130.41791050008032,131.65271360008046,['space'],1,[0.2961081999819726],3.789793466567062,4.825235266587697,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.19043250009418,None,406.12619817811805,-3.0,5.3974738262969606e-05,1,"[0.48198853184199875, 0.48198853184199875, 0.48198853184199875, 0.48198853184199875]","[161.17128855494758, 203.06309908905908, 255.84347299919395, 322.34257710989505]",Major_3rd,"[7.314859589979637, 6.091034987671367, 4.339753944047711, 5.0]",False,133.70616729999892,136.18936429999303,136.18936429999303,137.4187755000312,['space'],1,[0.0707956999540329],2.939713566796854,3.971848566783592,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.72181560005993,None,,,,,"[0.49294558920726994, 0.7274715771541409, 0.6935042681522172, 0.6064946127376771]","[607.0062522424438, 909.4817634432455, 1362.6829624572988, 2041.717526189052]",Perfect_5th,"[9.728343920540128, 5.794435681114329, 7.352140834021614, 9.289393373675585]",True,138.74601600004826,141.68198400002439,141.68198400002439,142.89837740000803,['space'],0,[0.34228370001073927],3.554925366654061,4.570084766717628,None,1,None,1,0,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.35031120001804,None,3813.6310361942737,-8.218954191854056,3.131534048662961e-05,1,"[0.6566790155746118, 0.6566790155746118, 0.6566790155746118, 0.6566790155746118]","[756.7202398341707, 1133.7992905593576, 1698.7795008028463, 2545.293348105941]",Perfect_5th,"[7.283414805690885, 6.386062410243027, 8.884424055216082, 8.0]",False,144.34727920009755,147.35442700004205,147.35442700004205,148.59228860004805,['space'],1,[0.11683970002923161],3.6522088666679338,4.688315866747871,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,5,0,5,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.08101720002014,None,132.65590841510618,0.19942613278023336,0.0006697631676675637,1,"[0.43290314950220843, 0.4279225299770912, 0.7721989599899038, 0.5164824771527146]","[254.32278649670425, 531.9591801938257, 504.36035707345104, 515.799946201118]",None,"[4.339753944047711, 10.563290713616208, 10.506260120300766, 10.506260120300766]",False,150.11097310006153,152.76793680002447,152.76793680002447,154.00296830001753,['space'],1,[0.8329245999921113],3.173528666724451,4.197105266735889,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.33965010009706,None,406.12619817811805,-3.0,5.3974738262969606e-05,0,"[0.6470054550242301, 0.46448786362446204, 0.7046182131091467, 0.7570876681151755]","[666.8228386695945, 312.13787791657734, 150.06791849939074, 418.6072154533436]",None,"[8.969791673775818, 5.0, 7.0, 9.0]",False,155.888090500026,158.72892020002473,158.72892020002473,159.94943859998602,None,0,,3.5998704000376165,4.642171900020912,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.58263210009318,None,1866.0659830736151,-2.0,5.462138219158348e-05,0,"[0.6152721566513062, 0.6152721566513062, 0.6152721566513062, 0.6152721566513062]","[1175.5479062836087, 1319.5079107728943, 1481.0975522865645, 1662.4757922855758]",Tone,"[6.386062410243027, 7.352140834021614, 8.0, 8.583577695568755]",False,161.61263069999404,164.49785150005482,164.49785150005482,165.73543820006307,None,0,,3.481559266685508,4.496598266647197,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.1549538000254,None,,,,,"[0.43304602619363985, 0.487209631197264, 0.7891794796179993, 0.40084069641761944]","[2706.9513573682966, 1806.6732775574367, 1205.8097471738333, 804.7814535371629]",Perfect_5th,"[7.0, 9.0, 6.852407138679844, 6.567802545951723]",True,167.1568155999994,169.88388400000986,169.88388400000986,171.11529370001517,None,1,,3.1540825667325407,4.172374266781844,None,1,None,1,0,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.36075930006336,None,378.9291416275994,-2.0,6.515442175522428e-05,1,"[0.6090554503556602, 0.5231306793286816, 0.6371741644371435, 0.6941554698905301]","[1909.6832078208326, 1274.5606273192618, 850.6671609508554, 567.7522145354385]",Perfect_5th,"[9.133831670886767, 7.0, 6.060043595139046, 10.29197494321869]",False,172.3755620000884,175.16956800001208,175.16956800001208,176.39705630007666,['space'],1,[0.4431297000264749],3.4857894332380965,4.522630933322944,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.93818450008985,None,833.4059302902858,0.5678025459517234,4.197361586714395e-05,1,"[0.7641724868833523, 0.7641724868833523, 0.7641724868833523, 0.7641724868833523]","[223.0954509200866, 2763.643044373475, 857.7597489816524, 2917.5133731496153]",None,"[5.0, 6.0, 6.060043595139046, 5.0]",False,177.936554600019,181.25876400002744,181.25876400002744,182.497686500079,['space'],1,[0.2390633000759408],4.084245566744357,5.1128578666830435,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.09429240005556,None,221.64440570902738,-0.595488938186178,0.0002082581079653036,1,"[0.6449187724192801, 0.6449187724192801, 0.6449187724192801, 0.6449187724192801]","[1117.017809376972, 745.5199448870443, 497.5748672569371, 332.0913816239621]",Perfect_5th,"[6.386062410243027, 7.283414805690885, 10.506260120300766, 5.489819512384157]",False,184.0954853000585,187.06943800009321,187.06943800009321,188.30799670005217,['space'],1,[0.3156199000077322],3.6092377668246627,4.626314566819929,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.7738657000009,None,,,,,"[0.7132915175234434, 0.4605213753031256, 0.6373537966240238, 0.7026499019858758]","[6064.121160162923, 1227.707463051564, 3871.4842689735924, 582.3448430119405]",None,"[3.2849684731018804, 6.852407138679844, -3.0, 10.29197494321869]",True,189.7847255000379,192.6329740000656,192.6329740000656,193.8433989000041,None,1,,3.5318240666529164,4.555706066661514,None,1,None,1,0,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.37841300002765,None,1231.1444133449168,-3.0,3.8031236666942956e-05,1,"[0.5587636312736161, 0.5587636312736161, 0.5587636312736161, 0.5587636312736161]","[488.5799842171233, 615.5722066724585, 775.5723809168677, 977.1599684342464]",Major_3rd,"[10.506260120300766, 9.728343920540128, 7.0, 5.786718495687481]",False,195.47231910005212,198.16457150003407,198.16457150003407,199.38967850001063,['space'],1,[0.3476946000009775],3.2574938333127648,4.296743133338168,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.8188605000032,None,534.0247893992617,4.563290713616209,0.00011184274889177604,1,"[0.5190480523342806, 0.5190480523342806, 0.5190480523342806, 0.5190480523342806]","[336.41453666490315, 377.61254990593585, 423.8557562347421, 475.76200033096694]",Tone,"[6.0, 7.468817621763936, 9.0, 10.11333014808455]",False,200.83272529998794,203.44096170004923,203.44096170004923,204.65440130000934,['space'],1,[0.5783232999965549],3.104013866861351,4.146302766865119,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0182964000851,None,942.3105290380444,-0.20556431888567062,4.1420825806261006e-05,1,"[0.6925649507112744, 0.5681811888273357, 0.4484304961474346, 0.5730371966953913]","[255.60964534150455, 964.0279362065716, 4545.848103906095, 4925.828836555287]",None,"[4.339753944047711, 5.794435681114329, -3.5669840555213455, -2.4511633178272483]",False,206.01798520004377,208.7418574000476,208.7418574000476,209.97056380007416,['space'],1,[0.5856138999806717],3.304202466737479,4.338315866771154,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.40218269999605,None,406.12619817811805,-3.0,5.3974738262969606e-05,1,"[0.69913174699697, 0.69913174699697, 0.69913174699697, 0.69913174699697]","[4337.255033535281, 2979.7985172752556, 514.6846081727473, 231.02247361321406]",None,"[-3.9208068451520646, 4.0, 10.506260120300766, 4.777367351145056]",False,211.43102680006996,214.56488409999292,214.56488409999292,215.78298940008972,['space'],1,[0.33443210006225854],3.809930966817774,4.8474062668392435,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
,,,,0,0,0,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.32290690008085,None,4594.793419988137,-9.0,4.430394081148925e-05,1,"[0.7214525983295348, 0.7728639726226072, 0.6652804846404365, 0.5990404840448029]","[1050.499492018192, 218.47908227661406, 856.4105309092623, 183.37166121893685]",None,"[6.0, 5.404511061813822, 6.060043595139046, 7.0]",False,217.3384081000695,220.5203085000394,220.5203085000394,221.76800780009944,['space'],1,[0.36011469992809],3.7649351668078452,4.7970017668558285,None,1,None,1,,,,,,,,,,,,,cmzntn,001,fr,0,0,2022-05-02_14h47.17.868,Cluster,2022.1.1,None,
