tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,answer_too_late.rt,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.05404960003216,None,1990.8586202166307,1.8976787800151786,9.256592823449761e-05,1,"[0.6848443876161938, 0.6848443876161938, 0.6848443876161938, 0.6848443876161938]","[587.2555781262737, 1552.1034814297684, 233.78007833630093, 7685.6675954881]",None,"[10.0, 6.842176152629632, 16.4155217517478, 4.169685870525205]",False,187.06166730000405,190.13579050003318,190.13579050003318,191.3674558000057,['space'],1,[0.061937499966006726],3.7747002199757844,4.793931619962677,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.89232520002406,None,330.90959895860357,10.83421893885338,0.00032892793434413376,1,"[0.4256105947449359, 0.6945871379252381, 0.508684893149752, 0.4933738922002416]","[157.2371289565186, 7213.256045423198, 4309.764119988971, 1230.8468420604258]",None,"[15.0, 4.0, 10.440910573743857, 10.270511836376757]",False,192.88855690002674,195.54177770001115,195.54177770001115,196.7457517000148,['space'],1,[0.9062604000209831],3.1518704199697822,4.183190719981212,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.11232130002463,None,4924.577653379667,2.0,0.00018576269882334046,1,"[0.7270862251646387, 0.616239021764057, 0.7531754272351955, 0.404930782434501]","[4266.653642511488, 395.64640239358306, 2004.0265510129934, 431.212619425745]",None,"[10.440910573743857, 14.0, 7.897678780015179, 12.652266053110589]",False,198.66746160003822,201.78511470003286,201.78511470003286,202.9860324000474,['space'],1,[0.801244999980554],3.540570699959062,4.5479614999494515,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.26117010001326,None,1328.6014158760054,2.8937323571482487,7.33371233422224e-05,0,"[0.5148462071430917, 0.5148462071430917, 0.5148462071430917, 0.5148462071430917]","[263.62791065100123, 394.99556419060866, 591.8246491616865, 886.7350601090141]",Perfect_5th,"[17.17266412098619, 14.0, 10.0, 14.293514526086224]",False,204.26985630003037,206.8264562000404,206.8264562000404,208.05042380001396,None,0,,3.09119321993785,4.102165719959885,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.40707449999172,None,,,,,"[0.6936847505176185, 0.6936847505176185, 0.6936847505176185, 0.6936847505176185]","[404.8002992010319, 606.5151530147042, 908.7459459948747, 1361.5804819671152]",Perfect_5th,"[14.0, 10.33848715814247, 14.286105052735719, 8.0]",True,209.40122780000092,212.49867360002827,212.49867360002827,213.69991950003896,None,1,,3.797434619977139,4.809714319941122,None,1,['space'],0,0,[-4.107375400024466],,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.24242600001162,None,4924.577653379667,2.0,0.00018576269882334046,1,"[0.43360584342656283, 0.43360584342656283, 0.43360584342656283, 0.43360584342656283]","[7817.279747473972, 6964.404506368996, 6204.579047334942, 5527.651519871107]",Tone,"[5.0, 3.573446947211485, 3.6658685268620657, 5.0]",False,215.25092459999723,217.58543640002608,217.58543640002608,218.7914345000172,['space'],1,[0.3306414000107907],2.7842301999335177,3.807439199939836,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.08522920001997,None,4681.920559746407,2.0,0.0001647433921817851,1,"[0.7412551188272198, 0.6398552051887073, 0.7883018160991883, 0.5623321609597395]","[7432.085621772988, 6621.235553546801, 5898.850267160085, 5255.278141514718]",Tone,"[4.169685870525205, 3.389691341329473, 4.0, 5.589902104562253]",False,220.09111209999537,223.29268630000297,223.29268630000297,224.49407840002095,['space'],1,[0.4558511000359431],3.759436119988095,4.78448222001316,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.92232020001393,None,139.9668744542739,9.184035227740313,0.0016969355646538175,1,"[0.696918968012667, 0.696918968012667, 0.696918968012667, 0.696918968012667]","[352.69442282586533, 279.9337489085478, 222.1835637494153, 176.34721141293267]",Major_3rd,"[16.13050582112513, 17.32493363747519, 16.0, 15.01659648795322]",False,225.9155334000243,229.0381505000405,229.0381505000405,230.2617669000174,['space'],1,[0.33114899997599423],3.8196683199494146,4.837309719994664,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.79739990003873,None,,,,,"[0.694588967881973, 0.4424640560506949, 0.6152401376466641, 0.7409696992406464]","[133.80144989621007, 7847.49547585526, 214.50428058069312, 2893.887184778389]",None,"[15.380481822894366, 5.0, 15.95853876766314, 14.044510832506466]",True,231.79305610002484,234.56110150000313,234.56110150000313,235.77919790003216,None,1,,3.516775320051238,4.523987420019694,None,1,['space'],0,0,[0.5023403000086546],,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.35811030003242,None,406.12619817811805,4.0,0.00012083438749800345,1,"[0.6819700344138967, 0.6819700344138967, 0.6819700344138967, 0.6819700344138967]","[157.0988472134109, 4665.2968719294595, 947.1097456521351, 255.15357874640952]",None,"[15.0, 8.747285531350771, 14.286105052735719, 17.0]",False,237.38949020003201,240.46131919999607,240.46131919999607,241.66199930000585,['space'],1,[0.4354899000027217],3.7576848000171594,4.781738199992105,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,12,0,12,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.2000904000015,None,3563.267024082196,8.0,0.00019159098564488144,1,"[0.5170695646091684, 0.5170695646091684, 0.5170695646091684, 0.5170695646091684]","[770.0557349473299, 1020.0696491660927, 6119.992643799923, 6042.303560302955]",None,"[13.049623191621642, 13.794555457361811, 3.6658685268620657, 3.6658685268620657]",False,243.197539100016,245.78452750004362,245.78452750004362,246.9886983000324,['space'],1,[0.4555951000074856],3.08601142000407,4.10488041996723,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.35066610004287,None,4446.663531911124,4.0,0.00018174488023667425,1,"[0.556869930882205, 0.6968439883373647, 0.5491041559700715, 0.7698373849425908]","[1027.8598255574498, 1808.392378182717, 3959.218377163195, 627.9417733427622]",None,"[13.794555457361811, 6.971029497225497, 12.0, 10.33848715814247]",False,248.36647480004467,251.19383860001108,251.19383860001108,252.4109927000245,['space'],1,[0.39707419998012483],3.5931188199319877,4.59763481997652,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.00861670001177,None,8000.0,1.0,0.0002036901389020564,1,"[0.5896726216074409, 0.5896726216074409, 0.5896726216074409, 0.5896726216074409]","[1587.4010519681997, 2378.4142300054423, 3563.5948725613575, 5339.359416680138]",Perfect_5th,"[6.410335264009759, 11.0, 14.0, 5.589902104562253]",False,254.10139050002908,256.88920530001633,256.88920530001633,258.0864719999954,['space'],1,[0.7254855000064708],3.372371059958823,4.382720559951849,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.53319290000945,None,8000.0,2.0,0.0002285440948074376,1,"[0.5940420229442018, 0.5940420229442018, 0.5940420229442018, 0.5940420229442018]","[235.07762283110037, 1497.1062612743387, 188.83367268589734, 2442.291100323566]",None,"[16.4155217517478, 7.0, 15.219649067321496, 11.899622844574992]",False,259.55725320003694,262.3529126000358,262.3529126000358,263.57902580004884,['space'],1,[0.7738758000195958],3.4288693999988027,4.429500999976881,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0069665000192,None,,,,,"[0.6222482099778206, 0.6222482099778206, 0.6222482099778206, 0.6222482099778206]","[465.0840077028978, 514.2036042165083, 938.3131154641445, 357.7334699389342]",None,"[11.470807719132008, 10.54331460666868, 14.286105052735719, 16.0]",True,265.00740390003193,267.9105937000131,267.9105937000131,269.1291539000231,None,1,,3.515829119947739,4.530289419984911,None,1,None,1,0,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
,,,,0,0,0,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.56811740004923,None,1960.4459793396898,1.8976787800151786,9.085738609948484e-05,0,"[0.4674278844659629, 0.4674278844659629, 0.4674278844659629, 0.4674278844659629]","[247.1369173216697, 889.7080708192462, 1289.9011829012163, 774.5526247004142]",None,"[16.838723675150135, 14.293514526086224, 9.0, 13.049623191621642]",False,270.5704020000412,272.9977936000214,272.9977936000214,274.22207680001156,None,0,,2.881632119999267,3.903479619999416,None,1,None,1,,,,,,,,lkbxgs,001,fr,0,0,2022-04-29_11h04.04.543,Cluster,2022.1.1,36.63843796696743,
