tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,Audiogram_frequency,Audiogram_time,Audiogram_none,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.839662599843,None,1758.785940483636,3.7612694337334522,9.856023406227888e-05,1,"[0.7740610094353874, 0.7478039563693686, 0.4766205896805528, 0.5057143455710783]","[220.22619063378153, 325.2082804835172, 161.11265000607057, 833.3450857624948]",None,"[8.716273812593965, 7.660359555198436, 9.96367654631023, 10.0]",False,194.85798470000736,197.8813236998394,197.8813236998394,199.09990679984912,['space'],1,[0.1080587999895215],3.541809989605099,4.56057418952696,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.44667820003815,None,353.5533905932738,1.0,9.942466977099573e-05,0,"[0.6891350190273695, 0.6135493221913546, 0.5872909961684115, 0.6471500420017746]","[722.923890668835, 4469.476241000205, 4293.28373211242, 192.83720285771324]",None,"[10.327016674808721, 11.0, 9.572242878055171, 9.645744284578136]",False,200.96362120006233,203.88671089988202,203.88671089988202,205.08981609996408,None,0,,3.594211479416117,4.612123479368165,None,1,['space'],0,[0.556626999983564],,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.60378009988926,None,,,,,"[0.7267035668302297, 0.7267035668302297, 0.7267035668302297, 0.7267035668302297]","[4725.695206326663, 3750.786770902011, 2977.001432919129, 2362.8476031633313]",Major_3rd,"[12.0, 7.076096516753575, 7.0, 9.0]",True,206.60455140005797,209.82756090001203,209.82756090001203,211.05635269987397,['space'],0,[0.02277499996125698],3.9449130897410214,4.962440489791334,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.59083199989982,None,5975.611532876786,14.0,0.000585231769364196,1,"[0.5237755702274761, 0.6175324755535874, 0.6652350203337841, 0.7718415290814093]","[2371.4230083604793, 2987.8057664383937, 3764.399378133017, 4742.846016720958]",Major_3rd,"[9.0, 7.0, 7.076096516753575, 13.0]",False,212.58588729985058,215.427584100049,215.427584100049,216.63808499998413,['space'],1,[0.22724459995515645],3.6239402894861996,4.654702289495617,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.263572699856,None,1007.6772922096925,2.7172119853790937,6.0671523207424857e-05,1,"[0.5060878487410809, 0.5060878487410809, 0.5060878487410809, 0.5060878487410809]","[151.15042986534897, 1101.1992238667672, 152.1775027820227, 252.71629836239822]",None,"[9.822047904124807, 8.370891759669666, 9.822047904124807, 7.867026163814435]",False,218.25916179991327,220.80125440005213,220.80125440005213,222.01922370004468,['space'],1,[0.3772418999578804],3.0657038893550634,4.092628289479762,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.37691290001385,None,7660.771478494073,17.0,0.001212401068859158,1,"[0.46522592808238844, 0.5545379569310689, 0.7506365332106562, 0.6751652422073732]","[839.8497947150369, 182.23374536893016, 126.50448228142021, 1643.1611857383557]",None,"[10.0, 9.907445772281816, 9.0, 9.485507020788583]",False,223.37722769984975,226.17285489989445,226.17285489989445,227.37913269991986,['space'],1,[0.219921899959445],3.495440689381212,4.509660389274359,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,7,0,7,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.91881439997815,None,,,,,"[0.43821669274817476, 0.6537354931003978, 0.7595654661233278, 0.448126204552191]","[1162.493163036155, 1035.663668795819, 922.671434954716, 822.0067986658639]",Tone,"[8.212626858769866, 8.717211985379095, 9.204935392988055, 10.154520051482688]",True,228.90858919988386,231.78981400001794,231.78981400001794,233.03358589997515,None,1,,3.3561914896126837,4.359263889491558,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.291826199973,None,189.4645708137998,3.0,0.00042914588322824827,1,"[0.6922837050123094, 0.6392462435320736, 0.46678279263836914, 0.4192016995532336]","[827.7758014746008, 301.157243896307, 421.28170795915844, 1321.0732349732468]",None,"[10.0, 7.618500119928713, 7.37917840152137, 8.456175848159125]",False,234.32544699986465,237.14485759986565,237.14485759986565,238.3725947998464,['space'],1,[0.4244858000893146],3.2358348895795643,4.249275089474395,None,1,['space'],0,[-3.70161520014517],,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.6134540999774,None,141.69467319354092,3.543286576825257,0.000863265776236262,1,"[0.6155548288095385, 0.4034525066351115, 0.7454758285402662, 0.6762403959109916]","[1335.892298769522, 258.6099935833416, 1974.6581825836847, 188.36284306041023]",None,"[8.456175848159125, 7.867026163814435, 9.911413350473453, 9.645744284578136]",False,239.61167580005713,242.40261079999618,242.40261079999618,243.61034330003895,['space'],1,[0.08416630001738667],3.491889489814639,4.509877089876682,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.14955019997433,None,353.5533905932738,2.0,0.0001115563142959358,1,"[0.42636850122965175, 0.4959754602116238, 0.6977924359018439, 0.4274884108516316]","[222.72467953508485, 250.00000000000003, 280.6155120773433, 314.9802624737183]",Tone,"[8.716273812593965, 7.867026163814435, 7.59071669085906, 7.618500119928713]",False,245.16172689991072,247.820583099965,247.820583099965,249.0487090998795,['space'],1,[0.2966728999745101],3.0729468897916377,4.08313858974725,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.29719930002466,None,,,,,"[0.48727551477902215, 0.48727551477902215, 0.48727551477902215, 0.48727551477902215]","[713.3024679319468, 453.68700481120726, 4085.261478062075, 2731.222447407009]",None,"[10.327016674808721, 7.433177645562939, 8.074548775468193, 8.0]",True,250.281782399863,252.76833239989355,252.76833239989355,253.98325579985976,['space'],0,[0.49562199995853007],2.995294489664957,4.008376189740375,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.31339889997616,None,2828.42712474619,0.0,6.548596627134577e-05,1,"[0.4874067929168417, 0.5917663547403467, 0.7899478056656385, 0.4517513385527166]","[2233.3405979383783, 285.11540201533063, 381.99900850441514, 2360.3537741340883]",None,"[9.328888324295757, 7.59071669085906, 7.572849574758852, 9.0]",False,255.3271663999185,258.2319902998861,258.2319902998861,259.435398099944,['space'],1,[0.2432124000042677],3.330369089730084,4.339358389610425,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.7071284998674,None,353.5533905932738,2.0,0.0001115563142959358,0,"[0.659155268790182, 0.659155268790182, 0.659155268790182, 0.659155268790182]","[222.72467953508485, 250.00000000000003, 280.6155120773433, 314.9802624737183]",Tone,"[8.716273812593965, 7.867026163814435, 7.59071669085906, 7.618500119928713]",False,260.77546939998865,263.7821353999898,263.7821353999898,264.99225439992733,None,0,,3.6574227097444236,4.6848890096880496,None,1,['space'],0,[0.48503539990633726],,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.5036383999977,None,295.1668677832541,1.5907166908590604,0.0001436763014140758,1,"[0.5466589739097698, 0.47210832345158305, 0.7387661464799639, 0.7560430345212285]","[1880.6229962518098, 6161.948894302826, 1726.5879370370371, 7543.042699972802]",None,"[9.918086234917741, 21.0, 9.761269433733453, 23.136494232287795]",False,266.4936976998579,269.2765128000174,269.2765128000174,270.51101849996485,['space'],1,[0.007382799871265888],3.542331289499998,4.554207589477301,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.07647139998153,None,,,,,"[0.6024486325070453, 0.48654436922975064, 0.45637581115477244, 0.6403132681130351]","[905.5103816313899, 874.4320533491464, 1119.9380426573712, 766.2179015940708]",None,"[9.204935392988055, 9.72102126158546, 8.212626858769866, 10.380278878836705]",True,272.09905399987474,274.6841607999522,274.6841607999522,275.9019164000638,['space'],0,[0.08719330001622438],3.2234509894624352,4.247271289350465,None,1,None,1,,0,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.3736574999057,None,1127.6812959977203,2.212626858769866,6.372305906608381e-05,1,"[0.6333595263272064, 0.6600022988196024, 0.779830839545592, 0.5876904815291618]","[447.52061888791104, 563.8406479988603, 710.3947012001296, 895.041237775822]",Major_3rd,"[7.37917840152137, 8.769302855033663, 10.327016674808721, 9.72102126158546]",False,277.37024619989097,280.4770750000607,280.4770750000607,281.6890757998917,"['space', 'space']",1,"[0.16421650000847876, 0.22803300013765693]",3.6929070896003395,4.707072689663619,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
