tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_late.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,Audiogram_time,Audiogram_both,Audiogram_none,Audiogram_frequency,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.86396269999386,None,184.81744160676337,2.32222069740227,0.00041904413986325605,1,"[0.6163754189733184, 0.6163754189733184, 0.6163754189733184, 0.6163754189733184]","[931.421540272311, 621.6492964939602, 414.9011281384511, 276.9132806896564]",Perfect_5th,"[14.973304175529991, 13.0, 6.505598694224707, 7.0]",False,209.86552369999117,212.7557291999983,212.7557291999983,213.95966199999384,['space'],1,[0.17127790000813548],3.481025020009838,4.511474920014734,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.4211643000017,None,1531.5493327683196,3.98733479588627,8.06608674597298e-05,0,"[0.5073107599423236, 0.473795678711197, 0.43355556747552365, 0.7078720740525459]","[7718.524973229014, 5151.497374836393, 3438.2120022919626, 2294.7312038725327]",Perfect_5th,"[2.0, 2.0, 9.346823562676974, 10.792271583857126]",False,215.44398830000137,217.89703989999543,217.89703989999543,219.13139159999264,None,0,,3.1399024200218264,4.168486620023032,None,1,['space'],0,[0.4397712999925716],,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.6571372000035,None,,,,,"[0.6104887275621881, 0.6104887275621881, 0.6104887275621881, 0.6104887275621881]","[282.306942420146, 355.68445928660185, 448.13433737566567, 564.6138848402919]",Major_3rd,"[7.0, 6.356615356648497, 7.0, 11.0]",True,220.65050360000168,223.50192830000015,223.50192830000015,224.70425929999328,None,1,,3.477712520005298,4.507462820009096,None,1,None,1,,0,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.19904289999977,None,353.5533905932738,0.0,8.861233020703779e-05,1,"[0.4328342958662635, 0.4328342958662635, 0.4328342958662635, 0.4328342958662635]","[561.2310241546867, 500.0000000000001, 445.44935907016975, 396.8502629920499]",Tone,"[11.0, 8.651526734635146, 7.0, 6.505598694224707]",False,226.20651469999575,228.51923819999502,228.51923819999502,229.73959679999098,['space'],1,[0.2377738000068348],2.7649142100126483,3.774719910012209,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,5,0,5,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.01891060000344,None,175.68622788949915,2.4526169418701524,0.00046948835849225146,1,"[0.4796460293039229, 0.6301299487787368, 0.510411496569142, 0.6750562891879213]","[317.255131491015, 407.87769642412894, 3826.064348709786, 1181.727041914212]",None,"[6.6749930698778375, 6.505598694224707, 7.0, 12.74458271775576]",False,231.0258485999948,233.67974619999586,233.67974619999586,234.8866444000014,['space'],1,[0.30229890000191517],3.318238720006775,4.3509058200143045,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.42996919999132,None,329.87697769322364,0.0,9.475893972752513e-05,1,"[0.5280831428434954, 0.41878962422031596, 0.5279086668408352, 0.7176293552438489]","[4785.732476170035, 682.5750011590446, 1053.792553318026, 1714.7674353905747]",None,"[3.0, 14.0, 13.552618345959704, 9.44561707139802]",False,236.83536650000315,239.32605579998926,239.32605579998926,240.54076899999927,['space'],1,[0.22055289999116212],3.22617258001992,4.256149580018246,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,7,0,7,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.13593659999606,None,329.87697769322364,0.0,9.475893972752513e-05,1,"[0.6787317693431656, 0.6156786445427078, 0.6253758852280135, 0.5329090179471323]","[523.6470614103135, 466.51649576840384, 415.618948071394, 370.27438807164117]",Tone,"[9.90502565043273, 7.639612854523006, 6.505598694224707, 6.3401916021253175]",False,242.15562629999476,245.10659519999172,245.10659519999172,246.31827879999764,['space'],1,[0.18704210000578314],3.4947277100000065,4.519157310001901,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,8,0,8,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.72729539999273,None,384.19835326045273,0.34019160212531785,8.38782985542702e-05,1,"[0.6761808872257058, 0.6761808872257058, 0.6761808872257058, 0.6761808872257058]","[968.119185215582, 768.3967065209055, 609.8768701300926, 484.059592607791]",Major_3rd,"[14.321076609125381, 15.424494065508316, 12.677992580316015, 8.0]",False,247.72451410000212,250.80907309999748,250.80907309999748,252.02607539999008,['space'],1,[0.15760130000126082],3.736858720003511,4.76681672000268,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.55255359999137,None,125.0,-1.0,0.000644124775846567,0,"[0.46796480041212424, 0.46796480041212424, 0.46796480041212424, 0.46796480041212424]","[629.9605249474366, 420.4482076268573, 280.6155120773433, 187.2883846095852]",Perfect_5th,"[13.0, 6.505598694224707, 7.0, 8.322220697402269]",False,254.06345889999648,256.5037580999924,256.5037580999924,257.71774389999337,None,0,,2.899429430020973,3.93460913002491,None,1,['space'],0,[0.3708939000061946],,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,10,0,10,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0319299999974,None,2424.8202785043873,5.272511997982248,0.00015455628740734318,1,"[0.714463531837866, 0.714463531837866, 0.714463531837866, 0.714463531837866]","[962.290565232922, 1212.4101392521939, 1527.5410555498133, 1924.5811304658434]",Major_3rd,"[14.973304175529991, 12.0, 9.98733479588627, 9.512979454926166]",False,259.032567000002,262.21062489999167,262.21062489999167,263.4184508000035,['space'],1,[0.1840482000116026],3.890141220021178,4.924090320026153,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0210175999964,None,176.7766952966369,1.0,0.00039272999556449274,1,"[0.7237724772763905, 0.7237724772763905, 0.7237724772763905, 0.7237724772763905]","[1348.8423634669673, 568.092236416583, 201.47334309584934, 2242.3434352033814]",None,"[11.0, 11.0, 8.12511642922717, 10.792271583857126]",False,265.1126249999943,268.3147067999962,268.3147067999962,269.552861499993,['space'],1,[0.17803970001114067],3.9574011800141307,4.969519880018197,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.12207569999737,None,1231.1444133449168,4.0,8.51413334521805e-05,1,"[0.7518785212307222, 0.7518785212307222, 0.7518785212307222, 0.7518785212307222]","[775.5723809168675, 870.5505632961243, 977.1599684342463, 1096.8249796946263]",Tone,"[15.424494065508316, 15.434644929157692, 14.321076609125381, 13.552618345959704]",False,271.13873559999047,274.4378050999949,274.4378050999949,275.6696590999927,['space'],1,[0.19751640000322368],4.041063610013225,5.080387010006234,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.27123539999593,None,1775.4858632036862,3.4456170713980203,9.616397460241365e-05,1,"[0.722821982444528, 0.688697276408361, 0.48117797389906675, 0.4451411270597118]","[1118.4860064205466, 1255.4580937721773, 1409.204063502099, 1581.7780796044578]",Tone,"[13.0, 11.949863232820327, 10.533624096537752, 9.609120762538604]",False,277.27842000000237,280.2293764999922,280.2293764999922,281.4719504999957,['space'],1,[0.1874876000074437],3.362039520012331,4.400973320007324,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.7599549000006,None,434.46589315380504,0.9239813671431916,8.31881824144222e-05,1,"[0.6669756925859037, 0.6669756925859037, 0.6669756925859037, 0.6669756925859037]","[172.4179039591634, 217.23294657690255, 273.69636212292795, 344.83580791832674]",Major_3rd,"[8.452616941870152, 7.880489113763942, 7.0, 6.356615356648497]",False,282.77145659999223,285.79680440000084,285.79680440000084,287.0343412999937,['space'],1,[0.2727166000113357],3.6864710200025,4.729494320010417,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.5751057000016,None,2014.9414626522591,3.801872696302679,0.0001164078134151025,1,"[0.4384611294238477, 0.4384611294238477, 0.4384611294238477, 0.4384611294238477]","[1394.2568194132466, 368.22336197705323, 5463.556023243883, 5680.235572360631]",None,"[10.533624096537752, 6.3401916021253175, 1.7354919848833203, 1.1784144081800818]",False,288.5745614999905,290.9030469999998,290.9030469999998,292.1299083999911,['space'],1,[0.3242515000019921],2.768591420011944,3.797303820014349,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.43437819999235,None,125.0,-1.0,0.000644124775846567,1,"[0.7811314687432225, 0.6467648983251348, 0.7422150518648059, 0.5428782949815847]","[629.9605249474366, 420.4482076268573, 280.6155120773433, 187.2883846095852]",Perfect_5th,"[13.0, 6.505598694224707, 7.0, 8.322220697402269]",False,293.4682757999981,296.66879539999354,296.66879539999354,297.8973857999954,['space'],1,[0.30438580000190996],3.7544280100119067,4.776864210012718,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
,,,,0,0,0,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.2990776999941,None,353.5533905932738,0.0,8.861233020703779e-05,1,"[0.7667075272240955, 0.7667075272240955, 0.7667075272240955, 0.7667075272240955]","[190.54868683563274, 166.1338690983562, 837.1928053619267, 139.24274657482886]",None,"[8.322220697402269, 8.50402309052194, 15.606086819012052, 8.383502550706392]",False,299.32694569999876,302.675845699996,302.675845699996,303.89792679999664,['space'],1,[0.3194680000015069],4.087328809997416,5.117922510005883,None,1,None,1,,,,,,,quicsb,001,fr,0,0,2022-07-21_15h22.52.247,Cluster,2022.1.1,None,
