tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.35347819997696,None,680.0238277626668,-4.628010889454236,2.7456198777028203e-05,1,"[0.6114546232061061, 0.6114546232061061, 0.6114546232061061, 0.6114546232061061]","[428.38816751413464, 480.8494599794144, 539.7352697769494, 605.8323564586467]",Tone,"[7.4875205611352, 6.0, 3.6129955185513642, 2.0]",False,172.36412230000133,175.23357779998332,175.23357779998332,176.4435236999998,['space'],1,[0.2375095000024885],3.4722016000014264,4.479686699982267,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.8775326999894,None,176.7766952966369,-2.0,0.0002780315447610839,1,"[0.5019547427428599, 0.5019547427428599, 0.5019547427428599, 0.5019547427428599]","[890.8987181403394, 594.6035575013606, 396.8502629920499, 264.86577358982385]",Perfect_5th,"[4.0, 2.0, 8.352345427553765, 6.0]",False,178.3350342999911,180.86201539999456,180.86201539999456,182.06709070000215,['space'],1,[0.23471420002169907],3.053256400016835,4.073501600010786,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.44306150000193,None,,,,,"[0.608978757882669, 0.5655668707816246, 0.44365341001638897, 0.6176880816297554]","[139.72694562754515, 176.04492003366053, 221.80270047746856, 279.45389125509024]",Major_3rd,"[6.475215026484154, 6.171133378872256, 5.199138554488693, 6.900615931954652]",True,183.43045299997902,186.07480079997913,186.07480079997913,187.29742359998636,None,1,,3.2533754000032786,4.267266999988351,None,1,None,1,0,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.73099260000163,None,5510.9182372924015,-10.762477236157597,3.8785894027216376e-05,1,"[0.40307686429329115, 0.45632742163902007, 0.4154228863746327, 0.5145613313636684]","[511.9505568277136, 269.7833271539974, 131.74294665107658, 135.75051110278613]",None,"[4.950677049804232, 6.13337686125661, 6.0, 6.184254754094951]",False,188.73678549999022,191.03874279998126,191.03874279998126,192.2477011999872,['space'],1,[0.4004152999841608],2.824390699970536,3.8262617999862414,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.60027259998606,None,247.53549432587286,-0.46244209845185447,0.0001633771393519927,1,"[0.640845038347934, 0.640845038347934, 0.640845038347934, 0.640845038347934]","[726.9318656037731, 1456.7536620530234, 3397.9257041967903, 144.0309631971095]",None,"[1.5065839802177479, 4.0, 3.0, 6.475215026484154]",False,193.6107931000006,196.56620059997658,196.56620059997658,197.76884629999404,['space'],1,[0.30861770000774413],3.578284099989105,4.586443400010467,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.2315985999885,None,176.7766952966369,-2.0,0.0002780315447610839,1,"[0.5496604167605839, 0.7303254588110321, 0.5832337028492602, 0.6360347449185966]","[3011.610541670379, 223.31049567087373, 264.6896990220746, 1116.7117305004156]",None,"[4.308986853041107, 5.199138554488693, 6.0, 5.2053088615713285]",False,199.2497148999828,202.13715509997564,202.13715509997564,203.35817299998598,['space'],1,[0.2974121000152081],3.542789500032086,4.5540415000286885,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.81999769998947,None,141.57302433269956,0.4752150264841535,0.0006075184448990086,1,"[0.4079252338151533, 0.605412956008678, 0.743385724042797, 0.7816082776928592]","[2913.7516522326364, 1786.4402873232305, 606.834761341298, 167.1119358860836]",None,"[4.908739591731656, 3.7654575652601103, 2.0, 6.459574941411008]",False,204.8271143999882,207.60916219998035,207.60916219998035,208.83198139999877,['space'],1,[0.2734836000017822],3.5665334000077564,4.581195000006119,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,8,0,8,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.45553669999936,None,6711.096677404102,-9.0,5.055001435765249e-05,1,"[0.520147813457952, 0.520147813457952, 0.520147813457952, 0.520147813457952]","[2663.300481392891, 3355.548338702052, 4227.7259858704865, 5326.60096278578]",Major_3rd,"[5.238159830709439, 3.0, -1.8405943648524419, -4.622411110452054]",False,210.46935629998916,213.0696511999995,213.0696511999995,214.2887531000015,['space'],1,[0.2383687999972608],3.1190774000133388,4.131868800002849,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.64901100000134,None,176.7766952966369,-1.0,0.0003119565241000184,1,"[0.7189124682231435, 0.4890771075234348, 0.4122572184960709, 0.7698856655333267]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[7.0, 8.78921793928857, 6.900615931954652, 5.199138554488693]",False,215.6680732999812,218.30837089999113,218.30837089999113,219.51767819997622,['space'],1,[0.43796460001613013],3.42276660000789,4.435910800006241,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.1235531999846,None,,,,,"[0.46525118178963604, 0.46525118178963604, 0.46525118178963604, 0.46525118178963604]","[4377.2906313106, 7227.288164275436, 244.2929270204125, 5821.282224137585]",None,"[-2.0, -2.0, 5.537557901548146, -4.762477236157597]",True,221.11523080000188,223.5205747,223.5205747,224.74465700000292,None,1,,2.8781839000002947,3.8885502999764867,None,1,None,1,0,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.03481089998968,None,353.5533905932738,-2.0,7.038727582816145e-05,1,"[0.4332812582043978, 0.42263162356901723, 0.6239605669133779, 0.6004831514634553]","[385.13391570066665, 584.3207218021834, 363.51345552856134, 447.99592092489604]",None,"[8.790195709713082, 2.479650305886871, 8.78921793928857, 7.0]",False,226.0570364999876,228.5772165999806,228.5772165999806,229.80198649998056,['space'],1,[0.28080429998226464],3.1160474000207614,4.125663100014208,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.21029209997505,None,353.5533905932738,-2.0,7.038727582816145e-05,1,"[0.4163602500142497, 0.4163602500142497, 0.4163602500142497, 0.4163602500142497]","[890.8987181403395, 707.1067811865477, 561.2310241546866, 445.4493590701697]",Major_3rd,"[4.0, 1.5065839802177479, 3.0, 7.0]",False,231.29372570000123,233.5664496999816,233.5664496999816,234.77514659997541,['space'],1,[0.6448435999918729],2.696613999985857,3.719029700005194,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.04010459998972,None,449.1506531619837,1.0,8.307753877293435e-05,1,"[0.6197460389447953, 0.5117544160316942, 0.48583193562052823, 0.5352590905870885]","[282.94718124640724, 317.5974726252057, 356.4911096607684, 400.1477411539074]",Tone,"[6.900615931954652, 8.0, 8.78921793928857, 8.352345427553765]",False,236.0546214999922,238.69535989998258,238.69535989998258,239.91000679999706,['space'],1,[0.24829960000352003],3.1716782999865245,4.196977799991146,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.29548799997428,None,164.93848884661182,-3.0,0.00027831859114393215,1,"[0.7344573404929075, 0.7344573404929075, 0.7344573404929075, 0.7344573404929075]","[208.56945118493462, 3571.349166546584, 2144.48012774652, 3239.063971357573]",None,"[5.416622651675733, 2.0, 4.828475417338947, 3.4224510059389095]",False,241.32139089997509,244.55527319997782,244.55527319997782,245.7578996999946,['space'],1,[0.2698576000111643],3.974814100016374,4.990530800016131,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.34003839999787,None,3337.654067826092,-3.0,5.1193904451055475e-05,0,"[0.6662690294969196, 0.6662690294969196, 0.6662690294969196, 0.6662690294969196]","[5298.19557837308, 4720.15564922939, 4205.1806173213445, 3746.3900215201866]",Tone,"[-4.622411110452054, -3.0839600630279165, -1.8405943648524419, 0.9627018844564637]",False,247.3514848999912,250.3672712999978,250.3672712999978,251.58278869997594,None,0,,3.687295500014443,4.716462600015802,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.1123021999956,None,,,,,"[0.7468509647034275, 0.5406534895933313, 0.6862671637068565, 0.6502437532054817]","[7334.275193957662, 3123.1391567851992, 368.64308120275894, 2551.687231931856]",None,"[-2.0, 4.0, 8.790195709713082, 5.238159830709439]",True,253.1282072000031,256.1404039999761,256.1404039999761,257.3471816999954,None,1,,3.656043700000737,4.678512100013904,None,1,None,1,0,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
,,,,0,0,0,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.84475239997846,None,307.7861033362292,-3.0,7.522887020865065e-05,1,"[0.6422514645765324, 0.783946671764594, 0.5998975608282162, 0.6451771000482753]","[775.5723809168676, 615.5722066724584, 488.5799842171232, 387.7861904584338]",Major_3rd,"[2.047633898018567, 1.698292829809227, 5.0, 8.790195709713082]",False,258.88575769998715,261.9539616999973,261.9539616999973,263.1640111999877,['space'],1,[0.5110852000070736],3.6919084999826737,4.7165965999884065,None,1,None,1,,,,,,,hnxrev,001,fr,0,0,2022-07-25_14h33.50.374,Cluster,2022.1.1,36.50377102363571,
