tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,answer_too_late.rt,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.4051180999959,None,7092.420902044578,30.44079369897291,0.005124361562369882,0,"[0.7535424123787571, 0.7014883847001968, 0.4094716999292155, 0.6970630429885305]","[4099.5276385553525, 985.8811684195499, 130.78976683425117, 3730.3234136856486]",None,"[26.0, 27.818442329398145, 17.0, 24.913705148798854]",False,146.40729070000816,149.28265830001328,149.28265830001328,150.49896490003448,None,0,3.570775619824417,4.590609519858845,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0372178000398,None,353.5533905932738,22.0,0.0011155631429593579,1,"[0.6299517519776516, 0.6851597715693668, 0.5119068165152948, 0.7336230920877775]","[852.6176504363044, 485.75138932540256, 126.34834072151678, 491.7480613090059]",None,"[25.92012787693378, 21.0, 18.0, 20.592673545545708]",False,152.95515260007232,155.81252090004273,155.81252090004273,157.03471240005456,['space'],1,3.604212789563462,4.631307689589448,None,1,None,1,,[0.3920977999223396],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.60951510001905,None,,,,,"[0.4686843106261303, 0.5197184820068182, 0.5909184287301205, 0.5253688867253801]","[1049.4886124544257, 832.9796637194006, 661.1363972281467, 524.7443062272127]",Major_3rd,"[28.577008912089823, 25.0, 21.531603556130058, 20.31287472400956]",True,158.61492329998873,161.220016199979,161.220016199979,162.4449169000145,['space'],0,3.129915919736959,4.158574919798411,None,1,None,1,,[0.05183119990397245],0,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.80805810005404,None,2218.76422956665,23.0,0.0011252442063302607,1,"[0.5667863524413999, 0.7585374472064195, 0.7425130108108207, 0.42508432944977687]","[3522.0686720835124, 3137.806465161448, 2795.467757584803, 2490.47864183495]",Tone,"[24.602096383335358, 25.0, 26.0, 27.652103384288885]",False,163.80704950005747,166.91652129997965,166.91652129997965,168.1231845000293,['space'],1,3.504660719889216,4.522643219912425,None,1,None,1,,[0.40322009997908026],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,5,0,5,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.3668472999707,None,510.566560398805,14.592673545545708,0.0003745123500861208,0,"[0.7065812545113194, 0.7284427024212422, 0.772434815512244, 0.6233789564631174]","[602.5641795132932, 149.81075674651112, 338.9758370828781, 445.1357170860597]",None,"[20.78547655111803, 14.012707831730403, 22.77889493520776, 21.791290315692194]",False,169.39496860001236,172.62843789998442,172.62843789998442,173.84116980002727,None,0,3.8656688197515905,4.872192219831049,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,6,0,6,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.32771059998777,None,353.5533905932738,22.0,0.0011155631429593579,1,"[0.44280576939495125, 0.6103853819476034, 0.7101173042931277, 0.6683899920684785]","[890.8987181403395, 707.1067811865477, 561.2310241546866, 445.4493590701697]",Major_3rd,"[25.999999999999996, 22.51952926543764, 20.36950650046022, 21.791290315692194]",False,175.34201750007924,178.14657890005037,178.14657890005037,179.37091950001195,['space'],1,3.4758464097976685,4.513830809737556,None,1,None,1,,[0.2198552000336349],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.88635070004966,None,,,,,"[0.6968694362462878, 0.6968694362462878, 0.6968694362462878, 0.6968694362462878]","[3362.5193968355907, 188.59783772556497, 864.5622108064157, 864.2126816498134]",None,"[24.69830876856029, 13.47209236688566, 25.92012787693378, 25.92012787693378]",True,180.8981893999735,184.01134960004129,184.01134960004129,185.21770160004962,None,1,3.812841319828294,4.835676919785328,None,1,None,1,,,0,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,8,0,8,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.77372200007085,None,592.2661027548834,14.369506500460218,0.0002983594104495135,1,"[0.5034081385897436, 0.5034081385897436, 0.5034081385897436, 0.5034081385897436]","[940.1638345582077, 837.5907550498132, 746.2085300000775, 664.796222842456]",Tone,"[27.000000000000004, 25.0, 23.64480579705644, 21.531603556130058]",False,186.77745900000446,189.3267840000335,189.3267840000335,190.53515180002432,['space'],1,3.0343551198020577,4.0393279197160155,None,1,['space'],0,[-2.5181509000249207],[0.6704850998939946],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.85973290004767,None,353.5533905932738,22.0,0.0011155631429593579,1,"[0.6994553040613845, 0.6994553040613845, 0.6994553040613845, 0.6994553040613845]","[813.1040576267272, 1784.908573008165, 3825.0933823093214, 172.1148576630075]",None,"[24.805826966679735, 30.574079018182736, 25.0, 13.147815514579257]",False,191.8907567000715,195.02598430006765,195.02598430006765,196.24134549999144,['space'],1,3.8487743098521605,4.8619093098677695,None,1,None,1,,[0.6416546999244019],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.782518299995,None,176.7766952966369,22.0,0.004406503025812892,1,"[0.40221182065186156, 0.5538709527358122, 0.709463441889816, 0.4987770459489897]","[3862.550182688323, 1159.586392604872, 807.5606238412325, 5452.64367269564]",None,"[25.0, 29.214969841516492, 24.805826966679735, 32.0]",False,197.80734120006673,200.49711300001945,200.49711300001945,201.7136443000054,['space'],1,3.1842258097603917,4.205532009829767,None,1,None,1,,[0.3404007999924943],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0489080999978,None,,,,,"[0.4414146846384244, 0.7502009836945074, 0.7703368419234279, 0.6131406210390025]","[1241.6989989122037, 247.7255339592227, 1262.2907496496207, 1464.814754153336]",None,"[29.733553246263963, 18.0, 30.0, 30.448808367018295]",True,203.05811440001708,206.04663380002603,206.04663380002603,207.2536700000055,None,1,3.587471319711767,4.592715719714761,None,1,['space'],0,[0.505941899958998],,0,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.68998180003837,None,957.6681259854851,21.000000000000004,0.0004807769822911861,1,"[0.49495599537926177, 0.7968585332709741, 0.6002641260024091, 0.7975334969836403]","[380.0508476564434, 478.83406299274264, 603.2931153712441, 760.1016953128866]",Major_3rd,"[22.869908733086287, 21.0, 20.78547655111803, 23.64480579705644]",False,208.70512749999762,211.63055090000853,211.63055090000853,212.85843520006165,['space'],1,3.714024619781412,4.734921019873582,None,1,None,1,,[0.35354859998915344],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.49850360001437,None,176.7766952966369,21.0,0.003927299955644927,1,"[0.41019609203779056, 0.6445979126127426, 0.6906773398020005, 0.5493210837165556]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[21.791290315692194, 23.015482687218544, 21.0, 16.0]",False,215.5752379000187,218.35363999998663,218.35363999998663,219.57614400004968,['space'],1,3.331377439433709,4.363416339387186,None,1,None,1,,[0.31161090009845793],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.9667850000551,None,176.7766952966369,21.0,0.003927299955644927,1,"[0.5666675756703656, 0.5666675756703656, 0.5666675756703656, 0.5666675756703656]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[21.791290315692194, 23.015482687218544, 21.0, 16.0]",False,220.99554250005167,223.73602160008159,223.73602160008159,224.97236530005466,['space'],1,3.3195199097972363,4.328001609770581,None,1,None,1,,[0.24872000003233552],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.34752170008142,None,3382.228088269841,18.602096383335358,0.0006222960708394097,0,"[0.5205652324995322, 0.5205652324995322, 0.5205652324995322, 0.5205652324995322]","[469.47662492780825, 1307.990767195496, 341.12453920646436, 740.5502334144074]",None,"[21.132904326090348, 30.14951529507025, 23.0, 23.0]",False,226.35686699999496,228.9664492000593,228.9664492000593,230.17776150000282,None,0,3.116251219762489,4.138961919816211,None,1,None,1,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.5376584000187,None,176.7766952966369,22.0,0.004406503025812892,1,"[0.4290663385492615, 0.4290663385492615, 0.4290663385492615, 0.4290663385492615]","[2351.569000435021, 845.8620858330466, 1129.4320985171237, 904.1877209832784]",None,"[28.0, 25.0, 29.0, 26.93262277190714]",False,232.40934550005477,234.71301140007563,234.71301140007563,235.92057870002463,['space'],1,2.756160309538245,3.7871390094514936,None,1,None,1,,[0.2793274000287056],,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.22967480006628,None,,,,,"[0.7228034274960728, 0.7228034274960728, 0.7228034274960728, 0.7228034274960728]","[5329.7034831531355, 4230.188457917932, 3357.5028040613306, 2664.8517415765677]",Major_3rd,"[31.4639510954109, 26.757894318066356, 24.69830876856029, 26.734255736377243]",True,237.226769000059,240.41943870007526,240.41943870007526,241.64113970007747,None,1,3.9145576197188348,4.9155156197957695,None,1,None,1,,,0,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
