tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,Catch trial answer,answer_too_early.rt,Audiogram_frequency,Audiogram_both,Audiogram_time,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.5982912000036,None,276.8069815244904,-3.686946303919342,9.097608495967346e-05,0,"[0.5765041500939234, 0.5765041500939234, 0.5765041500939234, 0.5765041500939234]","[5661.89277024565, 170.6726815551712, 1386.163343730698, 3233.681646337203]",None,"[4.930889606701771, -1.1722083607040013, 6.530561368431182, 4.276055605350804]",False,159.5906206999207,162.3568769999547,162.3568769999547,163.57551180000883,None,0,3.32128471985925,4.342581019853242,None,1,None,1,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.96526769991033,None,353.5533905932738,0.0,8.861233020703779e-05,1,"[0.5219255828678461, 0.5219255828678461, 0.5219255828678461, 0.5219255828678461]","[890.8987181403395, 707.1067811865477, 561.2310241546866, 445.4493590701697]",Major_3rd,"[4.000957316205357, 2.840435712491632, 3.0299226339438463, 4.279008570326855]",False,164.99256739998236,167.57158109999727,167.57158109999727,168.77954299992416,['space'],1,3.11510631989222,4.132942019961774,None,1,None,1,[0.73680549999699],,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.1730653999839,None,175.49319354802327,-7.071975801245284,0.0001571291790687493,0,"[0.46523802666152425, 0.6975253830135559, 0.4125855758281083, 0.4276705874412554]","[163.62854368973817, 760.4360007626018, 3809.4945973841595, 2508.362705684364]",None,"[-1.1722083607040013, 3.092109227946553, 3.878558029931074, 3.106486730434091]",False,170.1768052999396,172.77587059990037,172.77587059990037,173.9859046000056,None,0,3.03934271982871,4.045638319919817,None,1,None,1,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.26391079998575,None,748.945255080488,-2.907890772053447,2.9144910469687257e-05,0,"[0.6600185981702691, 0.6600185981702691, 0.6600185981702691, 0.6600185981702691]","[3774.4475683791684, 2519.141520873845, 1681.3252501784607, 1122.1499758803066]",Perfect_5th,"[3.878558029931074, 3.106486730434091, 5.0, 6.372236586911086]",False,175.25098359992262,178.254854699946,178.254854699946,179.45812679990195,None,0,3.658315219799988,4.682420719880611,None,1,None,1,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.97392279992346,None,,,,,"[0.48620202705301957, 0.48620202705301957, 0.48620202705301957, 0.48620202705301957]","[178.02002992849148, 199.82072743363042, 224.29118300982174, 251.75834069893696]",Tone,"[-1.0719758012452836, -0.40430455611886007, 0.16444291805212163, 1.5706783981663497]",True,180.9840618999442,183.46484929998405,183.46484929998405,184.6999777999008,None,1,2.9820140198571607,3.9939860198646784,None,1,None,1,,0,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,6,0,6,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.00956439995207,None,491.5712828386712,-2.3292087096796603,5.4969236669267e-05,0,"[0.4643413313409363, 0.6840282670146984, 0.6532004558158162, 0.46478266915063404]","[195.08019287386608, 245.7856414193357, 309.6705033861342, 390.16038574773205]",Major_3rd,"[-0.813030767644773, 1.5706783981663497, 3.5745719369322506, 4.456966316652261]",False,186.00908200000413,188.8354937999975,188.8354937999975,190.0466529999394,None,0,3.295321019832045,4.3137668198905885,None,1,None,1,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.35310409998056,None,406.12619817811805,1.0,8.55441952378509e-05,0,"[0.4304979293086042, 0.5819590370517272, 0.7839955824345604, 0.7112641507162543]","[259.712576852534, 569.3062977102414, 2984.1613729770042, 1344.4482302797644]",None,"[2.0, 3.0299226339438463, 4.168932372875219, 6.747195786821025]",False,191.3786117999116,194.2070751999272,194.2070751999272,195.44178260001354,None,0,3.517202719929628,4.527581419912167,None,1,None,1,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,8,0,8,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.95237770001404,None,203.0630990890589,-2.0,0.00020608133446608294,1,"[0.4353598868429879, 0.4353598868429879, 0.4353598868429879, 0.4353598868429879]","[127.92173649959686, 143.58729437462938, 161.1712885549474, 180.90865468004728]",Tone,"[-0.4750503134073103, -0.9892591392778911, -1.1722083607040013, -1.0]",False,196.97716259991284,199.3116776999086,199.3116776999086,200.51505559997167,['space'],1,2.754132519941777,3.7818471199134365,None,1,None,1,[0.5476747999200597],,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8044896000065,None,,,,,"[0.40302894446644744, 0.40302894446644744, 0.40302894446644744, 0.40302894446644744]","[3623.3624977284903, 4067.0868909676874, 4565.15068228779, 5124.208385681684]",Tone,"[4.0, 3.5351726824326306, 3.2084435504672473, 4.0]",True,201.81676269997843,204.05266719998326,204.05266719998326,205.2854551000055,None,1,2.6359441198874265,3.6682975199073553,None,1,None,1,,0,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.52499209996313,None,2462.2888266898335,0.0,8.505946547995337e-05,1,"[0.452694624454628, 0.4531261785268089, 0.5391467599121025, 0.6194191910834841]","[1551.144761833735, 1741.1011265922486, 1954.3199368684925, 2193.6499593892527]",Tone,"[6.0, 4.560991461741839, 3.2454748692368316, 2.9203225638743593]",False,206.55380429991055,209.02256750001106,209.02256750001106,210.25743110000622,['space'],1,3.09208511991892,4.110275819897652,None,1,None,1,[0.40102939994540066],,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.7119112999644,None,402.58224500747616,-1.5631242693138176,6.3835846574137e-05,1,"[0.647037804851365, 0.647037804851365, 0.647037804851365, 0.647037804851365]","[159.7648698071468, 201.2911225037381, 253.61092239942724, 319.52973961429353]",Major_3rd,"[-1.1722083607040013, -0.40430455611886007, 1.5706783981663497, 4.0]",False,211.71635459992103,214.67847799998708,214.67847799998708,215.89639269991312,['space'],1,3.6142042198916897,4.642675619921647,None,1,None,1,[0.4998780000023544],,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.3972959999228,None,414.20964268313816,-1.5631242693138176,6.333957476681664e-05,1,"[0.4496855267112978, 0.5734864327716438, 0.6184457625953766, 0.4287671337498992]","[260.9357239429598, 292.89044717410377, 328.75841126529275, 369.0188397077757]",Tone,"[2.0, 3.0, 4.0, 4.456966316652261]",False,217.39133010001387,220.06597549992148,220.06597549992148,221.270460599917,['space'],1,3.112543619936332,4.141408419935033,None,1,None,1,[0.6532396000111476],,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.56857469992246,None,153.77836415197424,-7.136210621316466,0.00020514065308388494,0,"[0.5007228508908476, 0.5915440689626378, 0.6722367452132497, 0.7273400037198539]","[7383.599806538644, 5215.914166018527, 2324.853141700889, 339.23965179569734]",None,"[8.970936056589014, 4.0, 2.8857393249623646, 4.0233960137397595]",False,222.561431500013,225.34058349998668,225.34058349998668,226.57271330000367,None,0,3.523614619858563,4.546556619927287,None,1,None,1,,,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,14,0,14,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.1555473000044,None,,,,,"[0.7394920690115401, 0.4789589237839478, 0.46329078412523717, 0.4445441447661367]","[2094.7463552410873, 1866.2068427134325, 1662.6012839581267, 1481.2093526567774]",Tone,"[3.0, 3.814699611797265, 5.0, 6.040397601811277]",True,228.16375429998152,230.87096209998708,230.87096209998708,232.08119980001356,None,1,3.151792819960974,4.162928820005618,None,1,None,1,,0,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,15,0,15,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.3562588999048,None,4000.0,0.0,8.394020090612804e-05,1,"[0.7309782739677065, 0.49996304603904473, 0.5460589666082446, 0.7926789702625047]","[1587.4010519682001, 2000.0000000000007, 2519.842099789747, 3174.8021039363994]",Major_3rd,"[5.350645207416182, 3.2454748692368316, 3.106486730434091, 4.276055605350804]",False,233.44906639994588,236.2554528999608,236.2554528999608,237.48392639996018,['space'],1,3.6048033399274573,4.617728739860468,None,1,None,1,[0.39106679998803884],,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.09713579993695,None,3700.183613903028,-2.121441970068926,6.162781345104042e-05,1,"[0.6559422610468715, 0.6971616132277377, 0.5170070627093557, 0.6358367785436582]","[5873.67536118516, 5232.849850052354, 4661.939223632508, 4153.315678382371]",Tone,"[6.0, 4.0, 3.2084435504672473, 3.2678250711198187]",False,239.09255059994757,241.99016259994823,241.99016259994823,243.22541590000037,['space'],1,3.5334559198236093,4.562297519762069,None,1,None,1,[0.40960030001588166],,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
,,,,0,0,0,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.6972427999135,None,2297.3967099940687,0.0,8.14042568960799e-05,1,"[0.47181572241574116, 0.6396520345591873, 0.5187827337390809, 0.7936515955513649]","[7010.450892758076, 293.82567762578583, 1529.819138011059, 6675.758478940157]",None,"[8.183632258325732, 3.0, 6.0, 7.153997528836262]",False,244.7245531999506,247.36494239990134,247.36494239990134,248.57890799990855,['space'],1,3.426217519911006,4.452683119801804,None,1,None,1,[0.45636800001375377],,,,,,,moiern,001,fr,0,0,2022-07-08_14h07.09.994,Cluster,2022.1.1,34.626194650552165,
