tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.4762647000607,None,176.7766952966369,1.0,0.00039272999556449274,1,"[0.724965506380223, 0.4852524641051511, 0.6663218408302165, 0.5265935616499056]","[890.8987181403394, 594.6035575013606, 396.8502629920499, 264.86577358982385]",Perfect_5th,"[12.0, 12.122965761949544, 13.139930138205095, 11.0]",False,223.94917180016637,226.84185840003192,226.84185840003192,228.06821060017683,['space'],1,[0.3991121998988092],3.432615279685706,4.441037179669365,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.42132510012016,None,163.10132743568917,9.075435120841334,0.0011366929834890304,1,"[0.5703935515620975, 0.5052563034485296, 0.7258851461295902, 0.5917858194359465]","[410.98959140404196, 326.20265487137834, 258.90721874882274, 205.49479570202098]",Major_3rd,"[13.139930138205095, 12.9516136381955, 11.0, 11.997537070210154]",False,229.41789639997296,232.2351957000792,232.2351957000792,233.4563812999986,['space'],1,[0.4327039998024702],3.424627620028332,4.456511619966477,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.90804990008473,None,,,,,"[0.4519242068299637, 0.4519242068299637, 0.4519242068299637, 0.4519242068299637]","[136.86862564933324, 273.23853977009423, 680.9217851604056, 1005.9089527579107]",None,"[15.679776902457883, 11.097731581488885, 13.0, 10.379185723991384]",True,234.9257990999613,237.31215020013042,237.31215020013042,238.52657320001163,None,1,,2.8518610200844705,3.87369162007235,None,1,None,1,0,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.8270914000459,None,924.1248864056071,5.206371528990989,7.629400990587695e-05,1,"[0.5601430946679277, 0.6810518220708459, 0.6217023395408119, 0.5992273834403518]","[370.4006988525875, 4750.918504659113, 7748.492697025785, 1147.5517957582106]",None,"[13.35483667658238, 1.0, -3.0, 10.14876247157516]",False,239.82741590007208,242.7275960999541,242.7275960999541,243.9438337001484,['space'],1,[0.4357841999735683],3.490108019905165,4.510261019924656,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.36576770013198,None,535.8867312681471,10.0,0.00020822445587443392,1,"[0.4615364254479294, 0.43896603469556156, 0.41916170444617484, 0.5388289694655571]","[1350.3499461681915, 1071.7734625362943, 850.6671609508566, 675.1749730840957]",Major_3rd,"[12.060778396820584, 9.966061332597004, 12.155450019189026, 13.0]",False,245.40170800010674,247.75988430017605,247.75988430017605,248.9813826000318,['space'],1,[0.4239069998729974],2.8931539999321103,3.897851799847558,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.3395152001176,None,1306.5725482056719,6.0,0.00010595783390045341,1,"[0.5543322752952732, 0.5543322752952732, 0.5543322752952732, 0.5543322752952732]","[5008.678424638678, 1015.201441990796, 404.93506239552204, 812.0213620674157]",None,"[2.0, 10.379185723991384, 13.139930138205095, 12.931393040306567]",False,250.33982350002043,253.01818910008296,253.01818910008296,254.24656400014646,['space'],1,[0.4954537998419255],3.257920220028609,4.266994120087475,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,7,0,7,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.63350440002978,None,1108.2207212895214,4.0,7.699253458359592e-05,1,"[0.4045350048884531, 0.7062180459573764, 0.656953539367733, 0.6140841511358681]","[2792.5412293646955, 2216.4414425790433, 1759.1907387879432, 1396.2706146823475]",Major_3rd,"[2.4303337370849842, 8.0, 13.716508752903845, 13.0]",False,255.63375110016204,258.44011120009236,258.44011120009236,259.66421289998107,['space'],1,[0.3310955998022109],3.40662311995402,4.419107419904321,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.08442490012385,None,,,,,"[0.7866967247982131, 0.7778037876850559, 0.724214827199503, 0.5147202004276645]","[417.8647179655359, 331.6594464394433, 263.2382770865815, 208.93235898276794]",Major_3rd,"[13.0, 13.0, 11.0, 11.997537070210154]",True,261.1017393001821,264.40545640001073,264.40545640001073,265.60527920001186,None,1,,3.858640319900587,4.8943763198331,None,1,None,1,0,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.01943260012195,None,176.7766952966369,0.0,0.0003500209769801159,1,"[0.6269929384429342, 0.5482696560755698, 0.7625240859209949, 0.44393385587283096]","[3265.6367281429334, 1067.2167300472343, 1915.5331293124439, 2086.679486844697]",None,"[-0.4465051926092025, 10.0, 12.0, 10.0]",False,267.0529400999658,270.01703520002775,270.01703520002775,271.21585160004906,['space'],1,[0.33578229998238385],3.40866462001577,4.41792192007415,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.50937169999816,None,1515.7165665103996,8.0,0.0001246656243888306,1,"[0.46224164764726133, 0.5176617375392871, 0.6771676220479128, 0.46258505799593846]","[3819.3664156416708, 3031.4331330207997, 2406.050072164236, 1909.6832078208352]",Major_3rd,"[-2.229291087697346, 0.9409126315812122, 6.0, 12.0]",False,272.5158059000969,275.19273530016653,275.19273530016653,276.43340690014884,['space'],1,[0.7088723997585475],3.139454319840297,4.172364519909024,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.7324600999709,None,176.7766952966369,0.0,0.0003500209769801159,1,"[0.4336790190949432, 0.4336790190949432, 0.4336790190949432, 0.4336790190949432]","[202.25698050830866, 886.7784057353766, 795.4890274949466, 2027.3766280387324]",None,"[12.0, 12.0, 13.0, 10.877239177966782]",False,277.8003267000895,280.13150510005653,280.13150510005653,281.34663729998283,['space'],1,[0.3940167997498065],2.7663475598674268,3.7928745599929243,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.6111406001728,None,,,,,"[0.7733686709533794, 0.7753897092226096, 0.5385872805235759, 0.41535195872093555]","[546.8107588425643, 165.40704781968893, 1846.752985846594, 166.21262860419804]",None,"[12.0, 15.0, 12.5186359227462, 15.0]",True,282.6215985000599,285.7211680000182,285.7211680000182,286.93921520002186,None,1,,3.5425883198622614,4.567480819765478,None,1,None,1,0,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.2125580001157,None,1264.609439255637,5.0,9.628764185885117e-05,1,"[0.4045819612122608, 0.4045819612122608, 0.4045819612122608, 0.4045819612122608]","[3186.6161048278586, 2529.2188785112744, 2007.4423542033132, 1593.308052413929]",Major_3rd,"[0.0, 5.0, 10.877239177966782, 14.259634010736352]",False,288.2045724999625,290.46499340003356,290.46499340003356,291.68383450014517,['space'],1,[0.7785154997836798],2.662336819805205,3.6931774197146297,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.9204935000744,None,2128.3528893228845,3.0518246304965606,0.00011034989699744375,1,"[0.4485397462929219, 0.4485397462929219, 0.4485397462929219, 0.4485397462929219]","[160.6057081758165, 1533.524529385545, 3669.420741878209, 207.5418643791708]",None,"[15.075435120841334, 14.061754902344383, -2.0, 11.997537070210154]",False,292.93882560008205,295.31601619999856,295.31601619999856,296.5278551001102,['space'],1,[0.4688223998527974],2.8273483200464398,3.8307830200064927,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,15,0,15,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.8017293000594,None,141.85177300977995,9.904518781883633,0.0017912111777859355,1,"[0.5973099417743435, 0.4758051590253558, 0.45848323439112626, 0.6075903042714538]","[225.17565369927897, 200.60870123710058, 178.7220347799312, 159.22323168887382]",Tone,"[11.0, 12.0, 14.0, 15.697045039826907]",False,297.80434220004827,300.37156190001406,300.37156190001406,301.5830874000676,['space'],1,[0.270934599917382],3.167007819749415,4.197019219631329,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.03551289997995,None,,,,,"[0.5672587634111209, 0.5672587634111209, 0.5672587634111209, 0.5672587634111209]","[915.566895565456, 611.0675906797521, 407.8386868154973, 272.19966661684833]",Perfect_5th,"[11.206371528990989, 12.527670868621039, 13.139930138205095, 11.097731581488885]",True,303.05191410006955,305.78101190016605,305.78101190016605,306.9949857001193,None,1,,3.310747120063752,4.317943719914183,None,1,None,1,0,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.3941118000075,None,4797.805044459207,-5.0,7.807201620507696e-05,1,"[0.5106983343876161, 0.5341986881467641, 0.5374621939545303, 0.43336979427204303]","[7526.933097066537, 3902.089508865867, 781.7539863743207, 7011.314201224558]",None,"[-1.1114747590062697, -2.2258162714211718, 13.0, 1.0]",False,308.4055196000263,311.01489740004763,311.01489740004763,312.2403759001754,['space'],1,[0.30138539988547564],3.0657139199320227,4.1054189200513065,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
