tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.65727630001493,None,353.5533905932738,2.0,0.0001115563142959358,1,"[0.409266316057293, 0.7803739789439063, 0.782205268922357, 0.5303663602243021]","[5403.706692032764, 270.70491758269947, 855.4438200069877, 133.48724607007298]",None,"[8.0, 3.455552171016498, 5.486761195015499, 9.84743044909529]",False,161.2907947000349,164.2841681999853,164.2841681999853,165.51519609999377,['space'],1,[0.16053699993062764],3.5349218003684655,4.555789000354707,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.86885309999343,None,632.0833029241236,-0.10632477737841706,5.036168842875674e-05,1,"[0.7131915239813411, 0.7890197095513917, 0.5604635560311442, 0.529550710416089]","[1592.7501172823622, 1264.1666058482474, 1003.369699993288, 796.375058641181]",Major_3rd,"[9.721088948797641, 7.224440241281819, 5.744353958799096, 5.505543549071022]",False,166.86369819997344,169.9522720000241,169.9522720000241,171.17917430005036,['space'],1,[0.023941699997521937],3.6157040001126006,4.6336756001692265,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.53692480002064,None,495.2091575294402,0.37248188399350135,7.483066621582887e-05,0,"[0.7294653345849145, 0.7294653345849145, 0.7294653345849145, 0.7294653345849145]","[196.52388440162986, 247.60457876472015, 311.962220836024, 393.0477688032596]",Major_3rd,"[6.0, 3.5204496957262235, 4.109296637790383, 6.0]",False,172.54664900002535,175.7507237000391,175.7507237000391,176.95683729997836,None,0,,3.937377600115724,4.9409926001681015,None,1,['space'],0,[0.4864545998862013],,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.52987630001735,None,,,,,"[0.6258679197085257, 0.7450079072103913, 0.578549696971228, 0.606142964492365]","[6075.145952420025, 152.51047471104403, 739.9701502222055, 3973.195254414232]",None,"[6.139549794679203, 9.0, 5.5706369273676914, 15.433228278353976]",True,178.54112279997207,181.53191679995507,181.53191679995507,182.73595080000814,None,1,,3.582432300201617,4.609324500197545,None,1,None,1,,0,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.18977139994968,None,4844.962714234615,4.0,0.00022517937850758768,1,"[0.5794793215086327, 0.5794793215086327, 0.5794793215086327, 0.5794793215086327]","[2412.558710432837, 717.2498790711103, 2987.5894766143306, 1779.6198102106505]",None,"[13.644897925100949, 5.6586428705152665, 16.76202069126697, 10.181407649142432]",False,184.18450350000057,186.96546840004157,186.96546840004157,188.19906450004783,['space'],1,[0.2465016000205651],3.351854700129479,4.363095300155692,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.59094190003816,None,189.4645708137998,3.0,0.00042914588322824827,1,"[0.43219326699919375, 0.43219326699919375, 0.43219326699919375, 0.43219326699919375]","[477.4208019552084, 378.9291416275996, 300.7562590205292, 238.7104009776042]",Major_3rd,"[6.44997255490173, 5.798875134321018, 4.0, 3.8816575338523966]",False,189.61258870002348,191.9340318000177,191.9340318000177,193.1406937999418,['space'],1,[0.2818657999159768],2.7689478002721444,3.7857879002112895,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.4210741999559,None,189.4645708137998,2.0,0.0003824766710234111,1,"[0.48168467608944293, 0.48168467608944293, 0.48168467608944293, 0.48168467608944293]","[2385.9391502752615, 1531.0182977545405, 1051.0499022304161, 2353.516857794121]",None,"[13.0, 9.201067646924706, 6.0, 13.0]",False,194.44791029999033,196.92688789998647,196.92688789998647,198.14327380002942,['space'],1,[0.346374100074172],2.972031400189735,3.9772297001909465,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.4568905000342,None,3609.581686236935,11.0,0.00027351413713250786,1,"[0.46217640726068376, 0.46217640726068376, 0.46217640726068376, 0.46217640726068376]","[6255.615769966842, 965.6039449167574, 267.32299195190706, 355.6022574690641]",None,"[6.0, 5.552552403700736, 3.455552171016498, 5.276290861042572]",False,199.47066799993627,201.88413629995193,201.88413629995193,203.11277190002147,['space'],1,[0.19165360007900745],2.8719432001234964,3.9030866001266986,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.4195197999943,None,329.87697769322364,3.0,0.00013385056005377387,1,"[0.5732296980435322, 0.5732296980435322, 0.5732296980435322, 0.5732296980435322]","[758.285560036788, 263.2862751565268, 205.487224000885, 2752.8961022845338]",None,"[5.5706369273676914, 3.455552171016498, 5.349834201550752, 15.870546298537242]",False,205.39114590000827,208.1558965999866,208.1558965999866,209.35872080002446,['space'],1,[0.3167840999085456],3.32594040047843,4.336080400389619,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.76975730003323,None,,,,,"[0.4307915075239035, 0.4307915075239035, 0.4307915075239035, 0.4307915075239035]","[6199.94806680733, 1221.469031738853, 1166.8688866496707, 5343.5260090306265]",None,"[6.139549794679203, 7.224440241281819, 6.596688252632579, 8.0]",True,210.7734704000177,213.0886258999817,213.0886258999817,214.29167860001326,None,1,,2.745517900097184,3.750215500127524,None,1,None,1,,0,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.57093669997994,None,7216.256279246285,0.8727701063132407,0.00017445991434821936,1,"[0.7999227250471406, 0.49277077426387744, 0.6857763667709189, 0.49737293977309016]","[546.7669088141852, 4478.887839899974, 7098.814968105355, 7381.897369254984]",None,"[6.223602336188723, 13.0, 6.235271880643747, 6.872770106313241]",False,215.57987609994598,218.5996602999512,218.5996602999512,219.83312029996887,['space'],1,[0.2602481000358239],3.511012300150469,4.524215700104833,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,12,0,12,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.15475270000752,None,927.9029294950187,-0.4474475962992637,3.9894328056506576e-05,1,"[0.7039462465363251, 0.7039462465363251, 0.7039462465363251, 0.7039462465363251]","[185.28500663532859, 1924.7519947921353, 626.7773267347206, 3000.293550296257]",None,"[6.298427577435086, 11.0, 5.893675222621583, 16.76202069126697]",False,221.14960290002637,224.293748499942,224.293748499942,225.5076945000328,['space'],1,[0.5096200000261888],3.8520282001700252,4.879723800113425,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0846166999545,None,1760.7885311336868,4.181407649142433,0.00010359112915829482,1,"[0.6159614877007972, 0.6159614877007972, 0.6159614877007972, 0.6159614877007972]","[2795.077566615155, 2490.1310212002604, 2218.454534788806, 1976.4183012959702]",Tone,"[15.870546298537242, 14.0, 12.0, 11.0]",False,227.09080540004652,229.975931199966,229.975931199966,231.17727550002746,['space'],1,[0.21829779993277043],3.4826312001096085,4.511398500180803,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.65357079997193,None,,,,,"[0.707743127190306, 0.707743127190306, 0.707743127190306, 0.707743127190306]","[7784.671822937123, 1582.6795177067072, 194.8535521281723, 3397.897441657714]",None,"[7.692627719322694, 9.721088948797641, 6.0, 17.255005123640814]",True,232.66508479998447,235.81619599997066,235.81619599997066,237.03685589996167,None,1,,3.845293900114484,4.85100210015662,None,1,None,1,,0,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.56270889996085,None,329.87697769322364,3.0,0.00013385056005377387,1,"[0.7504510038109033, 0.7504510038109033, 0.7504510038109033, 0.7504510038109033]","[130.9117653525784, 164.93848884661188, 207.80947403569704, 261.82353070515677]",Major_3rd,"[9.84743044909529, 8.157001307055994, 5.0, 3.455552171016498]",False,238.65246360003948,241.94614829996135,241.94614829996135,243.15919090004172,['space'],1,[0.1412498999852687],4.035239100106992,5.065112700103782,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.75098230002914,None,353.5533905932738,1.0,9.942466977099573e-05,1,"[0.7048581234252471, 0.4800510221247871, 0.7969520812003221, 0.7452518839000705]","[140.30775603867167, 176.77669529663694, 222.72467953508487, 280.6155120773433]",Major_3rd,"[9.477597685312794, 7.2639064192810725, 4.513812465724815, 3.6675546830051218]",False,244.75995019997936,247.75877189997118,247.75877189997118,248.9661697000265,['space'],1,[0.38001999992411584],3.7792135000927374,4.811936200130731,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
,,,,0,0,0,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.6045856999699,None,5706.593031024187,0.891561803284695,0.00014038435843091374,1,"[0.6468928588253238, 0.7013118090918234, 0.501794643962212, 0.6672687455267279]","[1132.331472575274, 1696.580258729727, 2541.998208144021, 3808.6939046700304]",Perfect_5th,"[6.596688252632579, 10.0, 14.0, 16.0]",False,250.62083539995365,253.5001797999721,253.5001797999721,254.70340640004724,['space'],1,[0.2774395999731496],3.5403120002010837,4.542758700088598,None,1,None,1,,,,,,,hoavur,001,fr,0,0,2022-05-04_14h52.44.533,Cluster,2022.1.1,30.70948428688437,
