tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,API_start,API_stop,API_duration,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,answer_too_late.rt,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.938356099883094,None,,,,1133.3209695078522,5.0,8.825400896937108e-05,1,"[0.6567662625909667, 0.7721779307403898, 0.5093529195448141, 0.7463185874522678]","[502.9548806594026, 283.221808704264, 799.2607789387432, 177.4375916902164]",None,"[1.9387558237431435, 5.596181116739962, 3.464680763121044, 3.1083421672832143]",False,56.95737720001489,59.9252114999108,59.9252114999108,61.14330130000599,['space'],1,[0.3089487000834197],3.721390420338139,4.729811320314184,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.69817059999332,None,1650536239.643864,1650536240.6842005,1.0403366088867188,574.3491774985172,-9.0,2.1234232560005863e-05,0,"[0.6835883375092258, 0.5940025742651089, 0.7961465859032981, 0.6094467682993456]","[1447.2692374403773, 1148.6983549970344, 911.7224885582164, 723.6346187201887]",Major_3rd,"[9.58105541366995, 7.374753143792167, 4.794025478362087, 2.335362874573512]",False,64.79148659994826,67.88344440003857,67.88344440003857,69.11825899989344,None,0,,3.7288164403289557,4.760088240262121,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5575868000742,None,,,,,,,,"[0.42445224687074107, 0.7572615163487952, 0.5397764983286383, 0.524173979703881]","[126.26688181049006, 159.08630229762448, 200.4361810147162, 252.53376362098007]",Major_3rd,"[4.2409982726429245, 3.6893224035748413, 2.895042193204213, 4.191212245504896]",True,71.5716262999922,74.32235169992782,74.32235169992782,75.5571713000536,None,1,,3.2872066202107817,4.300884120166302,None,1,None,1,,0,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.89585219998844,None,1650536253.8235958,1650536256.1566093,2.3330135345458984,574.3491774985172,-9.0,2.1234232560005863e-05,0,"[0.6754211112373446, 0.6754211112373446, 0.6754211112373446, 0.6754211112373446]","[138.1068590216613, 2400.736106590926, 2293.0710160879335, 1115.3890578833132]",None,"[4.216895407745912, 2.0, 3.034886487796405, 7.0]",False,80.21520660002716,83.2648994999472,83.2648994999472,84.50023690005764,None,0,,3.716986460611224,4.747065760428086,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9722158999648,None,,,,3281.5845738677385,-2.1169056521073517,5.590121314310605e-05,1,"[0.6476325492751454, 0.6476325492751454, 0.6476325492751454, 0.6476325492751454]","[126.2486182719437, 172.82570334122116, 7189.942019339745, 630.3629462909137]",None,"[4.2409982726429245, 3.1083421672832143, 4.774566040266244, 1.493318367043476]",False,86.98806710005738,89.97308139991947,89.97308139991947,91.20724530005828,['space'],1,[0.12746500014327466],3.6158200199715793,4.6202605199068785,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.62369540007785,None,1650536269.5733545,1650536272.236817,2.6634624004364014,8000.0,0.0,0.0001815390273850507,1,"[0.7314290404562654, 0.7314290404562654, 0.7314290404562654, 0.7314290404562654]","[219.86923746839744, 4289.010995022114, 895.6476376548045, 675.8797801320928]",None,"[3.0952451234517246, 0.8358100735481013, 4.110395708048437, 2.0]",False,96.29627829999663,99.51505020004697,99.51505020004697,100.7249539999757,['space'],1,[0.1758439999539405],3.9381060008890927,4.968270700890571,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.31052719987929,None,,,,,,,,"[0.4548667072142452, 0.4548667072142452, 0.4548667072142452, 0.4548667072142452]","[2754.1229482746066, 1838.1565373206106, 1226.8223021093695, 818.8056514201082]",Perfect_5th,"[0.4143334754883661, 7.260159745099018, 8.303968446146236, 3.464680763121044]",True,103.30316030001268,105.68830729997717,105.68830729997717,106.92381260008551,['space'],0,[0.2175888002384454],2.8597867200151086,3.88865432003513,None,1,None,1,,0,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.22334899986163,None,1650536285.187631,1650536286.759395,1.5717639923095703,2828.42712474619,0.0,6.548596627134577e-05,1,"[0.4717069244369597, 0.4083765927722645, 0.47908692667042346, 0.7069942070184693]","[868.3215138917249, 174.83739280581983, 7114.268402999635, 5643.774606031125]",None,"[4.110395708048437, 3.1083421672832143, 4.774566040266244, 3.247730475677683]",False,110.82129730004817,113.20427630003542,113.20427630003542,114.42718779994175,['space'],1,[0.3338414002209902],3.1231269205454737,4.152465920662507,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.97316829999909,None,,,,3084.836495343777,-2.0526067063665256,4.96240058057869e-05,0,"[0.4239522914340502, 0.4989770094671684, 0.7370211018011863, 0.5684500379783785]","[310.5028902888585, 817.4190969019782, 4157.859249322964, 1524.4423034270396]",None,"[6.059135077977032, 3.464680763121044, 0.8358100735481013, 9.6570143092373]",False,116.98460259987041,119.68180410005152,119.68180410005152,120.90421970002353,None,0,,3.2550135201308876,4.273742520017549,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.27124830009416,None,,,,643.729138108855,-0.41446251275577584,4.763272500872133e-05,1,"[0.6854902558011704, 0.6854902558011704, 0.6854902558011704, 0.6854902558011704]","[422.798621298852, 5468.817270848464, 165.94095171895492, 2952.70483019936]",None,"[4.0, 3.0, 3.3723023506590977, 0.1755438318443634]",False,123.28761280002072,126.37669499986805,126.37669499986805,127.61272910004482,['space'],1,[0.08508970006369054],3.789159120293334,4.812257720390335,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.12023180001415,None,1650536306.0754654,1650536307.1346035,1.0591380596160889,1071.7734625362941,10.0,0.00014879946107062842,1,"[0.6569787320735823, 0.6569787320735823, 0.6569787320735823, 0.6569787320735823]","[1701.334321901713, 1515.7165665103996, 1350.3499461681913, 1203.0250360821178]",Tone,"[8.426474349612413, 9.6570143092373, 9.103541586562777, 8.0]",False,131.1942996000871,134.1833061000798,134.1833061000798,135.386259800056,['space'],1,[0.3566431002691388],3.6644034003838897,4.694279100280255,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.89667819999158,None,,,,,,,,"[0.5772449652861461, 0.6280466636328206, 0.4425276110857096, 0.48167350154242095]","[3637.2093195785637, 3240.385120420638, 2886.8549500637755, 2571.8953744689106]",Tone,"[0.2889914060118919, 0.12314290329400102, 0.4143334754883661, 1.0]",True,137.9060356998816,140.5765728999395,140.5765728999395,141.79219170007855,['space'],0,[0.1997136001009494],3.154669620329514,4.173181320307776,None,1,None,1,,0,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0959713999182,None,1650536320.0327103,1650536321.3254993,1.2927889823913574,1624.5047927124701,7.0,0.0001295257074132791,1,"[0.4292865540786176, 0.7078627060034783, 0.7380706706756983, 0.7522086232523034]","[4708.8447332655, 3502.332477481094, 159.92714328993034, 1480.482516218601]",None,"[1.3072675182586222, 0.17184970796578725, 3.3723023506590977, 9.6570143092373]",False,145.38679939997382,148.27519309986383,148.27519309986383,149.50026899995282,['space'],1,[0.35269760014489293],3.64749112050049,4.657969820545986,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.07735130004585,None,,,,587.6001373168474,-0.8410274270283072,5.244679817494909e-05,1,"[0.717712490546135, 0.717712490546135, 0.717712490546135, 0.717712490546135]","[370.164890963307, 415.4960417228893, 466.378538056711, 523.4922091146667]",Tone,"[5.289027767580068, 4.0, 2.6311300037882948, 1.4829887434687423]",False,152.09050439996645,155.27187249995768,155.27187249995768,156.50758989993483,['space'],1,[0.6425859001465142],3.9184794202446938,4.934884520247579,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.03295410005376,None,1650536334.9746263,1650536338.5601854,3.585559129714966,5278.031643091578,-2.0,0.00011318642836647141,0,"[0.7857486142273953, 0.7857486142273953, 0.7857486142273953, 0.7857486142273953]","[187.82951366072373, 163.83845724251478, 1531.3098988117592, 5646.593648997355]",None,"[2.9238165415902073, 3.3723023506590977, 9.6570143092373, 3.247730475677683]",False,162.62127080000937,166.0175449999515,166.0175449999515,167.25313750002533,None,0,,4.152804780984297,5.1819335808977485,None,1,['space'],0,[-7.624961499823257],,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.841323700035,None,,,,,,,,"[0.6426986807605272, 0.6426986807605272, 0.6426986807605272, 0.6426986807605272]","[162.86683202849224, 1896.7321180277631, 784.2661135026704, 5921.584624373495]",None,"[3.3723023506590977, 7.0, 3.0, 3.8729078284856655]",True,169.84131729998626,172.79438169999048,172.79438169999048,174.02747149998322,['space'],0,[0.40702680009417236],3.589502020040527,4.622062820009887,None,1,None,1,,0,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
,,,,0,0,0,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.48381130001508,None,,,,167.56604152824767,1.1479791289012402,0.0004377629754882504,1,"[0.5496838131896147, 0.7809487303892247, 0.4664087148936171, 0.606170302230487]","[422.2399659379955, 335.1320830564954, 265.99451059608737, 211.11998296899773]",Major_3rd,"[4.0, 6.159795749040223, 4.941271169810042, 3.0]",False,176.4781454000622,179.29947909992188,179.29947909992188,180.5337620000355,['space'],1,[0.3167814000044018],3.424252020427957,4.44453442026861,None,1,None,1,,,,,eqdcwr,001,fr,1,1,2022-04-21_12h16.29.024,Cluster,2022.1.1,None,
