tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,Audiogram_none,answer_too_late.rt,Audiogram_time,Audiogram_both,Audiogram_frequency,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.43743570000515,None,1125.9104456127147,6.0,9.84041734249986e-05,1,"[0.45134481361659007, 0.45134481361659007, 0.45134481361659007, 0.45134481361659007]","[446.817856446902, 562.9552228063575, 709.2791353619881, 893.6357128938039]",Major_3rd,"[14.0, 12.0, 13.529967651613134, 14.707874122736042]",False,126.44074499999988,128.83788139998796,128.83788139998796,130.05591679998906,['space'],1,[0.1208267999754753],2.8391986666829325,3.863088866666658,None,1,None,1,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.34645919999457,None,505.1659297075677,6.693760051509344,0.00015266215299280844,0,"[0.5522262761968425, 0.4355749309531371, 0.758550878148882, 0.7882985852578213]","[318.23459426413916, 357.2062545206279, 400.95046411814326, 450.05167922464483]",Tone,"[16.0, 16.808184194933794, 16.0, 14.0]",False,131.34995329999947,134.1341182999895,134.1341182999895,135.3697828000004,None,0,,3.562216466641985,4.593580366636161,None,1,['space'],0,[0.38521290000062436],,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.97394510000595,None,176.7766952966369,2.0,0.00044065030258128913,0,"[0.6198323752267483, 0.7713499704890507, 0.7419101467225987, 0.7376552163001527]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[14.799841735560463, 16.808184194933794, 14.0, 8.0]",False,137.94858679999015,141.09927760000573,141.09927760000573,142.32161350001115,None,0,,3.885177966672927,4.913477866677567,None,1,['space'],0,[0.4284240000124555],,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.90761880000355,None,,,,,"[0.6110823583708258, 0.6110823583708258, 0.6110823583708258, 0.6110823583708258]","[267.2968710520631, 238.1344397832066, 212.15366714792657, 189.00743011085999]",Tone,"[12.470443348652893, 10.0, 7.9023672276089405, 6.492421165504038]",True,143.89316740000504,146.76240869998583,146.76240869998583,147.99155529998825,None,1,,3.474652866658289,4.492288766661659,None,1,['space'],0,[0.4126623999909498],0,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.41399890001048,None,353.5533905932738,0.0,8.861233020703779e-05,1,"[0.42877496369856005, 0.42877496369856005, 0.42877496369856005, 0.42877496369856005]","[140.30775603867167, 176.77669529663694, 222.72467953508487, 280.6155120773433]",Major_3rd,"[7.3800252127100885, 6.3554415058480895, 8.0, 14.0]",False,149.4398419999925,151.75776839998434,151.75776839998434,152.99724009999773,['space'],1,[0.05213209998328239],2.742687666672282,3.7771622666623443,None,1,None,1,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.26281819998985,None,166.29378124165123,0.514133550478365,0.0004118714283164736,0,"[0.7733399221551376, 0.7733399221551376, 0.7733399221551376, 0.7733399221551376]","[838.0681418118784, 559.3433781003597, 373.31691662722926, 249.1591492749488]",Perfect_5th,"[14.653733467188017, 12.0, 16.58193300635728, 10.756041600821511]",False,154.26901049999287,157.60249479999766,157.60249479999766,158.82016989999101,None,0,,4.117058966628974,5.144762366631767,None,1,['space'],0,[0.4525799000111874],,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.45024760000524,None,2595.6368086794405,3.0,0.00011293556808006833,0,"[0.7637066515956212, 0.6496118274732814, 0.5276842816721915, 0.5817687102520919]","[424.4225146518895, 1161.434287953001, 1219.069002808951, 142.2267832717935]",None,"[15.0, 11.770115939218243, 11.0, 7.3800252127100885]",False,160.4514252000081,163.43153470000834,163.43153470000834,164.6625575000071,None,0,,3.5587917666707654,4.582519266667077,None,1,['space'],0,[0.4471810999966692],,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0666188999894,None,,,,,"[0.7012813625696492, 0.7012813625696492, 0.7012813625696492, 0.7012813625696492]","[423.29758586630294, 224.7488649712363, 192.31941277245576, 901.2849636456832]",None,"[15.0, 8.0, 6.492421165504038, 14.707874122736042]",True,166.06974450001144,169.20612869999604,169.20612869999604,170.44326120000915,None,1,,3.8348094666434918,4.858704866637709,None,1,['space'],0,[0.3856369999994058],0,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.9570367000124,None,176.7766952966369,2.0,0.00044065030258128913,0,"[0.4301895993345854, 0.46143121642065915, 0.4606391254076279, 0.5707372700321789]","[448.80344614317886, 1686.9984767747492, 177.4102044530126, 3042.7643107379486]",None,"[14.0, 11.466217611438429, 6.3554415058480895, 5.4169882763410016]",False,171.97700839999015,174.35336700000335,174.35336700000335,175.58811839998816,None,0,,2.939420066657476,3.959315066662384,None,1,['space'],0,[0.4853653000027407],,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.99365310001303,None,339.1452175529164,10.448735850642809,0.0003075296261159736,0,"[0.681663507604017, 0.5976190387425092, 0.7810420407998131, 0.6501653046122017]","[1456.263446779536, 5994.688879184763, 4268.954222353915, 449.8517231235137]",None,"[10.376196147230004, -1.0, -2.4800499017707835, 14.0]",False,177.00059059998603,180.0854255000013,180.0854255000013,181.30468840000685,None,0,,3.7553017666505184,4.786314066644991,None,1,['space'],0,[0.4342443000059575],,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.82888600000297,None,353.5533905932738,0.0,8.861233020703779e-05,0,"[0.6906338253385027, 0.6906338253385027, 0.6906338253385027, 0.6906338253385027]","[7338.600225363628, 2497.6987518665173, 1210.3906882066049, 4927.597643648364]",None,"[5.0, 10.0, 11.0, -3.513043538912708]",False,182.83967509999638,185.95119039999554,185.95119039999554,187.20059819999733,None,0,,3.7909502666443586,4.811168566666311,None,1,['space'],0,[0.4561375000048429],,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.69820590000018,None,,,,,"[0.5067470761939943, 0.5382893965935167, 0.7596520233862614, 0.6589604247401859]","[6940.308667803291, 148.9911258471874, 219.46170425800102, 2444.2553180009363]",None,"[3.430336541101992, 7.0, 8.0, 10.070353108031792]",True,188.6985224999953,191.53623890000745,191.53623890000745,192.77273140000761,None,1,,3.505927266640356,4.531632466649171,None,1,['space'],0,[0.45460309999180026],0,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.26311359999818,None,5278.031643091578,-7.0,6.364940612116406e-05,0,"[0.7685596033728366, 0.7685596033728366, 0.7685596033728366, 0.7685596033728366]","[2094.5882456412546, 2639.01582154579, 3324.9515845711526, 4189.176491282508]",Major_3rd,"[11.710482821000681, 8.73208995742255, 3.0, -2.0]",False,194.34680020000087,197.6710946999956,197.6710946999956,198.8879528999969,None,0,,4.090371733356733,5.104240433342056,None,1,['space'],0,[0.44752640000660904],,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.48688370001037,None,2647.4944328151914,2.732089957422551,0.0001050915574420874,1,"[0.44444197698815685, 0.44444197698815685, 0.44444197698815685, 0.44444197698815685]","[1050.6588619326972, 1323.7472164075962, 1667.8169826916742, 2101.3177238653934]",Major_3rd,"[13.0, 10.503785622989126, 11.0, 11.710482821000681]",False,200.49286619998747,202.84102849999908,202.84102849999908,204.04967380000744,['space'],1,[0.001153099990915507],2.8096393666637596,3.8292848666897044,None,1,None,1,,,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.3608760999923,None,1049.162796320453,7.0,0.00010322470498664599,0,"[0.7107271887119881, 0.7107271887119881, 0.7107271887119881, 0.7107271887119881]","[1269.7168565832405, 3100.8004191483205, 790.0258725725225, 2071.522359830624]",None,"[10.988817863437873, 5.0, 14.653733467188017, 11.948081623836476]",False,205.36108559998684,208.5156047999917,208.5156047999917,209.72491019999143,None,0,,3.8798363666574005,4.907635266659781,None,1,['space'],0,[0.4032553000142798],,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.30756990000373,None,,,,,"[0.5032033185102645, 0.4771418683541494, 0.533985115839028, 0.7283756259295342]","[2960.195709651793, 4624.756148954662, 741.5895591139878, 4542.576941390123]",None,"[6.0, -3.2484897532137467, 14.0, -3.0]",True,211.30988539999817,213.84276769999997,213.84276769999997,215.07640170000377,None,1,,3.2674294666794594,4.282110966683831,None,1,['space'],0,[0.45234329998493195],0,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
,,,,0,0,0,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.63029800000368,None,574.3491774985172,0.0,5.984619860562044e-05,0,"[0.6499389130610284, 0.6499389130610284, 0.6499389130610284, 0.6499389130610284]","[361.81730936009427, 406.1261981781175, 455.8612442791081, 511.68694599838716]",Tone,"[16.808184194933794, 15.849944632408539, 14.0, 12.693760051509344]",False,216.64078710001195,219.62511749999248,219.62511749999248,220.8492743000097,None,0,,3.620796633331338,4.640212733327644,None,1,['space'],0,[0.46265949998633005],,,,,,,gtyzck,001,fr,0,0,2022-04-27_10h50.08.615,Cluster,2022.1.1,36.50298484853313,
