tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,answer_too_late.rt,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.09010250000028,None,549.2655732182533,19.988071448995573,0.0006367174810910394,1,"[0.46694703799411563, 0.46694703799411563, 0.46694703799411563, 0.46694703799411563]","[361.5822195046852, 1314.8212803154559, 563.7055845648782, 513.0915653242201]",None,"[31.367258929177495, 16.910019972301612, 25.0, 27.0]",False,190.08503360000032,192.50705990000006,192.50705990000006,193.7300680999997,['space'],1,2.896906066665906,3.933501966665972,None,1,None,1,,[0.2597067999995488],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.05226539999967,None,176.7766952966369,19.0,0.003119565241000184,1,"[0.46050233518640216, 0.46050233518640216, 0.46050233518640216, 0.46050233518640216]","[890.8987181403394, 594.6035575013606, 396.8502629920499, 264.86577358982385]",Perfect_5th,"[18.0, 24.0, 30.520988351585586, 27.612229534922236]",False,195.07322740000018,197.49798490000012,197.49798490000012,198.72872449999977,['space'],1,2.849753666666402,3.873767166665857,None,1,None,1,,[0.18605500000012398],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.99130409999998,None,,,,,"[0.5290054590759676, 0.7449410266622561, 0.6373880311667456, 0.7639523744637853]","[1448.3680146361446, 1290.3492076348093, 1149.570455035254, 1024.1508448029144]",Tone,"[17.39714282839313, 16.910019972301612, 16.41519521995837, 16.907295475076943]",True,199.9953134999996,202.93931629999952,202.93931629999952,204.1736447000003,None,1,3.7093064666669306,4.750242366666498,None,1,None,1,,,0,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.77923790000023,None,176.7766952966369,19.0,0.003119565241000184,1,"[0.7163223097195509, 0.7163223097195509, 0.7163223097195509, 0.7163223097195509]","[3499.2496615525592, 3014.7967588146307, 6200.107759955689, 1261.5611705905985]",None,"[16.02710471033498, 15.338393759349065, 16.53660351984219, 16.557281121282692]",False,205.78145140000015,208.96719769999982,208.96719769999982,210.19401670000025,['space'],1,3.8763634666665894,4.915245966666589,None,1,None,1,,[0.3536634000001868],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.7509143999996,None,1315.5579782513068,10.910019972301614,0.00018569742083191336,1,"[0.5406168885821955, 0.5406168885821955, 0.5406168885821955, 0.5406168885821955]","[522.0795296503205, 657.7789891256534, 828.7495945779816, 1044.159059300641]",Major_3rd,"[26.0, 22.575394634166223, 19.0, 16.52712978726722]",False,211.7651592000002,214.42051889999948,214.42051889999948,215.6475191999998,['space'],1,3.1824091666658205,4.223210766665943,None,1,None,1,,[0.3087063000002672],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,6,0,6,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.03324220000013,None,854.5638036800499,12.368777138069806,0.000165812469824251,1,"[0.5242443957904371, 0.7462441211212469, 0.5460992356846827, 0.5274923246178261]","[1356.5354809356572, 1208.5357210774657, 1076.6829247347248, 959.2154374897577]",Tone,"[17.0, 16.557281121282692, 16.52712978726722, 17.536976808502533]",False,217.04575120000027,219.89239869999983,219.89239869999983,221.1045151999997,['space'],1,3.3792765666657942,4.402331766666066,None,1,None,1,,[0.3203407999990304],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.48220949999995,None,1773.112260617576,12.593949728891563,0.00027523822353891066,1,"[0.4055683680725589, 0.4055683680725589, 0.4055683680725589, 0.4055683680725589]","[1190.2021024135365, 750.9539660818589, 127.69355310794424, 3898.5453386823588]",None,"[16.557281121282692, 20.393573098672633, 20.54640194650904, 16.867300937553054]",False,222.49680480000006,224.72868769999968,224.72868769999968,225.96479180000006,['space'],1,2.6483452666661833,3.6709800666667434,None,1,None,1,,[0.2567905999994764],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.20887010000024,None,1833.2878657035508,12.586210914394181,0.0002865653774068963,1,"[0.7643568285218759, 0.7685938100123301, 0.5956987968965853, 0.6470980574008064]","[2603.3514902968827, 3618.988287220905, 3121.272340116853, 702.2059089996222]",None,"[15.727744022958504, 16.506253786942413, 15.338393759349065, 21.479916871836636]",False,227.21804900000006,230.38951319999978,230.38951319999978,231.60895379999965,['space'],1,3.812689766667063,4.848031866667043,None,1,None,1,,[0.09855429999970511],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.1024596999996,None,,,,,"[0.6789700922019493, 0.5728264235877757, 0.5954151270288113, 0.4207765560580816]","[158.359862283548, 199.52092394949534, 251.3806119784433, 316.719724567096]",Major_3rd,"[19.310635395283462, 21.0, 26.0, 30.319445914765076]",True,233.11918349999996,235.99995229999968,235.99995229999968,237.2172803000003,['space'],0,3.2915050666661045,4.327693166665995,None,1,None,1,,[0.1430265999997573],0,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.48280840000007,None,353.5533905932738,20.0,0.000886123302070378,1,"[0.4731812171061716, 0.4731812171061716, 0.4731812171061716, 0.4731812171061716]","[5447.728832715337, 484.71975056217235, 1265.121005103031, 597.3473271189065]",None,"[16.36011602406733, 28.0, 16.557281121282692, 24.0]",False,238.49894659999973,240.95796210000026,240.95796210000026,242.1856455999996,['space'],1,2.931216433334157,3.9441244333338545,None,1,None,1,,[0.40213519999997516],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.47946739999952,None,594.7963699137609,18.0,0.0004500380122549764,1,"[0.7781410945600344, 0.7781410945600344, 0.7781410945600344, 0.7781410945600344]","[6233.636461590761, 946.7666311390456, 697.7984010885405, 1022.4689657376383]",None,"[17.0, 17.536976808502533, 21.479916871836636, 16.907295475076943]",False,243.49634520000018,246.8493599000003,246.8493599000003,248.05902080000033,['space'],1,4.14721496666607,5.180328966665911,None,1,None,1,,[0.25261200000022654],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,12,0,12,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.71529959999953,None,1071.7734625362941,34.0,0.002358312528927215,1,"[0.6057730932508452, 0.6057730932508452, 0.6057730932508452, 0.6057730932508452]","[171.52558133073347, 1497.2179278782887, 2860.8737326509854, 165.3573945590387]",None,"[19.6209483717776, 17.90976647246743, 15.379151084288148, 19.30427764440696]",False,251.50468159999946,254.34845330000007,254.34845330000007,255.59021889999985,['space'],1,3.450013133333414,4.476541733333761,None,1,None,1,,[0.31068689999938215],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0291965999995,None,,,,,"[0.6137839765966272, 0.5004832043364209, 0.7682578054695819, 0.5871343808040892]","[648.7536355578446, 577.9737823073687, 514.9161017763582, 458.73809502237805]",Tone,"[23.0, 24.811445844059197, 27.0, 28.42596580616531]",True,257.0444066,259.9629729999997,259.9629729999997,261.1807719999997,None,1,3.5119378666668126,4.54184236666697,None,1,None,1,,,0,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.6167481000002,None,5995.803943649803,10.536603519842188,0.0003902831129771662,1,"[0.43457075648048726, 0.43457075648048726, 0.43457075648048726, 0.43457075648048726]","[254.28163161244396, 5678.058944497152, 673.1281483703945, 2581.056401302809]",None,"[26.0, 16.27400671602057, 22.0, 16.0]",False,262.6078113000003,264.9364052000001,264.9364052000001,266.1731818999997,['space'],1,2.7661765666662177,3.798731866666458,None,1,None,1,,[0.36434169999938604],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.44874230000005,None,176.7766952966369,18.0,0.0027803154476108384,1,"[0.6719086279546234, 0.7807030791011909, 0.7191570119276964, 0.68849877193699]","[1937.780310873988, 417.27574841862497, 2384.5216940949886, 738.5451947117541]",None,"[18.297056651816593, 30.0, 17.0, 21.0]",False,267.5127394000001,270.6999203999994,270.6999203999994,271.93971899999997,['space'],1,3.8781228333327817,4.916231333332689,None,1,None,1,,[0.3074724999996761],,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.4647795000001,None,128.86052125265655,14.54640194650904,0.00367391962251132,0,"[0.6802300341643818, 0.6276229493150388, 0.7911893341441696, 0.5138567189350555]","[1587.66082711717, 951.9710668725762, 5767.151426976896, 5234.557337728363]",None,"[18.3463712165465, 17.536976808502533, 16.27400671602057, 16.36011602406733]",False,273.4775002999995,276.60230239999964,276.60230239999964,277.8225738000001,None,0,3.6324833666667473,4.6638940666662165,None,1,None,1,,,,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
,,,,0,0,0,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.18132799999967,None,,,,,"[0.5399474272395126, 0.4750562793485986, 0.5601072309332689, 0.44486680337166007]","[323.0739660832576, 3339.189902184961, 5647.72165030929, 1033.2966458512255]",None,"[31.0, 15.585569304371509, 16.27400671602057, 16.907295475076943]",True,279.1986866999996,281.81785899999977,281.81785899999977,283.0365974999995,None,1,3.0392266666667638,4.076909266666917,None,1,None,1,,,0,,,,,,ikieoz,001,fr,0,0,2022-04-25_16h11.31.989,Cluster,2022.1.1,None,
