tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_both,Audiogram_frequency,Audiogram_none,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.16549489996396,None,798.2485349902222,6.459334676748085,8.087927186487208e-05,1,"[0.501890660857625, 0.46869720791356184, 0.5942770344972436, 0.7687025984923508]","[2330.9027670110595, 1267.620871898822, 266.98812068918926, 461.4848984116657]",None,"[10.35069724881328, 7.65358028324402, 12.409733461880743, 12.691372772585694]",False,119.16854449990205,121.76067469990812,121.76067469990812,122.99531449994538,['space'],1,[0.37477100000251085],3.363968166639097,4.397024966659956,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.60325899999589,None,353.5533905932738,0.0,8.861233020703779e-05,1,"[0.44430164066773403, 0.6308493296063562, 0.7029572144276734, 0.4861574617208255]","[561.2310241546867, 500.0000000000001, 445.44935907016975, 396.8502629920499]",Tone,"[11.795924888873552, 12.137771400097948, 13.0, 14.065615296582664]",False,124.63689999992494,127.45341209997423,127.45341209997423,128.68579319992568,['space'],1,[0.4490525999572128],3.295009333291091,4.307220433256589,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.98432629997842,None,,,,,"[0.5687247827141719, 0.4711205673179418, 0.625305581303367, 0.5329130303026643]","[3686.843826218883, 2460.6730376688524, 1642.3022193810132, 1096.1052275108377]",Perfect_5th,"[0.0, 9.942223403142224, 7.6869849008816455, 9.0]",True,129.9812479999382,132.67117489990778,132.67117489990778,133.90500139992218,None,1,,3.230256466777064,4.2607166667003185,None,1,None,1,0,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.2860672000097,None,239.10850972150584,5.09100126744373,0.0003393132823487552,0,"[0.40501096844695145, 0.40501096844695145, 0.40501096844695145, 0.40501096844695145]","[612.2866396291769, 6301.9195553588, 4328.4002284989365, 557.7459331059237]",None,"[11.99822464899644, 1.0, -3.2044923810778823, 11.795924888873552]",False,135.29579000000376,137.54164670000318,137.54164670000318,138.777425999986,None,0,,2.648597366642207,3.6817558667389676,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.01510949991643,None,378.9291416275994,2.0,0.00010326279949859523,0,"[0.7007129946422717, 0.7007129946422717, 0.7007129946422717, 0.7007129946422717]","[939.5729082418978, 796.5018155366898, 481.99465415760505, 3495.3296515810553]",None,"[11.190438755645431, 12.459334676748085, 12.691372772585694, 1.4742866494815487]",False,141.03012669994496,144.1517825999763,144.1517825999763,145.37509709992446,None,0,,3.819207666674629,4.8536029666429386,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.9232759999577,None,193.74070806292536,5.872930038518033,0.0005667589341586201,1,"[0.44863988734471727, 0.44863988734471727, 0.44863988734471727, 0.44863988734471727]","[488.1959926200341, 387.4814161258507, 307.54420378815155, 244.09799631001704]",Major_3rd,"[12.137771400097948, 14.558264051257781, 14.038727507742419, 11.626746627741383]",False,146.93632919993252,149.30580989993177,149.30580989993177,150.52337710000575,['space'],1,[0.27092819998506457],2.8140922668389976,3.842804966843687,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.81256379990373,None,,,,,"[0.7348551497438136, 0.7348551497438136, 0.7348551497438136, 0.7348551497438136]","[850.539665987826, 961.1873437795948, 1384.361759263001, 2637.352609514204]",None,"[12.0, 11.0, 7.067103149845728, 9.0]",True,151.81053629994858,155.06073559995275,155.06073559995275,156.29551919992082,['space'],0,[0.3397869999753311],3.9835886667715386,5.004109766799957,None,1,None,1,0,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.84725769993383,None,353.5533905932738,0.0,8.861233020703779e-05,1,"[0.6469215246571057, 0.7384926471102543, 0.6734612099403616, 0.5477665657678502]","[521.4694993585539, 3634.283947965114, 1858.1687659050542, 391.2950703379008]",None,"[12.0, 0.0, 9.096228285012417, 14.558264051257781]",False,157.85465809993912,160.95317299989983,160.95317299989983,162.19766079995316,['space'],1,[0.20318159996531904],3.628375766798854,4.666252766735852,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.57633299997542,None,839.4216627248287,6.0,7.878993765631363e-05,1,"[0.6039775958378553, 0.6065391374199716, 0.5068012707344595, 0.5347592797287041]","[1332.4988304542885, 1187.121499975227, 1057.6050226047664, 942.2189589373709]",Tone,"[7.208428754134724, 8.0, 9.272298795104259, 11.0]",False,163.56384179997258,166.29505620000418,166.29505620000418,167.5395589999389,['space'],1,[0.2391796000301838],3.2760666667018086,4.310354466782883,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,10,0,10,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.92341679998208,None,378.9291416275994,4.0,0.00013000016238178756,1,"[0.6877693617861644, 0.6877693617861644, 0.6877693617861644, 0.6877693617861644]","[150.37812951026456, 189.46457081379972, 238.71040097760408, 300.75625902052906]",Major_3rd,"[16.0, 11.872930038518033, 11.09100126744373, 14.0]",False,168.93604950001463,172.01631739991717,172.01631739991717,173.24438249995,['space'],1,[0.29602050001267344],3.7664092667400837,4.7931474667275324,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.78773939993698,None,1878.9858553177473,3.0962282850124176,9.904737384351494e-05,1,"[0.7378952491155919, 0.6755220567187918, 0.4054000219929237, 0.43200863264102435]","[4758.256615802445, 1373.8859130579208, 188.3123797709416, 204.8427051581203]",None,"[-3.8006024616724545, 7.067103149845728, 12.0, 11.181050693590539]",False,174.8003016000148,177.6557765000034,177.6557765000034,178.88860569999088,['space'],1,[0.30136669997591525],3.288112866692245,4.310222166706808,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.14509040000848,None,,,,,"[0.7385032660727404, 0.7401842323553371, 0.7646245922339264, 0.5359948030452596]","[940.688997303855, 134.99912966442272, 559.5575138860428, 2012.10003687706]",None,"[11.0, 18.0, 11.795924888873552, 9.785329093629244]",True,180.16832149995025,183.45764479995705,183.45764479995705,184.69569560000673,None,1,,3.8232260666554794,4.855115666636266,None,1,None,1,0,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0675009000115,None,179.83150826296776,6.937531404266516,0.0007532554204528522,1,"[0.6104957118958168, 0.6104957118958168, 0.6104957118958168, 0.6104957118958168]","[906.2940107794276, 604.8786825919933, 403.70808623082945, 269.442821475812]",Perfect_5th,"[11.190438755645431, 11.99822464899644, 14.065615296582664, 12.409733461880743]",False,186.08062599995174,188.92958230001386,188.92958230001386,190.16675589990336,['space'],1,[0.2135503999888897],3.4850856666453183,4.512853366672061,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.64381339994725,None,159.16343368115565,9.0,0.0011796880661569537,0,"[0.527885058862708, 0.527885058862708, 0.527885058862708, 0.527885058862708]","[967.8638950538743, 581.3704695137076, 1524.4988698501547, 2475.6114845527577]",None,"[11.0, 11.795924888873552, 7.239214312468036, 9.942223403142224]",False,191.65183939994313,194.26889519998804,194.26889519998804,195.50435910001397,None,0,,3.151481066714041,4.182067466783337,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.88000239990652,None,707.1067811865476,7.0,9.940581809693379e-05,1,"[0.5743468340448682, 0.5743468340448682, 0.5743468340448682, 0.5743468340448682]","[4990.996632001807, 420.2456147919711, 1759.3763291771222, 6201.292513794301]",None,"[-3.8162840883782856, 14.0, 8.34684472884015, 0.0]",False,198.16560559999198,200.91072379995603,200.91072379995603,202.14490349998232,['space'],1,[0.3014160000020638],3.3353578333044425,4.37039593339432,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5894436999224,None,,,,,"[0.4350123607056281, 0.50334847351419, 0.4892783061754324, 0.65046385090804]","[330.71678418079404, 495.51529817998187, 742.4340779637258, 1112.3942331274643]",Perfect_5th,"[14.562099795198893, 12.137771400097948, 12.654239689947314, 9.0]",True,203.6058536999626,206.06673859991133,206.06673859991133,207.28818509995472,['space'],0,[0.3114155000075698],3.112412766786292,4.147886066813953,None,1,None,1,0,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
,,,,0,0,0,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.79445729998406,None,189.4645708137998,6.0,0.000606184672180193,1,"[0.5357514375891224, 0.5894257503387211, 0.4439098049968529, 0.5129793641153]","[477.4208019552084, 378.9291416275996, 300.7562590205292, 238.7104009776042]",Major_3rd,"[12.691372772585694, 14.558264051257781, 14.0, 11.09100126744373]",False,208.80827479995787,211.41906659991946,211.41906659991946,212.65165829996113,['space'],1,[0.2948462999192998],3.0949729667045176,4.1188451666384935,None,1,None,1,,,,,,,,,,,,,cbtxie,001,fr,0,0,2022-05-05_16h25.21.942,Cluster,2022.1.1,None,
