tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.76655040006153,None,176.7766952966369,0.0,0.0003500209769801159,1,"[0.42710715460884363, 0.42710715460884363, 0.42710715460884363, 0.42710715460884363]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[12.0, 9.902816769994493, 9.638314099777514, 12.0]",False,178.23062489996664,180.52964990003966,180.52964990003966,181.73083820007741,['space'],1,[0.4973544997628778],2.754137549782172,3.774826749926433,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.03093870007433,None,555.3521534414712,8.667483670350345,0.00017037316408467437,1,"[0.45477943917839553, 0.4144954100248108, 0.6041704656646175, 0.7340841506009471]","[615.1571255602154, 438.78522862740476, 1792.3661584916356, 276.35827618319536]",None,"[15.245364980628292, 12.0, 7.0, 10.0]",False,183.03415099997073,185.5396982000675,185.5396982000675,186.74429589998908,['space'],1,[0.4239878999069333],3.2310207998380065,4.24069569981657,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.32227850006893,None,,,,,"[0.6158362890110085, 0.6158362890110085, 0.6158362890110085, 0.6158362890110085]","[540.7053856875402, 5560.158704576771, 411.5870463848895, 2564.237493807475]",None,"[14.0, 3.0, 11.154379536012986, 10.64413019887376]",True,188.33256000000983,191.20561600010842,191.20561600010842,192.42352680000477,None,1,,3.490979399997741,4.513510900083929,None,1,None,1,0,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.8901823000051,None,372.37505634968255,4.474664409935791,0.00014015024385745603,1,"[0.5704833349331626, 0.7984875490470713, 0.5639863545072502, 0.4007568778630716]","[1876.6526878030184, 1252.515400057392, 835.9537369791658, 557.9321821810825]",Perfect_5th,"[7.421528439391121, 5.0, 14.0, 14.667483670350345]",False,193.88987690000795,196.8575272001326,196.8575272001326,198.0726781000849,['space'],1,[0.4497434999793768],3.3430906997527927,4.343631099909544,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.2846061999444,None,1319.3158124366603,-1.4380079030766173,4.4733987438617275e-05,1,"[0.4213156799926395, 0.4213156799926395, 0.4213156799926395, 0.4213156799926395]","[6648.935054192419, 4437.631749062119, 2961.7638583891967, 1976.7402184091568]",Perfect_5th,"[-1.0, 4.585532564029018, 9.081846481128295, 8.63355989040143]",False,199.28189700003713,201.5852045000065,201.5852045000065,202.80147790000774,['space'],1,[0.39871679968200624],2.7062296997755766,3.714277899824083,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.04666200000793,None,6131.024875082935,-5.0,6.863072513484277e-05,1,"[0.4042778150793956, 0.4042778150793956, 0.4042778150793956, 0.4042778150793956]","[2083.0492433151385, 1686.4863313605738, 4604.170984599358, 4353.152109585745]",None,"[9.0, 6.0, 4.27301836022609, 4.585532564029018]",False,204.0591142999474,206.30571610014886,206.30571610014886,207.51686029997654,['space'],1,[0.4494508998468518],2.6463844999670982,3.6487573999911547,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,7,0,7,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.7539603000041,None,176.7766952966369,0.0,0.0003500209769801159,0,"[0.5892696431612235, 0.4243114490841563, 0.7722962139894832, 0.44289839342361986]","[280.61551207734334, 250.00000000000006, 222.72467953508487, 198.42513149602496]",Tone,"[9.638314099777514, 10.782137438800723, 12.0, 12.384595368515688]",False,208.7849437999539,211.58310379995964,211.58310379995964,212.78296250011772,None,0,,3.271778249880299,4.291516450000927,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.10823859996162,None,206.35830070703886,6.384595368515688,0.0005276242117424261,1,"[0.6693642552887276, 0.6806623406488107, 0.5614723666992483, 0.6252269115850204]","[327.57338362472353, 291.8347075681598, 259.99516688133434, 231.62936089726438]",Tone,"[9.530692052403078, 9.638314099777514, 10.12521572052971, 11.479029571563201]",False,214.09845950012095,217.02801190013997,217.02801190013997,218.25229889992625,['space'],1,[0.28598979976959527],3.5392281997483224,4.550934799714014,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.69900340004824,None,,,,,"[0.7667152540943447, 0.7667152540943447, 0.7667152540943447, 0.7667152540943447]","[1012.0269315559717, 1274.086468776209, 7171.329237859257, 223.06620272194274]",None,"[9.823138028380729, 5.0, -3.0, 12.0]",True,219.7183555001393,223.05269860010594,223.05269860010594,224.25873919995502,['space'],0,[0.37595709995366633],4.084503599908203,5.106433199951425,None,1,None,1,0,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.87107560015284,None,329.87697769322364,-4.0,5.9788848976237954e-05,1,"[0.7217625691152681, 0.5250726860907255, 0.4762632178610969, 0.5993534480030301]","[207.80947403569695, 233.25824788420186, 261.8235307051567, 293.8869765709022]",Tone,"[12.384595368515688, 11.479029571563201, 10.12521572052971, 9.638314099777514]",False,225.90046650008298,228.66346250008792,228.66346250008792,229.89278190000914,['space'],1,[0.9432172998785973],3.349153950344771,4.376537450356409,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,11,0,11,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.30638960003853,None,3807.7402653804743,-0.2030718420242837,7.870352550153044e-05,0,"[0.4290345086951377, 0.6433682311837594, 0.704627217596991, 0.5332357427549349]","[755.5513628608296, 1132.0479539182024, 1696.15546071941, 2541.3617302789203]",Perfect_5th,"[15.32905364367366, 7.0, 6.0, 10.7928107105889]",False,231.29826109996065,234.10224630008452,234.10224630008452,235.31528039998375,None,0,,3.318801200017333,4.3245922001078725,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.67716790013947,None,1231.1444133449168,4.0,8.51413334521805e-05,1,"[0.7408309784019113, 0.7728611409734714, 0.431903886700027, 0.6801943405189099]","[775.5723809168675, 870.5505632961243, 977.1599684342463, 1096.8249796946263]",Tone,"[15.0, 13.227877515962216, 10.0, 8.0]",False,237.36067979992367,240.32178270001896,240.32178270001896,241.5532961001154,['space'],1,[0.3509597999509424],3.642767949961126,4.655952350003645,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.05860370001756,None,176.7766952966369,0.0,0.0003500209769801159,1,"[0.6662433139442623, 0.429368270619401, 0.6267816888521328, 0.7429598466397102]","[161.5382625508973, 1689.126672230382, 982.7972490200461, 423.1690503214238]",None,"[11.584848593831634, 6.0, 10.0, 11.867488779501988]",False,243.14407079992816,245.89457820006646,245.89457820006646,247.10534629994072,['space'],1,[0.4511229998897761],3.494092950131744,4.517967050196603,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.69589660014026,None,3207.4249352519178,2.0,8.815909268432726e-05,1,"[0.7240450379633332, 0.4996523246807796, 0.4954257867210595, 0.5872030925961255]","[1158.9257517012175, 1238.4347087332662, 4910.943468781633, 449.37592879815907]",None,"[6.501102016365267, 5.305065038527883, 3.9525763145982866, 12.0]",False,248.70895910006948,251.45075840014033,251.45075840014033,252.67319509992376,['space'],1,[0.38232849980704486],3.326003900030628,4.331528600072488,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.09609859995544,None,,,,,"[0.4705451603399142, 0.5333380902157216, 0.6935552293233915, 0.41363871084859016]","[2905.538833861806, 2397.2144795451877, 558.0081515542711, 584.1535645222897]",None,"[10.0, 10.7928107105889, 14.667483670350345, 14.667483670350345]",True,254.08679430000484,256.8107660000678,256.8107660000678,258.02656639995985,['space'],0,[0.9276372999884188],3.1475941999815404,4.161892100004479,None,1,None,1,0,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.29496760014445,None,353.5533905932738,-2.0,7.038727582816145e-05,0,"[0.7366578338532533, 0.5287932670127988, 0.6884014847681368, 0.5957877819017688]","[2600.6403811972295, 2364.5425481728494, 150.52241687661305, 169.43237185709114]",None,"[10.64413019887376, 10.463104830656292, 10.914396673838478, 11.584848593831634]",False,259.3037652000785,262.2827872999478,262.2827872999478,263.51050930004567,None,0,,3.5862381502520293,4.597875650040805,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
,,,,0,0,0,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.9338088000659,None,1853.495148154085,1.4215284393911212,8.032289640530316e-05,1,"[0.6954781960232388, 0.6705602280984726, 0.719094348563175, 0.413195994502415]","[241.15197936202406, 1129.8258879928962, 1050.9760916178245, 167.44524371037573]",None,"[11.0, 7.0, 9.0, 11.584848593831634]",False,264.9454632999841,268.06375339999795,268.06375339999795,269.2896714999806,['space'],1,[0.3134153999853879],3.5272897998802364,4.537861599819735,None,1,None,1,,,,,,,nlhglm,001,fr,0,0,2022-05-09_14h49.52.594,Cluster,2022.1.1,36.090607616575966,
