tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_late.rt,answer_too_early.rt,Audiogram_both,Audiogram_time,Audiogram_none,Audiogram_frequency,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.68490789993666,None,189.4645708137998,15.0,0.0017084605332667944,1,"[0.5151869339808293, 0.5151869339808293, 0.5151869339808293, 0.5151869339808293]","[181.36938692188363, 910.803571865983, 1184.3775047033591, 4427.298615140025]",None,"[7.0, 16.00155315542841, 17.0, 7.072038840080568]",False,153.41926530003548,155.9943829998374,155.9943829998374,157.21331020002253,['space'],1,[0.2650254999753088],3.089213319355622,4.119686719495803,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.57889100001194,None,374.8245917923166,10.351771473087013,0.00027361382638042066,1,"[0.41595165425146474, 0.41595165425146474, 0.41595165425146474, 0.41595165425146474]","[1888.997572869571, 1260.7546223483835, 841.4527581198565, 561.6023384698412]",Perfect_5th,"[19.919337459087675, 18.0, 17.0, 18.5574965404976]",False,158.56929859984666,160.85076669999398,160.85076669999398,162.08575930004008,['space'],1,[0.3094410002231598],2.674098639981821,3.692980040097609,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.30189509992488,None,176.7766952966369,15.0,0.0019683126003941904,1,"[0.6798165959338167, 0.6798165959338167, 0.6798165959338167, 0.6798165959338167]","[280.61551207734334, 250.00000000000006, 222.72467953508487, 198.42513149602496]",Tone,"[18.0, 16.631434731510733, 13.0, 10.0]",False,163.78526699985377,166.85620669997297,166.85620669997297,168.0921398999635,['space'],1,[0.10172370029613376],3.7484108495991677,4.754691449692473,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,4,0,4,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.58177220006473,None,301.5126398905701,12.0,0.0004495018788010874,1,"[0.5881363520983766, 0.5881363520983766, 0.5881363520983766, 0.5881363520983766]","[2794.404338498411, 2566.1012462528556, 1584.0282145118988, 328.5592332717771]",None,"[11.0, 13.0, 20.567105356731734, 17.479758446912495]",False,169.57986759999767,172.36079020006582,172.36079020006582,173.59801630000584,['space'],1,[0.29888970009051263],3.3791286398191005,4.400624739937484,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.02880409988575,None,,,,,"[0.6412378569706217, 0.6412378569706217, 0.6412378569706217, 0.6412378569706217]","[162.44568655887304, 173.41504102836524, 143.7600986526439, 1489.40830096282]",None,"[6.07765557616859, 6.695539679502874, 7.662260161472233, 20.0]",True,175.02102630003355,177.9663074000273,177.9663074000273,179.189449199941,None,1,,3.5742753397207707,4.582887139637023,None,1,None,1,0,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.64217250002548,None,2733.3410361563037,5.0,0.00012696008579255954,0,"[0.7437685767211965, 0.6033278369260754, 0.4612073273917811, 0.5633996136874141]","[941.5354504356217, 4761.893745953603, 798.0575086365977, 489.72056385470506]",None,"[16.0, 7.646420842152193, 17.07425568908256, 17.0]",False,180.6563609999139,183.50669249985367,183.50669249985367,184.72536140005104,None,0,,3.4076381400227547,4.420769939897582,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,7,0,7,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.1200134998653,None,3420.505573321725,1.3342903225985396,8.601629560406065e-05,1,"[0.575878609291709, 0.5110365493428306, 0.7114020332119441, 0.5381821568522501]","[5429.714145353997, 4837.3253719643435, 4309.566973110774, 3839.38769208433]",Tone,"[7.7998269890940355, 7.646420842152193, 7.072038840080568, 6.94486050210244]",False,186.1325107999146,188.94647939992137,188.94647939992137,190.18130329996347,['space'],1,[0.39859000011347234],3.3728725395631045,4.406220339704305,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.58345979987644,None,176.7766952966369,15.0,0.0019683126003941904,1,"[0.5918519263676922, 0.6115351272217215, 0.4732682008541593, 0.6230269310187637]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[16.220717981261956, 16.85773133919742, 18.0, 13.0]",False,192.25175639986992,194.95328969997354,194.95328969997354,196.19205680000596,['space'],1,[0.3343059001490474],3.3317524294834584,4.36204172950238,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.6673351000063,None,267.67537572457866,11.722294426952526,0.0005735785678575453,1,"[0.48869822226722603, 0.7521950622408345, 0.6555147600585502, 0.6573982419115463]","[168.62492020695785, 189.2750733315065, 212.45408650558957, 238.4716491107608]",Tone,"[6.07765557616859, 8.201958806113415, 12.0, 15.0]",False,197.68003689986654,200.59218759997748,200.59218759997748,201.82765950006433,['space'],1,[0.21515230019576848],3.5698585398495197,4.5918864398263395,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.3207602999173,None,5278.031643091578,1.0,0.00015988007960939475,1,"[0.5581594980606577, 0.7093404425106681, 0.6691736520310867, 0.5643587271667535]","[2094.5882456412546, 2639.01582154579, 3324.9515845711526, 4189.176491282508]",Major_3rd,"[18.0, 12.343945930819206, 8.0, 7.0]",False,203.99958649999462,206.9716564998962,206.9716564998962,208.18114919983782,['space'],1,[0.3940060001332313],3.531490589492023,4.545932789565995,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.57504639984109,None,176.7766952966369,15.0,0.0019683126003941904,1,"[0.7644679345019074, 0.7718309084592807, 0.5371966174240932, 0.7740694791006849]","[611.3118180259466, 166.05008395907737, 3113.3934326173994, 723.5704405528123]",None,"[18.86074235851716, 6.07765557616859, 9.0, 18.434686992489542]",False,209.66219950001687,212.77835519984365,212.77835519984365,214.00789349991828,['space'],1,[0.21515540010295808],3.8672033296898007,4.872765029780567,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.5675498000346,None,1113.7903736630665,10.809867359927209,0.00016944145936177512,1,"[0.5907298565534325, 0.5907298565534325, 0.5907298565534325, 0.5907298565534325]","[442.0080027062015, 556.8951868315334, 701.643968474187, 884.0160054124029]",Major_3rd,"[16.220717981261956, 18.5574965404976, 18.434686992489542, 16.422498541154127]",False,215.5770946999546,218.36731739994138,218.36731739994138,219.5807025998365,['space'],1,[0.280489900149405],3.390031839720905,4.409541739849374,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.04111059987918,None,,,,,"[0.747261790658317, 0.747261790658317, 0.747261790658317, 0.747261790658317]","[372.727816296422, 5248.753410342365, 718.315930312997, 386.8154442074843]",None,"[16.351771473087013, 7.7998269890940355, 18.434686992489542, 16.351771473087013]",True,221.0371152998414,224.30858539999463,224.30858539999463,225.52067029988393,['space'],0,[0.3346123001538217],4.005654640030116,5.025838640052825,None,1,None,1,0,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.1047985998448,None,4924.577653379667,4.0,0.00023386138211216973,1,"[0.7469297105832067, 0.7469297105832067, 0.7469297105832067, 0.7469297105832067]","[7817.279747473972, 6964.404506368996, 6204.579047334942, 5527.651519871107]",Tone,"[6.0, 6.648283391991938, 7.527024518793752, 7.763358327738311]",False,227.1230436998885,230.37946440000087,230.37946440000087,231.5906859000679,['space'],1,[0.28025220008566976],4.012759269447997,5.015389869455248,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,15,0,15,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.17350769997574,None,4924.577653379667,4.0,0.00023386138211216973,1,"[0.5591461932965105, 0.5591461932965105, 0.5591461932965105, 0.5591461932965105]","[282.5644623577609, 255.62370211800908, 519.6853016538926, 1025.512981908689]",None,"[18.0, 17.0, 17.9832495361496, 16.0]",False,233.18831219989806,235.89123499998823,235.89123499998823,237.09487010003068,['space'],1,[0.3474900000728667],3.279182470170781,4.30055907019414,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.51791659998707,None,2774.914861979449,5.0,0.00012236585994338659,0,"[0.43622234065741, 0.660848619977827, 0.46732397432273975, 0.7550979702343321]","[233.03186580290168, 324.5934566453983, 5927.839216054498, 312.96195903671577]",None,"[14.887402809549101, 17.479758446912495, 7.527024518793752, 17.98566910694344]",False,238.53230710001662,241.13964869990014,241.13964869990014,242.36771570006385,None,0,,3.33766773971729,4.33926113974303,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
,,,,0,0,0,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.92534039984457,None,313.7124261710859,11.985669106943442,0.0003973920665148051,1,"[0.710087956419442, 0.710087956419442, 0.710087956419442, 0.710087956419442]","[197.62644467327118, 221.82818388805896, 248.9937176597389, 279.48599834051623]",Tone,"[9.0, 13.0, 16.631434731510733, 18.0]",False,243.9193471998442,247.08686719997786,247.08686719997786,248.3095994000323,['space'],1,[0.37558910017833114],3.847642639884725,4.8772356398403645,None,1,None,1,,,,,,,,,,,,,,luctew,001,fr,0,0,2022-05-12_15h03.34.149,Cluster,2022.1.1,35.364680596551814,
