tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,Audiogram_none,Audiogram_frequency,Audiogram_both,Audiogram_time,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.04061560006812,None,622.716450093121,3.0,7.38769652421521e-05,0,"[0.4408177969887691, 0.740877925622578, 0.6611896420940849, 0.7393745098224344]","[392.2867817940667, 440.3270246172602, 494.25037397786156, 554.7772871528641]",Tone,"[12.230458358877735, 11.89399418222198, 11.0, 10.0]",False,147.0456502001034,149.9150532000931,149.9150532000931,151.14181870000903,None,0,,3.603656299877912,4.626942999893799,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.71507940010633,None,4985.7574400324,-1.7831828528391078,0.00012359917900709485,1,"[0.5751608949408782, 0.5751608949408782, 0.5751608949408782, 0.5751608949408782]","[1978.5991512914277, 2492.8787200162005, 3140.830374183399, 3957.198302582855]",Major_3rd,"[8.816716895979171, 6.520129077200691, 3.1903858144161164, 3.0]",False,152.7114425000036,155.44730120000895,155.44730120000895,156.6597529000137,['space'],1,[0.3531625000759959],3.308373799896799,4.3449926999164745,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.10204470006283,None,353.5533905932738,0.0,8.861233020703779e-05,0,"[0.45699697386478527, 0.45699697386478527, 0.45699697386478527, 0.45699697386478527]","[7372.010659307257, 1743.4455240962563, 347.8907037907611, 194.36978047193867]",None,"[2.4622137000562287, 9.584130305229188, 12.0, 7.491982065261169]",False,158.13379400002304,160.5313407999929,160.5313407999929,161.7325691001024,None,0,,2.850703899981454,3.865955299930647,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.03046020003967,None,,,,,"[0.5897793666024006, 0.45864479650193984, 0.4383562583397158, 0.6097059077466702]","[1201.5971591427833, 801.9698883406402, 535.2506844006895, 357.23697275491367]",Perfect_5th,"[9.308165133595097, 7.791855928430435, 10.26260093989387, 12.090682069181113]",True,163.03709660004824,165.54575560009107,165.54575560009107,166.7425764000509,None,1,,3.124580099945888,4.147881599841639,None,1,None,1,0,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.22402870003134,None,176.7766952966369,1.0,0.00039272999556449274,1,"[0.6713727126947875, 0.5677369915677251, 0.4166681214289135, 0.49183894619654533]","[890.8987181403394, 594.6035575013606, 396.8502629920499, 264.86577358982385]",Perfect_5th,"[7.856919128777964, 9.60681891020138, 12.165032505410917, 10.0]",False,168.2452739001019,170.93729450006504,170.93729450006504,172.1470412000781,['space'],1,[0.48830039997119457],3.174172400031239,4.208579699974507,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.4877967000939,None,176.7766952966369,0.0,0.0003500209769801159,1,"[0.5791979893343202, 0.5791979893343202, 0.5791979893343202, 0.5791979893343202]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[11.89399418222198, 12.090682069181113, 10.694876538956837, 8.205214547732592]",False,173.49265910009854,176.2462146000471,176.2462146000471,177.45425520010758,['space'],1,[0.5162892000516877],3.353743699961342,4.354835900012404,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,7,0,7,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.87695130007342,None,353.6389749666213,6.090682069181113,0.0001786155860609344,1,"[0.5161488253294901, 0.7930262099086518, 0.6428501521015139, 0.5547281774159256]","[1782.228754494769, 1189.4949853737196, 793.8926564061215, 529.8597788519043]",Perfect_5th,"[9.584130305229188, 9.0, 7.791855928430435, 10.26260093989387]",False,178.8819310000399,181.85566840006504,181.85566840006504,183.05715590005275,['space'],1,[0.41200200002640486],3.5104172999272123,4.5157462998759,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.45298460009508,None,2462.2888266898335,0.0,8.505946547995337e-05,1,"[0.7519388401535516, 0.724423596574888, 0.5663817421472807, 0.4097493659848357]","[977.1599684342466, 1231.144413344917, 1551.1447618337354, 1954.3199368684927]",Major_3rd,"[8.328435085231524, 9.308165133595097, 9.790007724829989, 9.0]",False,185.0563157000579,188.1315225000726,188.1315225000726,189.33385650010314,['space'],1,[0.3507143999449909],3.4762525998521596,4.519499099813402,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.60609730007127,None,814.6086693152408,1.7918559284304352,4.7669141444608014e-05,0,"[0.5939145858305652, 0.5939145858305652, 0.5939145858305652, 0.5939145858305652]","[4594.23072145925, 6058.6714656257855, 203.23278112927125, 403.01189784338544]",None,"[3.8289179146613765, 4.126618864009792, 7.766580179906163, 12.165032505410917]",False,190.60777420003433,193.40590060001705,193.40590060001705,194.63570210000034,None,0,,3.3954626998165622,4.426560199819505,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.08362650009803,None,1149.4874921567382,2.9933652633964245,7.100355088886016e-05,1,"[0.6165251943369037, 0.676023877879792, 0.5435243397890841, 0.7673299783798454]","[158.65976500386608, 3781.4556705034493, 3092.8743893494525, 702.5314930360047]",None,"[7.643464056059555, 2.794586337472524, 3.79279876921605, 8.114754943661183]",False,196.10332190000918,198.95908860000782,198.95908860000782,200.1802104000235,['space'],1,[0.4080559000140056],3.620689500006847,4.64020729996264,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.78831210010685,None,176.7766952966369,0.0,0.0003500209769801159,0,"[0.5892532198968232, 0.7905897987398052, 0.6570126405645842, 0.6056542559680741]","[1442.8539804973068, 686.9288710559474, 2921.1137228446005, 209.4687900554183]",None,"[9.720261633119645, 8.114754943661183, 4.0, 8.0]",False,202.31300560000818,205.3871004000539,205.3871004000539,206.583354900009,None,0,,3.67658849991858,4.700695499894209,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.03759070008527,None,1962.0363585250818,3.0,0.00010325311362170037,1,"[0.7490631425839858, 0.5454096136246636, 0.7361267916585024, 0.43792441491016365]","[4944.0218175296695, 3924.0727170501636, 3114.53857952257, 2472.0109087648348]",Major_3rd,"[4.216817147160892, 3.0, 3.79279876921605, 6.520129077200691]",False,208.05118529999163,211.1087101000594,211.1087101000594,212.3356224000454,['space'],1,[0.3861888999817893],3.5034642999526113,4.510084199951962,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.61870940006338,None,,,,,"[0.6089509629059491, 0.4810810276140598, 0.43920226317182837, 0.6682173695717046]","[2031.481712167576, 3456.530515925123, 1468.5281599678892, 2587.182595996939]",None,"[8.816716895979171, 2.8436219255812087, 9.790007724829989, 6.0]",True,213.6112011000514,216.16794980003033,216.16794980003033,217.383687500027,None,1,,3.2266701998887584,4.230315299821086,None,1,None,1,0,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.88975430000573,None,1501.5268004783368,3.790007724829989,7.492531153861732e-05,1,"[0.511161867487526, 0.511161867487526, 0.511161867487526, 0.511161867487526]","[2383.525222637757, 2123.4795655031444, 1891.8052229039558, 1685.406848056333]",Tone,"[7.0, 8.201577190156675, 9.283066987268136, 9.584130305229188]",False,218.89105510001536,221.46614970010705,221.46614970010705,222.67989480006509,['space'],1,[0.335264699999243],3.065805699909106,4.10419549990911,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0430830999976,None,5746.533692909426,-1.6008910828528817,0.00010413997874794135,1,"[0.6610914537800247, 0.713152912114816, 0.5761359074783496, 0.4038852084759985]","[127.91466073322626, 341.5469321464508, 7857.775184293301, 564.3682725570156]",None,"[8.62199949978356, 12.0, 2.0, 9.60681891020138]",False,224.03592350007966,227.0144336000085,227.0144336000085,228.21928409999236,['space'],1,[0.4753111999016255],3.381725999992341,4.407304199994542,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.50275940005668,None,353.5533905932738,0.0,8.861233020703779e-05,1,"[0.5565034355293808, 0.5565034355293808, 0.5565034355293808, 0.5565034355293808]","[561.2310241546867, 500.0000000000001, 445.44935907016975, 396.8502629920499]",Tone,"[10.0, 10.89226938530659, 11.89399418222198, 12.165032505410917]",False,229.5104515000712,232.21298509999178,232.21298509999178,233.43518920009956,['space'],1,[0.41518709994852543],3.2452358999289572,4.248434099950828,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.7895365000004,None,,,,,"[0.4477575605348237, 0.4482279275453745, 0.7181210039255768, 0.47153387850964745]","[234.92486522107217, 212.21286221634188, 193.3342849478162, 2553.794141160636]",None,"[8.749208672221705, 8.0, 7.491982065261169, 6.0]",True,234.80918010009918,237.44076450006105,237.44076450006105,238.66237930010539,None,1,,3.0930259998422116,4.10782449983526,None,1,None,1,0,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
