tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,answer_too_early.rt,Catch trial answer,Audiogram_time,Audiogram_frequency,Audiogram_both,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.13375779986382,None,353.5533905932738,-1.0,7.897582242723967e-05,0,"[0.4978045896459884, 0.4330428498504535, 0.4283211379077669, 0.5457250194334963]","[5212.092584558931, 603.5258624239866, 197.5941725079637, 1096.6391770320524]",None,"[1.504103727551139, 9.439401505478198, 7.0, 6.0]",False,196.1533454998862,198.52976710000075,198.52976710000075,199.74123879987746,None,0,2.9248112302739173,3.9529135301709175,None,1,None,1,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.14428579993546,None,,,,,"[0.7094288932908848, 0.7094288932908848, 0.7094288932908848, 0.7094288932908848]","[226.1544879960448, 253.84982983039794, 284.93679995441425, 319.83074411554986]",Tone,"[6.896536167076867, 7.280743668337028, 8.559262982701703, 10.0]",True,201.14924289984629,204.306005399907,204.306005399907,205.5126306999009,['space'],0,3.88973343023099,4.888628030195832,None,1,None,1,[0.6897348000202328],,0,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.05610589985736,None,3654.6617045597827,0.0,7.787809684694128e-05,0,"[0.4329791580638401, 0.41670366342171805, 0.4775115258181796, 0.7410570761152139]","[281.23204625276753, 424.9858935927524, 349.4297930214661, 220.54631579441192]",None,"[8.559262982701703, 11.671229488450555, 10.735160218967797, 6.75705146153416]",False,207.05642489995807,209.40650179982185,209.40650179982185,210.6300551998429,None,0,3.1185270303394645,4.131762330420315,None,1,['space'],0,,[0.5276904001366347],,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.22573129995726,None,353.5533905932738,0.0,8.861233020703779e-05,0,"[0.6676910942223229, 0.6676910942223229, 0.6676910942223229, 0.6676910942223229]","[1781.7974362806788, 1189.2071150027211, 793.7005259840998, 529.7315471796477]",Perfect_5th,"[6.566156445600722, 6.14075580409218, 6.566281837311289, 10.754830723770002]",False,212.22368339984678,215.2548611999955,215.2548611999955,216.47257659980096,None,0,3.692753530340269,4.7024974301457405,None,1,None,1,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.96533649996854,None,203.0630990890589,2.0,0.00032661690408859664,1,"[0.6483942108894379, 0.6782770893323155, 0.4333649058543625, 0.6901303169860197]","[368.8323923847388, 327.6252767169736, 229.79302601927978, 125.6977691713693]",None,"[11.0, 10.0, 6.896536167076867, 10.55968581726599]",False,217.97690429980867,220.752288099844,220.752288099844,221.97169909998775,['space'],1,3.4642358301207423,4.477149930084124,None,1,None,1,[0.3130870000459254],,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.48861259990372,None,1014.8027403287407,-0.2914297226421427,4.3197639802860424e-05,1,"[0.5092502252558831, 0.6421113506960384, 0.7436443538429568, 0.7597710269305057]","[939.0808868556287, 3531.7198761334553, 255.46382125524846, 4276.689277543611]",None,"[5.785634017698149, 6.36155917072716, 7.280743668337028, 4.2409436738925885]",False,223.50227789999917,226.42218739981763,226.42218739981763,227.639645999996,['space'],1,3.6880993300583214,4.725239929975942,None,1,None,1,[0.289834100054577],,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,10,0,10,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.25726250000298,None,350.9610477188159,4.735160218967797,0.0001540061621036193,1,"[0.46992074799241246, 0.46992074799241246, 0.46992074799241246, 0.46992074799241246]","[139.2789840871775, 175.48052385940798, 221.09160585704763, 278.5579681743549]",Major_3rd,"[10.0, 7.787190183442288, 6.75705146153416, 8.0]",False,229.2620992998127,231.68548200000077,231.68548200000077,232.88810659991577,['space'],1,2.9234656302724034,3.9257497303187847,None,1,None,1,[0.20603670016862452],,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.21863839984871,None,353.5533905932738,0.0,8.861233020703779e-05,1,"[0.5864947632463408, 0.5864947632463408, 0.5864947632463408, 0.5864947632463408]","[712.4336629292437, 1515.9649004346613, 5683.967215264329, 141.43210761004764]",None,"[7.917063680964205, 7.124052080247171, 1.0815060227410527, 10.0]",False,234.23532929993235,237.024663799908,237.024663799908,238.23797079990618,['space'],1,3.365219530183822,4.368030430050567,None,1,None,1,[0.2582719000056386],,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.65023129992187,None,574.3491774985172,0.0,5.984619860562044e-05,0,"[0.4182191810137144, 0.4301103468630651, 0.5832190108518134, 0.7977242825560377]","[1529.6528205476363, 1147.5554837770267, 7589.29785445821, 247.1576167785619]",None,"[7.124052080247171, 6.14075580409218, 3.0000000000000004, 7.280743668337028]",False,239.7123358999379,242.17225209996104,242.17225209996104,243.37260070000775,None,0,3.2595339701510966,4.270268169930205,None,1,None,1,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.03558069979772,None,,,,,"[0.481280333711238, 0.47977916570171314, 0.5528038432860094, 0.5159324809334574]","[4463.666308330354, 5010.296027418026, 5623.867141571952, 6312.577431148632]",Tone,"[4.0, 2.0, 1.0815060227410527, 1.3154670164497082]",True,245.0377015999984,247.57663419982418,247.57663419982418,248.80057949991897,['space'],0,3.0773962303064764,4.091506430180743,None,1,None,1,[0.37387580005452037],,0,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.1522114998661,None,4753.133899821548,-3.0,9.611087729658064e-05,1,"[0.4751448673155985, 0.47323396968420084, 0.5652874246826105, 0.7312913892216232]","[7177.826866711655, 1268.4288434560042, 2792.904588038556, 6153.536915884985]",None,"[2.0, 6.50896343074093, 5.950210366582112, 1.0192658574643438]",False,250.14794919989072,252.66821809997782,252.66821809997782,253.8805092999246,['space'],1,3.271772130159661,4.292009930126369,None,1,None,1,[0.15666459989733994],,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.4692489998415,None,189.4645708137998,2.0,0.0003824766710234111,1,"[0.5334579775630341, 0.5334579775630341, 0.5334579775630341, 0.5334579775630341]","[300.7562590205293, 267.9433656340734, 238.71040097760422, 212.666790237714]",Tone,"[9.0, 7.849121882063646, 7.0, 6.75705146153416]",False,255.4992674998939,258.1182505998295,258.1182505998295,259.31931699998677,['space'],1,3.171690230257809,4.185767430346459,None,1,None,1,[0.6838064000476152],,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.7273251998704,None,924.428388891526,-0.214365982301851,4.08830205376182e-05,0,"[0.7798939493329021, 0.7798939493329021, 0.7798939493329021, 0.7798939493329021]","[1006.7925769505861, 388.97617918305235, 3338.5228662085683, 301.20411446710773]",None,"[5.7085702773578575, 11.254749696499829, 6.469547185443853, 9.0]",False,260.7394842999056,264.1116941999644,264.1116941999644,265.314449199941,None,0,4.165275630308315,5.167567930184305,None,1,None,1,,,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
,,,,0,0,0,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.93971009994857,None,4594.793419988137,0.0,0.00012486547057085194,1,"[0.43049674066617555, 0.43049674066617555, 0.43049674066617555, 0.43049674066617555]","[241.87401830059815, 2367.173909095286, 6075.207207541617, 1279.638670338915]",None,"[7.0, 5.176677237760281, 1.0192658574643438, 6.854557875483904]",False,267.6199395000003,269.94693379988894,269.94693379988894,271.15353759983554,['space'],1,2.763159310212359,3.769920410355553,None,1,None,1,[0.38289690017700195],,,,,,,quvsxs,001,fr,0,0,2022-05-17_12h50.04.194,Cluster,2022.1.1,36.59194349462968,
