tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.2636851000002,None,2343.781497999069,2.474073316090154,0.00010959785080801203,1,"[0.5076684125899603, 0.5988219848537407, 0.5020646313941306, 0.7721993169787854]","[1476.4898228415825, 1657.303790854706, 1860.260607753662, 2088.0719321684146]",Tone,"[16.27248937200469, 15.0, 12.653614237667398, 10.0]",False,194.27418650000027,196.9018744,196.9018744,198.12687240000014,['space'],1,[0.4650869000001876],3.414993730000333,4.450837130000309,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.7471158000003,None,176.7766952966369,0.0,0.0003500209769801159,1,"[0.632259402961775, 0.48591788374409745, 0.6679403059954309, 0.6639619853102585]","[890.8987181403394, 594.6035575013606, 396.8502629920499, 264.86577358982385]",Perfect_5th,"[11.0, 8.287388138157038, 11.179917103400358, 13.823623790394164]",False,200.1127876999999,202.91845890000013,202.91845890000013,204.13573240000005,['space'],1,[0.3356314999996357],3.4956603200002974,4.528752720000284,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.66978210000025,None,,,,,"[0.5592621149956806, 0.7798493289078522, 0.7867203106864358, 0.6023018207879354]","[1331.834577042396, 1057.0778043223606, 839.0032092967749, 665.917288521198]",Major_3rd,"[16.310816631830267, 13.757857418103542, 10.161245385309872, 8.446569919492394]",True,205.66082000000006,208.8122175999997,208.8122175999997,210.03388189999987,None,1,,3.786670829999821,4.798095529999955,None,1,None,1,0,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.4841935000004,None,176.7766952966369,0.0,0.0003500209769801159,1,"[0.7450883741698597, 0.7450883741698597, 0.7450883741698597, 0.7450883741698597]","[890.8987181403394, 594.6035575013606, 396.8502629920499, 264.86577358982385]",Perfect_5th,"[11.0, 8.287388138157038, 11.179917103400358, 13.823623790394164]",False,211.5153293000003,214.79051100000015,214.79051100000015,216.00744829999985,['space'],1,[0.2505366000000322],4.003870730000017,5.020198430000164,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.56919519999974,None,127.8428106630115,3.1029586155057256,0.000996865669468397,1,"[0.7580912752229357, 0.6667044807136738, 0.43595014752730205, 0.7065792825412633]","[322.1436964641059, 255.68562132602304, 202.93781213303583, 161.07184823205296]",Major_3rd,"[13.0, 13.899582780124295, 13.140492597983389, 11.0]",False,217.56170999999995,220.4634033000002,220.4634033000002,221.69440769999983,['space'],1,[0.2743014000002404],3.620458929999586,4.6283578299999135,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.22126839999964,None,4819.164697131856,-1.0,0.00012504565102220525,1,"[0.7453313648286362, 0.6444759050199154, 0.6869373705739887, 0.7250809419954031]","[173.2574280851065, 1061.4665380749993, 235.26338414901358, 942.1566904827638]",None,"[11.89549327517948, 13.757857418103542, 13.818573845899522, 12.0]",False,223.22501360000024,226.33487520000017,226.33487520000017,227.55615820000003,['space'],1,[0.4677569999989828],3.8363851300000533,4.854781629999707,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,7,0,7,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.1052565,None,353.5533905932738,-1.0,7.897582242723967e-05,1,"[0.6386221226033727, 0.5737332078598016, 0.5635437632099972, 0.41472133991614885]","[890.8987181403395, 707.1067811865477, 561.2310241546866, 445.4493590701697]",Major_3rd,"[11.0, 8.86680171705992, 8.287388138157038, 10.0]",False,229.1238126999997,231.9380417000002,231.9380417000002,233.15628350000043,['space'],1,[0.5041536000003362],3.2348432299995693,4.271569429999545,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.4414056000005,None,2715.111762687065,1.357996047207937,8.48015630662077e-05,1,"[0.5992575952894728, 0.5992575952894728, 0.5992575952894728, 0.5992575952894728]","[126.66659149246007, 1074.8326801763005, 1607.157148595094, 291.68804063606524]",None,"[9.102958615505726, 13.757857418103542, 15.461311896220947, 13.618319380339361]",False,234.4282272999999,237.26833570000053,237.26833570000053,238.4768380000005,['space'],1,[0.2942717000000812],3.437538629998926,4.470786529998804,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.92563280000013,None,,,,,"[0.6132616578657111, 0.6132616578657111, 0.6132616578657111, 0.6132616578657111]","[4514.963442053076, 6821.079027674216, 1013.6461590413815, 3111.30110125539]",None,"[6.0, -3.0, 13.0, 7.317684178598554]",True,239.93485690000034,242.82270470000003,242.82270470000003,244.03205720000005,None,1,,3.505603229999906,4.518797130000166,None,1,None,1,0,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.47759229999974,None,3655.3721763944154,1.2974970514784936,9.043982773426957e-05,1,"[0.5434346244575522, 0.4374464945844578, 0.6954679145189324, 0.5680836963035434]","[2302.74017511968, 2584.73845368912, 2901.270819071891, 3256.566386275647]",Tone,"[8.474073316090154, 7.357996047207937, 7.262032003682652, 7.4017923300165425]",False,245.47977509999964,248.18393300000025,248.18393300000025,249.40404899999976,['space'],1,[0.1746472999998332],3.29811072999928,4.3223600299998,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.8412029000001,None,176.7766952966369,-1.0,0.0003119565241000184,1,"[0.794412944534188, 0.794412944534188, 0.794412944534188, 0.794412944534188]","[208.392399381216, 220.26622756105706, 132.41367271433336, 916.2326325873186]",None,"[13.140492597983389, 13.565784481606322, 9.452158704192678, 11.810490103672866]",False,250.85888840000007,254.2766928000001,254.2766928000001,255.48372480000035,['space'],1,[0.3498412999992979],4.222147529999347,5.2375003299994205,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.13050680000015,None,1217.1795180690908,9.663953319519575,0.000161655358930102,1,"[0.45028428175857166, 0.45028428175857166, 0.45028428175857166, 0.45028428175857166]","[3067.1001926322892, 2434.3590361381816, 1932.1520474170209, 1533.5500963161446]",Major_3rd,"[7.317684178598554, 7.729781002044465, 12.0, 16.27248937200469]",False,257.13092789999973,259.5016588999997,259.5016588999997,260.7345077,['space'],1,[0.36855160000004616],2.839294229999723,3.860752229999889,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.0260672000004,None,4828.842334509792,-1.0,0.0001256391155140247,1,"[0.43571359084048383, 0.43571359084048383, 0.43571359084048383, 0.43571359084048383]","[188.573337018659, 4486.837305488175, 362.42765236222715, 196.10903755255308]",None,"[12.566600393381808, 6.0, 12.413360172591144, 13.0]",False,262.02311310000005,264.3709009000004,264.3709009000004,265.6071883000004,['space'],1,[0.4019526999995833],2.772964929999034,3.8046594299985372,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.8633264,None,,,,,"[0.42951589403480217, 0.42951589403480217, 0.42951589403480217, 0.42951589403480217]","[749.292766973076, 351.1605776752077, 2024.8795903987639, 2077.4844010096854]",None,"[9.457909470134442, 12.413360172591144, 11.0, 10.0]",True,266.8723441000002,269.1923889999998,269.1923889999998,270.40060859999994,None,1,,2.7709682299991982,3.77827182999863,None,1,None,1,0,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,15,0,15,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.6754925000005,None,1414.213562373095,10.0,0.00015948106227772936,1,"[0.7195374086515478, 0.5260385547355827, 0.5118256169276184, 0.6662974915928355]","[561.2310241546867, 707.1067811865478, 890.8987181403395, 1122.4620483093731]",Major_3rd,"[8.287388138157038, 8.86680171705992, 11.0, 14.764429412170614]",False,271.7590153000001,274.53544899999997,274.53544899999997,275.76977140000054,['space'],1,[0.2618655999999646],3.456319810000423,4.473428010000134,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
,,,,0,0,0,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.2927405999999,None,353.5533905932738,-1.0,7.897582242723967e-05,1,"[0.4766564492930868, 0.4766564492930868, 0.4766564492930868, 0.4766564492930868]","[890.8987181403395, 707.1067811865477, 561.2310241546866, 445.4493590701697]",Major_3rd,"[11.0, 8.86680171705992, 8.287388138157038, 10.0]",False,277.3019940000004,279.7666798,279.7666798,281.0017219000001,['space'],1,[0.3357951000002686],2.949139429999377,3.973366530000021,None,1,None,1,,,,,,,,,,,,,cwzopc,001,english,0,0,2022-07-20_11h23.46.854,Cluster,2022.1.1,32.32834216059683,
