tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,Catch trial answer,answer_too_early.rt,Audiogram_none,Audiogram_time,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.09277789993212,None,183.03913830807272,-2.0,0.0002599147629593447,0,"[0.41393771105155924, 0.5367582389769171, 0.5629398093116951, 0.6405683861529625]","[495.7352546514269, 329.01450539761754, 7300.43392245111, 1340.0960924088263]",None,"[12.540220128986695, 7.6392326970469115, 8.793879838606054, 5.419783536075185]",False,224.10879089997616,226.6603340000147,226.6603340000147,227.8920664000325,None,0,3.1866199667565525,4.218965066713281,None,1,None,1,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.36925220000558,None,353.5533905932738,2.0,0.0001115563142959358,1,"[0.5613442787039452, 0.5613442787039452, 0.5613442787039452, 0.5613442787039452]","[222.72467953508485, 250.00000000000003, 280.6155120773433, 314.9802624737183]",Tone,"[2.4140431281402135, 2.7189213988014735, 4.0, 7.0]",False,229.39163540001027,232.09518770000432,232.09518770000432,233.32686070003547,['space'],1,3.257902366691269,4.287398466723971,None,1,None,1,[0.2553333999821916],,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.73026400001254,None,,,,,"[0.47981987025021233, 0.7401007526659871, 0.6103869255883723, 0.7244381355897522]","[1707.640075046152, 616.1286754535897, 371.71667894331665, 2986.3512772941067]",None,"[6.0, 12.43619861205731, 10.0, 7.725845229991597]",True,234.75166589999571,237.60019909997936,237.60019909997936,238.83266890002415,['space'],0,3.5886169667355716,4.6094110667472705,None,1,None,1,[0.21900869999080896],0,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.39826059993356,None,353.5533905932738,2.0,0.0001115563142959358,0,"[0.7672686075246815, 0.5288478414892709, 0.5194540304315263, 0.7723503866718393]","[676.4648317518279, 348.9840552371544, 158.3906251981527, 3145.691854529593]",None,"[12.374164758239809, 9.0, 6.0, 7.0]",False,240.41110130003653,243.26183740003034,243.26183740003034,244.4960570000112,None,0,3.617151933372952,4.641883933451027,None,1,['space'],0,,,[0.5032384999794886],,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.09204559994396,None,538.296856518851,6.543365251228744,0.00013906347734287503,1,"[0.4986740469689286, 0.4986740469689286, 0.4986740469689286, 0.4986740469689286]","[213.6232490772998, 269.14842825942554, 339.1057703101704, 427.2464981545995]",Major_3rd,"[2.4140431281402135, 3.523597500375282, 8.0, 12.0]",False,246.08482180000283,248.61571709997952,248.61571709997952,249.83358869992662,['space'],1,3.017939266632311,4.050139366649091,None,1,None,1,[0.3289305999642238],,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.17349630000535,None,8000.0,1.0,0.0002036901389020564,0,"[0.4002477760606425, 0.4002477760606425, 0.4002477760606425, 0.4002477760606425]","[3174.8021039364003, 4000.0000000000014, 5039.684199579494, 6349.604207872799]",Major_3rd,"[7.0, 5.217880866515777, 6.0, 8.0]",False,251.59875180001836,253.8412638999289,253.8412638999289,255.0723830999341,None,0,2.6291780666215345,3.6448289665859193,None,1,None,1,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.2896233999636,None,,,,,"[0.5382904743678676, 0.5382904743678676, 0.5382904743678676, 0.5382904743678676]","[243.642813302841, 191.22214777263457, 1264.228451942053, 3889.3909274732173]",None,"[2.7189213988014735, 3.6015323171227767, 6.0, 5.217880866515777]",True,256.297683199984,258.9427415999817,258.9427415999817,260.1685568999965,None,1,3.1916116666980088,4.232563066645525,None,1,None,1,,0,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.56047689996194,None,462.6644395395157,6.403272966353022,0.00015331269471392176,1,"[0.5209574228289965, 0.5209574228289965, 0.5209574228289965, 0.5209574228289965]","[2579.1101863410586, 167.29095054287822, 186.34190196592522, 687.7774572819011]",None,"[8.71248236914871, 5.504814901485191, 4.0, 12.264078453096529]",False,261.5655160000315,264.1558386000106,264.1558386000106,265.3813234999543,['space'],1,3.116331566707231,4.150304966722615,None,1,None,1,[0.2925869000609964],,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.75482149992604,None,1352.9116236164145,-0.5802164639248147,4.859710435422932e-05,0,"[0.40828955315876453, 0.7885338415650284, 0.4912672921750317, 0.6120558800100189]","[300.7557830215502, 218.00847314128634, 6156.214973915581, 1707.5598639979585]",None,"[6.0, 2.4140431281402135, 7.665899311942048, 6.0]",False,266.753921699943,269.4839575999649,269.4839575999649,270.70063800003845,None,0,3.3240783667424694,4.35007666668389,None,1,None,1,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.14357770001516,None,8000.0,3.0,0.0002564306919956826,1,"[0.46450154304724656, 0.5416390146650142, 0.43574549847018806, 0.6960430238997162]","[4307.331744496326, 6802.021592584429, 356.8046173654496, 608.976013574192]",None,"[5.105671826033465, 8.580840414865701, 9.111763019987018, 12.43619861205731]",False,272.6354105999926,275.09602689999156,275.09602689999156,276.30720549996477,['space'],1,3.163257533335127,4.176772033330053,None,1,None,1,[0.45960569998715073],,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,11,0,11,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.84880489995703,None,,,,,"[0.583613067945087, 0.582750388440894, 0.7244222526003669, 0.4556436618715221]","[2710.981988866823, 2151.707830497018, 1707.8116368295896, 1355.4909944334115]",Major_3rd,"[8.71248236914871, 8.199389784623765, 6.0, 5.419783536075185]",True,277.8534806999378,280.78354690002743,280.78354690002743,282.0176259999862,None,1,3.379782066680491,4.403679866692983,None,1,None,1,,0,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,12,0,12,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.2958584999433,None,329.87697769322364,1.0,0.00010632127908437066,1,"[0.7099338652954904, 0.7099338652954904, 0.7099338652954904, 0.7099338652954904]","[126.3702240141374, 344.64162140241694, 6353.157115727774, 404.8271051350954]",None,"[8.336059618646484, 9.0, 8.0, 11.373333354359222]",False,283.3659116999479,286.5224739999976,286.5224739999976,287.7475406000158,['space'],1,3.849350633332506,4.88225303334184,None,1,None,1,[0.308292799978517],,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.2904426000314,None,985.3549206739843,3.049049531369052,6.198683106956774e-05,0,"[0.6634802176723267, 0.6634802176723267, 0.6634802176723267, 0.6634802176723267]","[179.2508746310638, 259.96763730806924, 384.9411594211718, 2257.7600956131105]",None,"[4.523954383956677, 3.0, 10.386860652875287, 8.629370669639023]",False,289.2971666000085,292.3071376000298,292.3071376000298,293.51991189992987,None,0,3.6738416666630656,4.70277786673978,None,1,None,1,,,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0430137999356,None,6110.697719513501,1.6658993119420478,0.00014668685101255178,1,"[0.7029390071373642, 0.7029390071373642, 0.7029390071373642, 0.7029390071373642]","[2425.0319970538535, 3055.3488597567516, 3849.4983431798296, 4850.063994107705]",Major_3rd,"[8.812406925636111, 7.725845229991597, 5.61341503639132, 5.72713630682007]",False,295.0412990000332,298.17786099994555,298.17786099994555,299.41942389996257,['space'],1,3.838456366676837,4.858155866735615,None,1,None,1,[0.33359100006055087],,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.9427746000001,None,,,,,"[0.49870031091540173, 0.6040048963889415, 0.761843322392902, 0.6851895252431537]","[1808.0652919783904, 614.2701380899967, 301.58750332648884, 368.14956390666987]",None,"[6.862369257319694, 12.43619861205731, 6.0, 10.0]",True,300.95007649995387,303.8461954999948,303.8461954999948,305.08559949998744,None,1,3.567302666720934,4.602100066724233,None,1,None,1,,0,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.5914783999324,None,8000.0,1.0,0.0002036901389020564,1,"[0.6300828705129873, 0.6300828705129873, 0.6300828705129873, 0.6300828705129873]","[242.5131465467952, 3142.0923296893648, 352.3650243917974, 7052.854934388735]",None,"[2.7189213988014735, 7.0, 9.0, 8.580840414865701]",False,306.6104892999865,309.5361143000191,309.5361143000191,310.7641714999918,['space'],1,3.544334033387713,4.565288333338685,None,1,None,1,[0.6319865999976173],,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.21478489995934,None,290.7457356978467,-1.0,0.00011079703848742703,1,"[0.4035074234422546, 0.4035074234422546, 0.4035074234422546, 0.4035074234422546]","[5346.720114412024, 2606.0619725683246, 7163.442505329777, 2428.107458123799]",None,"[6.347451680331581, 8.71248236914871, 8.580840414865701, 8.812406925636111]",False,312.2426073999377,314.48098300001584,314.48098300001584,315.6963170999661,['space'],1,2.651191766606644,3.676799266715534,None,1,None,1,[0.3926907000131905],,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
,,,,0,0,0,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.9572635999648,None,460.3287532910163,6.403272966353022,0.00015356213778419125,1,"[0.5886255988256249, 0.6822392309786551, 0.7012426205091012, 0.6590970009057913]","[1574.1395763527398, 760.1401663130667, 6779.234582704648, 320.7941024488529]",None,"[5.58640812440147, 12.0, 8.580840414865701, 7.0]",False,316.9786187999416,319.98605369997676,319.98605369997676,321.20242859993596,['space'],1,3.655186166637577,4.684344366658479,None,1,None,1,[0.27574620000086725],,,,,,,nfsmrp,001,fr,0,0,2022-06-21_16h44.46.818,Cluster,2022.1.1,None,
