tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,answer_too_early.rt,Catch trial answer,answer_too_late.rt,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.3252902000095,None,456.7499312830793,5.224919305042747,0.00013441447883502026,1,"[0.6558121384605402, 0.6558121384605402, 0.6558121384605402, 0.6558121384605402]","[181.26133035129078, 228.37496564153972, 287.7344264807943, 362.5226607025815]",Major_3rd,"[12.635602034081144, 11.891341302813132, 12.613922452999732, 12.46127946129036]",False,262.34155820001615,265.3602277000027,265.3602277000027,266.58575880000717,['space'],1,3.6478459000063594,4.65767399998731,None,1,['space'],0,[0.32645339996088296],[-3.9254199000133667],,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.02970680000726,None,353.5533905932738,0.0,8.861233020703779e-05,1,"[0.5590858909051009, 0.5590858909051009, 0.5590858909051009, 0.5590858909051009]","[1781.7974362806788, 1189.2071150027211, 793.7005259840998, 529.7315471796477]",Perfect_5th,"[5.0, 7.0, 4.060577118408513, 10.01701877723087]",False,268.51899170002434,271.21458700002404,271.21458700002404,272.4247313000087,['space'],1,3.2481633999559563,4.274263199942652,None,1,None,1,[0.2976082999666687],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.8313402000058,None,,,,,"[0.5885711045979136, 0.5885711045979136, 0.5885711045979136, 0.5885711045979136]","[543.7884099719176, 685.1304644124822, 863.2102940375365, 1087.576819943835]",Major_3rd,"[10.0, 6.0, 3.891779487324177, 6.0]",True,273.840955200023,276.63439990000916,276.63439990000916,277.85688330000266,['space'],0,3.3941102999961004,4.392583100008778,None,1,None,1,[0.23392999998759478],,0,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.2687435000262,None,243.89161179442277,6.0,0.0003580502473667202,1,"[0.434772670155668, 0.4045416580662149, 0.7997106206046093, 0.7281721572118646]","[496.9946334457229, 447.1582663744516, 228.42120764876944, 907.1822882422983]",None,"[10.711014651906595, 11.6079989710239, 11.891341302813132, 4.0]",False,279.2787233000272,281.9433470000222,281.9433470000222,283.15896630001953,['space'],1,3.411035199998878,4.411764799995581,None,1,None,1,[0.3782721999741625],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,5,0,5,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.71908410001197,None,353.5533905932738,-2.0,7.038727582816145e-05,1,"[0.676177083440944, 0.5735993796703655, 0.4570452803447344, 0.577987161311734]","[919.291776006256, 5352.179701904761, 314.1774416018861, 5467.230376826188]",None,"[4.187791949715262, -7.737642093698149, 12.692802249890509, -7.737642093698149]",False,285.70833980001044,288.442286400008,288.442286400008,289.6625313000113,['space'],1,3.3113502999185584,4.3207331999146845,None,1,None,1,[0.489923099958105],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0487673000025,None,3754.930303091536,-8.0,3.170454729525101e-05,1,"[0.42159230066473036, 0.42159230066473036, 0.42159230066473036, 0.42159230066473036]","[745.0725391493469, 1116.3474581939447, 1672.6312968652826, 2506.1153090986745]",Perfect_5th,"[5.0, 6.0, 6.0, 2.2619426833123955]",False,291.0404125000059,293.3551381000143,293.3551381000143,294.5899610000197,['space'],1,2.7276772999903187,3.7468202999734785,None,1,None,1,[0.4364363999629859],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.8373867000046,None,,,,,"[0.5843073490704253, 0.7279715837434197, 0.5862563463796009, 0.4408404488807773]","[2254.0552828656723, 1502.9926339418441, 690.5110814104652, 299.0573555159253]",None,"[2.4582237535051696, 7.070959241853986, 6.0, 12.692802249890509]",True,295.84948010000517,298.757585400017,298.757585400017,299.9729445000121,['space'],0,3.3687444999814034,4.389656599989394,None,1,None,1,[0.6817395999678411],,0,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,8,0,8,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.2717905000027,None,658.0628403162206,0.80272692949871,5.341936107517908e-05,1,"[0.6256628752792573, 0.6256628752792573, 0.6256628752792573, 0.6256628752792573]","[4311.126031985848, 319.80928655817814, 182.53034337822328, 2227.1074061424315]",None,"[-5.0, 12.633888727792076, 12.635602034081144, 2.4582237535051696]",False,301.26110750000225,304.1515688000072,304.1515688000072,305.3645845000283,['space'],1,3.548410299990792,4.572150699998019,None,1,None,1,[0.3556100999703631],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.860184500023,None,353.5533905932738,-2.0,7.038727582816145e-05,1,"[0.7681457718299401, 0.7681457718299401, 0.7681457718299401, 0.7681457718299401]","[2692.0929877081708, 5663.72425216685, 514.5914805983429, 296.8334677879679]",None,"[2.0, -7.305837667111589, 10.711014651906595, 12.613922452999732]",False,307.61646630000905,310.95209360000445,310.95209360000445,312.1711640000285,['space'],1,4.10608379993937,5.107944299932569,None,1,None,1,[0.3800032999715768],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,10,0,10,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.7692748000263,None,2143.5469250725882,-1.0,6.951207121178725e-05,1,"[0.7162569965123435, 0.7162569965123435, 0.7162569965123435, 0.7162569965123435]","[1350.3499461681909, 1515.7165665103992, 1701.3343219017127, 1909.6832078208347]",Tone,"[7.674896035970219, 7.070959241853986, 5.253629396202419, 4.0]",False,313.78495090000797,316.9441307000234,316.9441307000234,318.1435677000263,['space'],1,3.8773036999918986,4.907984099991154,None,1,None,1,[0.4295084999757819],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.7397022000223,None,,,,,"[0.726444144747634, 0.726444144747634, 0.726444144747634, 0.726444144747634]","[1240.3811432443565, 1392.2807587303823, 1562.782312266233, 1754.163835288014]",Tone,"[7.33586302511102, 7.582715715090722, 7.0, 5.253629396202419]",True,319.73134000002756,322.9446664000279,322.9446664000279,324.1556875000242,['space'],0,3.9463132999953814,4.955999500001781,None,1,None,1,[0.7673229999782052],,0,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.71402320000925,None,807.9551535666376,-1.9394228815914873,3.087099400223533e-05,1,"[0.6790900839271018, 0.7303982075861798, 0.6508296022605891, 0.670597135457832]","[662.7858480210878, 2508.567700439657, 1093.157713975483, 554.5691910692965]",None,"[6.80272692949871, 2.2619426833123955, 6.0, 10.0]",False,325.72438240001793,328.8232741000247,328.8232741000247,330.0523188000079,['space'],1,3.7755538999917917,4.792566299991449,None,1,None,1,[0.24039489997085184],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.551268900017,None,2462.2888266898335,0.0,8.505946547995337e-05,1,"[0.469577892173106, 0.73856965410739, 0.6949586193446218, 0.742073551946194]","[5128.605704427855, 315.68466147825836, 322.7755328081938, 447.7431794901417]",None,"[-7.737642093698149, 12.692802249890509, 12.633888727792076, 11.6079989710239]",False,332.238467600022,335.15804960002424,335.15804960002424,336.3619349000219,['space'],1,3.667096199991647,4.689325099985581,None,1,None,1,[0.33016059998772107],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.97780610001064,None,682.3675842313062,0.0,4.6572394845050983e-05,1,"[0.6729700695742379, 0.6729700695742379, 0.6729700695742379, 0.6729700695742379]","[135.3988776297218, 202.86909655377195, 303.96020304609533, 455.4257233128377]",Perfect_5th,"[14.50595197061979, 11.84221032185445, 12.692802249890509, 11.224919305042746]",False,337.97573630002444,341.0269756000198,341.0269756000198,342.2535479000071,['space'],1,3.7183969999896362,4.747690499993041,None,1,None,1,[0.42999909998616204],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,15,0,15,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.7738212000113,None,,,,,"[0.4006327623529281, 0.5299195878366785, 0.40220470418568466, 0.43261014733537995]","[7926.468496994004, 7061.68062335174, 6291.242215260537, 5604.859625086001]",Tone,"[3.0, -1.0, -5.0, -7.305837667111589]",True,343.7774794000143,346.1298951000208,346.1298951000208,347.36424439999973,None,1,2.815600000001723,3.84978340001544,None,1,None,1,,,0,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.66741930000717,None,378.9291416275994,0.0,8.202455723840657e-05,1,"[0.4775336590004917, 0.44816951250626147, 0.488603715726571, 0.4118973762973924]","[150.37812951026456, 189.46457081379972, 238.71040097760408, 300.75625902052906]",Major_3rd,"[14.0, 12.145326944620653, 12.0, 12.692802249890509]",False,348.6995346000185,351.1334066000127,351.1334066000127,352.3680071000126,['space'],1,2.8418593000096735,3.8547454999934416,None,1,['space'],0,[0.3929111999750603],[-3.4435342000215314],,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
,,,,0,0,0,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.61385580000933,None,1319.5079107728945,-4.0,3.3304181786869376e-05,1,"[0.6726196724112439, 0.6726196724112439, 0.6726196724112439, 0.6726196724112439]","[523.6470614103137, 659.7539553864475, 831.2378961427881, 1047.294122820627]",Major_3rd,"[10.01701877723087, 6.80272692949871, 4.0, 5.7389287608496184]",False,353.637649900018,356.6728581000061,356.6728581000061,357.90545170000405,['space'],1,3.7222320000000764,4.761128899990581,None,1,None,1,[0.3348105999757536],,,,,,,,ofgjwt,001,fr,0,0,2022-04-27_16h43.45.386,Cluster,2022.1.1,35.98645901557145,
