tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,Audiogram_both,Audiogram_frequency,Audiogram_none,Audiogram_time,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.2360708999913,None,175.7089556556363,-3.5097456690800595,0.0002362681248110303,1,"[0.44365542994565155, 0.7244205413709911, 0.5871301762904197, 0.6462276410213025]","[994.3174834987304, 2313.2770830495247, 155.27043941759902, 371.5989518066303]",None,"[6.431302590161051, -0.4494547166917453, 4.371753608000451, 4.961109682929862]",False,330.2271404999774,333.01420550001785,333.01420550001785,334.2255932998378,['space'],1,[0.465668500168249],3.406671099830419,4.435258499812335,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.7140235998668,None,353.5533905932738,-2.0,7.038727582816145e-05,1,"[0.7679898684505143, 0.7679898684505143, 0.7679898684505143, 0.7679898684505143]","[222.72467953508485, 250.00000000000003, 280.6155120773433, 314.9802624737183]",Tone,"[0.6961229588504807, 0.8324630595920937, 1.9331993152652034, 3.0]",False,335.73414509999566,339.06368969986215,339.06368969986215,340.2893045998644,['space'],1,[0.33433849993161857],4.084318649722263,5.107947449665517,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.888445999939,None,1129.6292481511387,1.2434726372087108,5.708929954682196e-05,1,"[0.7520385883974701, 0.7520385883974701, 0.7520385883974701, 0.7520385883974701]","[700.184827909772, 138.98455224293716, 170.82626833045046, 3123.324071406203]",None,"[6.240015226198375, 6.0, 3.0, 2.015960844576941]",False,341.88401339994743,345.17184969992377,345.17184969992377,346.377129299799,['space'],1,[0.4934699998702854],4.026816499885172,5.048233199864626,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.9803504999727,None,,,,,"[0.5815319960237777, 0.7471319306592108, 0.5163797709587681, 0.5830605071987482]","[586.637995004074, 2770.065331002155, 347.36034160899624, 385.73415380385114]",None,"[7.0, 1.0, 4.0, 5.0]",True,347.97379469987936,350.85920739988796,350.85920739988796,352.07907849992625,None,1,,3.456634899834171,4.488826599903405,None,1,None,1,0,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.5173304998316,None,378.9291416275994,-3.0,5.806893951290537e-05,1,"[0.45224123617363654, 0.45224123617363654, 0.45224123617363654, 0.45224123617363654]","[290.73542042805417, 4678.941596572166, 501.31535520597697, 432.26925155669494]",None,"[2.0, 0.9577883879131583, 6.908020731256669, 6.150099501374751]",False,353.5169793998357,355.9038201998919,355.9038201998919,357.1099839999806,['space'],1,[0.6715669000986964],2.8351924498565495,3.8621532497927547,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.417275399901,None,6788.306146195247,-7.847718983824807,5.8669408032980644e-05,0,"[0.6666591892859375, 0.6666591892859375, 0.6666591892859375, 0.6666591892859375]","[2228.5596368050706, 7247.727181006607, 7346.71273734163, 1014.4138253469046]",None,"[-0.4494547166917453, -1.7816767057240748, -1.7816767057240748, 6.431302590161051]",False,358.4081441999879,361.4349095998332,361.4349095998332,362.65471199993044,None,0,,3.6929583000019193,4.719180200016126,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.1801856998354,None,659.7539553864473,-4.0,3.0636414623792164e-05,0,"[0.6683896206786237, 0.6683896206786237, 0.6683896206786237, 0.6683896206786237]","[231.5710565709586, 2036.9416523633492, 6716.621454609006, 1878.6942817692704]",None,"[0.6222929191430779, -0.07449695470183038, -1.7244312477694326, 0.8193351004128218]",False,364.80678759980947,367.8497321999166,367.8497321999166,369.05791699979454,None,0,,3.711131549673155,4.734814049676061,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,8,0,8,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.58460409985855,None,270.8505398166942,-4.7068501126929325,8.456728701141946e-05,1,"[0.7516728336409059, 0.7516728336409059, 0.7516728336409059, 0.7516728336409059]","[1365.00118596177, 911.0289920055666, 608.0389034166919, 405.8172805832223]",Perfect_5th,"[6.954440554421228, 6.0, 6.896055004427689, 5.597592726781405]",False,370.5801116998773,373.84579799999483,373.84579799999483,375.06830959999934,['space'],1,[0.4643549998290837],4.031681799795479,5.040890699950978,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,9,0,9,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.6795039998833,None,,,,,"[0.664264778186191, 0.7231808369050561, 0.7954016878165426, 0.5545231299398603]","[2928.307526351322, 3332.30277976223, 164.77050861116211, 667.6424642888804]",None,"[2.0, 2.4515867102086832, 3.417677421301641, 6.595400128776029]",True,376.68632669979706,379.8941934998147,379.8941934998147,381.1015823998023,None,1,,3.7411155998706818,4.760896799853072,None,1,None,1,0,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,10,0,10,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.49607859994285,None,176.7766952966369,-1.0,0.0003119565241000184,1,"[0.451991374195487, 0.451991374195487, 0.451991374195487, 0.451991374195487]","[890.8987181403394, 594.6035575013606, 396.8502629920499, 264.86577358982385]",Perfect_5th,"[5.761142002011438, 7.0, 5.597592726781405, 1.2931498873070675]",False,382.5096434999723,384.88263329979964,384.88263329979964,386.10080199991353,['space'],1,[0.41429880005307496],2.837240349734202,3.865424749907106,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.4146867999807,None,378.9291416275994,-2.0,6.515442175522428e-05,1,"[0.7788921077960012, 0.4137343890755082, 0.7664712180087675, 0.5419609978650562]","[1946.6601329978344, 172.85142390140237, 2818.945548962965, 588.6041462514011]",None,"[0.0, 3.0, 1.3796732531242775, 7.0]",False,387.4892034998629,390.48757039988413,390.48757039988413,391.71665550000034,['space'],1,[0.4506082001607865],3.5274531496688724,4.5510825496166945,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.0813749998342,None,1174.8038044534576,1.2434726372087108,5.92696461124486e-05,1,"[0.6830926542943092, 0.6830926542943092, 0.6830926542943092, 0.6830926542943092]","[1864.8847950456616, 1661.4234733855892, 1480.1600427274916, 1318.6726847084722]",Tone,"[0.8193351004128218, 3.0, 5.0, 6.954440554421228]",False,393.10259619983844,396.18819119990803,396.18819119990803,397.4033337999135,['space'],1,[0.4432091999333352],3.779560849769041,4.8001967498566955,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.9370085999835,None,,,,,"[0.5223172285914786, 0.5716997479757532, 0.7028107500571386, 0.43566303049618615]","[514.5172382191207, 458.38274799052226, 408.3726026024025, 363.81862818211454]",Tone,"[7.0, 6.59044577893951, 5.597592726781405, 4.2479600298789695]",True,398.94671539985575,401.7911332999356,401.7911332999356,402.9984005999286,None,1,,3.234415400074795,4.256584499962628,None,1,None,1,0,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.2477849998977,None,4544.143538654922,-5.0,6.825724996154673e-05,1,"[0.7413225158142991, 0.7264132124179234, 0.7625675858603409, 0.40415706544313423]","[145.51431634095186, 1901.104027014448, 1145.7635822388959, 490.8923397229682]",None,"[5.0, 0.8193351004128218, 7.243472637208711, 6.908020731256669]",False,404.26301349978894,407.53743859985843,407.53743859985843,408.7584015999455,['space'],1,[0.5473861000500619],3.641796999843791,4.660738099832088,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.9858006997965,None,574.3491774985172,-4.0,3.7760398549436506e-05,1,"[0.6107284846741767, 0.6107284846741767, 0.6107284846741767, 0.6107284846741767]","[911.7224885582166, 812.2523963562353, 723.6346187201888, 644.6851542197893]",Tone,"[6.0, 5.735065782666709, 6.240015226198375, 6.595400128776029]",False,410.0106768999249,412.8734451998025,412.8734451998025,414.07883949996904,['space'],1,[0.569161499850452],3.4835801497101784,4.491526349680498,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.5420855998527,None,3501.2875285779,-3.384767311581766,5.092102944712638e-05,1,"[0.450354484150046, 0.450354484150046, 0.450354484150046, 0.450354484150046]","[1389.4868765269243, 1750.6437642889505, 2205.6729294948473, 2778.973753053848]",Major_3rd,"[6.162415204904671, 2.0, -0.4963369915670208, 1.3796732531242775]",False,415.5491203998681,417.9152134999167,417.9152134999167,419.1431762999855,['space'],1,[0.46449919999577105],2.822248199954629,3.848352799890563,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
,,,,0,0,0,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.45747999986634,None,615.5722066724584,-4.0,3.370283309245974e-05,0,"[0.4691749348477907, 0.570193968516564, 0.5109843077354956, 0.7464605634899335]","[860.7380981341178, 285.396908148906, 7222.824850869467, 178.8422918017298]",None,"[5.761142002011438, 1.9331993152652034, -1.7816767057240748, 2.4902543309199405]",False,420.48649229994044,423.0821701998357,423.0821701998357,424.30955070001073,None,0,,3.3261295498814434,4.358080249745399,None,1,None,1,,,,,,,,,,,,klxufm,001,fr,0,0,2022-05-09_16h56.39.686,Cluster,2022.1.1,36.28772245089252,
