tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_late.rt,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_frequency,Audiogram_both,Audiogram_none,Audiogram_time,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.89910540002165,None,7070.585686692437,8.0,0.0003852386420603116,1,"[0.7506844029259028, 0.41375615583965153, 0.7238122081861615, 0.6024355838244929]","[222.57867228700806, 181.91552943490015, 2955.6099580279865, 169.02186072314092]",None,"[16.0, 15.301736209859286, 18.0, 15.593117235502163]",False,233.89804820000427,236.79986319999443,236.79986319999443,238.01727479998954,['space'],1,3.5111921666539274,4.55337996664457,None,1,,"['space', 'space', 'space']",0,"[-2.2166509999660775, -1.304501499980688, -0.4087039000005461]",[0.36050070001510903],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.4841987999971,None,2690.437723261824,11.634980621918327,0.0002827084975410428,1,"[0.6681408298922977, 0.6681408298922977, 0.6681408298922977, 0.6681408298922977]","[4270.803672160748, 3804.8535169570637, 3389.73912096881, 3019.914237701273]",Tone,"[16.01533696934428, 17.730040329576703, 18.14131397789337, 18.113642233224674]",False,239.50005360000068,242.52740600000834,242.52740600000834,243.755796500016,['space'],1,3.7024285666411743,4.733943666622508,None,1,,"['space', 'space', 'space', 'space']",0,"[-2.5678546999697573, -1.671339699998498, -0.7762350999983028, 0.2952473000041209]",[0.7890726000186987],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.27640879998216,None,,,,,"[0.5949336563673685, 0.6028096808063541, 0.49358480085719164, 0.4861197379883899]","[196.33008561169328, 220.37307004045581, 247.36040758983495, 277.6526697739275]",Tone,"[15.349362697800428, 16.0, 17.918162811098448, 21.0]",True,245.26784679997945,247.99488220002968,247.99488220002968,249.22749409999233,None,1,3.193579866667278,4.226838666654658,None,1,,"['space', 'space', 'space', 'space']",0,"[-2.2270417000399902, -1.5075273000402376, -0.8045317000360228, -0.004133000038564205]",,0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.53490309999324,None,353.5533905932738,18.0,0.0007038727582816146,1,"[0.4861020391062344, 0.4861020391062344, 0.4861020391062344, 0.4861020391062344]","[1781.7974362806788, 1189.2071150027211, 793.7005259840998, 529.7315471796477]",Perfect_5th,"[17.633147810913545, 14.273568653459192, 17.0, 28.0]",False,250.55539400002453,253.0297581999912,253.0297581999912,254.2662553000264,['space'],1,2.960887833382003,3.9818365333485417,None,1,,"['space', 'space', 'space', 'space']",0,"[-2.030017899989616, -1.3268755999743007, -0.5275341999949887, 0.3062295999843627]",[0.8443595999851823],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.5758613999933,None,353.5533905932738,19.0,0.0007897582242723967,1,"[0.567404708741947, 0.41317632710299207, 0.7977536126449564, 0.6059331612738008]","[222.72467953508485, 250.00000000000003, 280.6155120773433, 314.9802624737183]",Tone,"[16.0, 17.918162811098448, 21.0, 24.0]",False,255.6034040999948,258.4098230000236,258.4098230000236,259.63938820001204,['space'],1,3.401049966691062,4.4176989666884765,None,1,,"['space', 'space', 'space']",0,"[-1.9223176999948919, -1.026771100005135, -0.08157340000616387]",[0.31868590001249686],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06757840001956,None,1989.8924435735023,11.68494805930083,0.0002854696151099009,1,"[0.6812047733900319, 0.6812047733900319, 0.6812047733900319, 0.6812047733900319]","[5014.2147533700045, 3979.784887147005, 3158.757358232149, 2507.107376685002]",Major_3rd,"[13.816603791135027, 17.003046537838127, 18.242212058307175, 17.495035524627113]",False,261.07610449998174,264.13983240001835,264.13983240001835,265.366302200011,['space'],1,3.7681525666848756,4.802497966680676,None,1,,"['space', 'space', 'space']",0,"[-2.6451709999819286, -0.8204707999830134, 0.108102299971506]",[0.636657600000035],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.9217134999926,None,353.5533905932738,19.0,0.0007897582242723967,1,"[0.6925212053137717, 0.7075623242711917, 0.7079041757317203, 0.5894334045278873]","[429.6111822991842, 529.0244436041817, 168.9271460873917, 1494.9863720234948]",None,"[30.56888273247342, 28.0, 15.593117235502163, 16.799106454687937]",False,266.95910680003,270.0998641999904,270.0998641999904,271.3158896000241,['space'],1,3.7312072332715616,4.772367333294824,None,1,,"['space', 'space', 'space', 'space']",0,"[-2.588718599989079, -1.6126273999689147, -0.6527926999842748, 0.4037192000541836]",[0.9340482000261545],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.765100300021,None,,,,,"[0.5216475599899539, 0.7162827806280807, 0.41278575675814233, 0.5967203454473351]","[679.552552761558, 514.4968147068046, 326.0999573326212, 957.2939839767253]",None,"[21.0, 29.0, 25.0, 14.79019500895358]",True,272.7779923999915,275.46952159999637,275.46952159999637,276.68712499999674,['space'],0,3.284100366581697,4.30179606663296,None,1,,"['space', 'space', 'space']",0,"[-2.1498540999600664, -1.4145532000111416, -0.38994039996759966]",[0.5062373999971896],0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.11493959999643,None,2384.172625828846,11.495035524627113,0.0003129982523576261,1,"[0.5740548488333845, 0.5855054707298113, 0.4348823467153187, 0.6338192044677728]","[6007.738555729792, 4768.345251657692, 3784.6381343144944, 3003.869277864896]",Major_3rd,"[12.404123558701539, 14.0, 17.730040329576703, 18.113642233224674]",False,278.1197194000124,280.7536410000175,280.7536410000175,281.99419689999195,['space'],1,3.2663756666588597,4.28537716664141,None,1,,"['space', 'space', 'space', 'space']",0,"[-2.1859518000273965, -1.4976087000104599, -0.6979513000114821, 0.10196429997449741]",[0.8778204999980517],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.44671109999763,None,1856.9876902426074,11.736035787077933,0.00026397806367524026,1,"[0.7113705027086092, 0.6741290560094408, 0.7957409587981784, 0.42945497710816555]","[152.6780193435222, 331.0899982567468, 5162.428027341792, 5459.594069300828]",None,"[16.00998635593256, 25.684115313435463, 13.0, 12.95884971653413]",False,283.45383399998536,286.6498255999759,286.6498255999759,287.8760877000168,['space'],1,3.652536866720766,4.690819466719404,None,1,,"['space', 'space', 'space']",0,"[-2.6419129999703728, -1.6035192999988794, -0.05113059998257086]",[0.4697320999694057],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,11,0,11,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.1941031999886,None,189.4645708137998,16.0,0.001916924246771917,1,"[0.7090621990880392, 0.7090621990880392, 0.7090621990880392, 0.7090621990880392]","[477.4208019552084, 378.9291416275996, 300.7562590205292, 238.7104009776042]",Major_3rd,"[30.0, 29.1779254713205, 23.0, 17.0]",False,289.2012582999887,292.34064589999616,292.34064589999616,293.5687655999791,['space'],1,3.848174566635862,4.8906699666404165,None,1,,"['space', 'space', 'space', 'space']",0,"[-2.7646173000102863, -1.8853709999821149, -0.8451482999953441, 0.25876689999131486]",[0.46549279999453574],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,12,0,12,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.1382512000273,None,7219.293944959927,8.0,0.0003965614763356646,0,"[0.6793258278978221, 0.6793258278978221, 0.6793258278978221, 0.6793258278978221]","[2864.978700674261, 3609.646972479964, 4547.8702033168065, 5729.957401348521]",Major_3rd,"[17.869204681409798, 18.0, 15.0, 12.460225176586967]",False,295.15944820002187,298.22786059998907,298.22786059998907,299.44800929998746,None,0,3.764507866697386,4.787783866690006,None,1,,"['space', 'space', 'space', 'space']",0,"[-3.2448617999907583, -1.9485097999568097, -1.0685749999829568, -0.15594379999674857]",,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.9889161000028,None,189.4645708137998,16.0,0.001916924246771917,1,"[0.6714823836675283, 0.5540064241305341, 0.49580570697325116, 0.5507323421382935]","[954.8416039104168, 637.2803136596312, 425.333580475428, 283.8761072677194]",Perfect_5th,"[14.79019500895358, 23.0, 30.56888273247342, 21.0]",False,301.08410819998244,303.82975919998717,303.82975919998717,305.06260100001236,['space'],1,3.29866433335701,4.3284255333128385,None,1,,"['space', 'space', 'space', 'space']",0,"[-2.237414199975319, -1.5503241999540478, -0.6387955999816768, 0.273902699991595]",[0.8319621999980882],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,14,0,14,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.4570494000218,None,,,,,"[0.6142761834242252, 0.5580504982818963, 0.7161712797215805, 0.44056912365676587]","[2927.1852604025294, 2607.825596251909, 2323.3084808343915, 2069.8325474199382]",Tone,"[18.0, 17.634980621918327, 17.481046052572484, 17.68494805930083]",True,306.4590571000008,309.3638324000058,309.3638324000058,310.5969026000239,['space'],0,3.363027166633401,4.407740966649726,None,1,,"['space', 'space', 'space']",0,"[-2.412501099985093, -1.6122218999662437, -0.5881587999756448]",[0.18553260003682226],0,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.8971715000225,None,189.4645708137998,16.0,0.001916924246771917,1,"[0.577511360106506, 0.7278316073887205, 0.6410643817862716, 0.6841066827673568]","[4746.879726127198, 578.6532295591779, 1587.0290705447278, 1585.2332000681943]",None,"[14.0, 26.0, 17.0, 17.0]",False,311.9069299999974,314.88547129998915,314.88547129998915,316.1098422000068,['space'],1,3.67412763327593,4.700917833310086,None,1,,"['space', 'space', 'space']",0,"[-2.414422800007742, -1.51755679998314, -0.301699000003282]",[0.10481250000884756],,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
