tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,feedback.rt,Catch trial answer,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.51181529997848,None,309.02079031715573,3.7112583188771513,0.00016090457310424634,1,"[0.4321435188108189, 0.4321435188108189, 0.4321435188108189, 0.4321435188108189]","[490.5399276294974, 437.021392721774, 389.3417985757343, 346.86410926957586]",Tone,"[2.0, 3.5168375051606526, 5.0, 6.0]",False,203.5253971000202,205.8439120000694,205.8439120000694,207.0786294999998,['space'],1,2.748680700547993,3.780593900475651,None,1,None,1,[0.4287552998866886],,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.33260600012727,None,378.9291416275994,-8.0,3.2654564398085426e-05,0,"[0.7398463753628094, 0.6112234571055404, 0.7376889342144909, 0.439133691330296]","[150.37812951026456, 189.46457081379972, 238.71040097760408, 300.75625902052906]",Major_3rd,"[3.6893224035748413, 2.9238165415902073, 3.5253033140191206, 6.0]",False,210.29272670019418,213.41800329997204,213.41800329997204,214.65414050011896,None,0,3.5686865001916885,4.599900500383228,None,1,None,1,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.89504860015586,None,189.4645708137998,2.0,0.0003824766710234111,1,"[0.4439201621863321, 0.4439201621863321, 0.4439201621863321, 0.4439201621863321]","[2033.4059973440374, 1202.9061879345518, 1357.719955029666, 2178.81085114385]",None,"[5.879256653915908, 8.0, 9.103541586562777, 4.0]",False,218.64245739998296,220.9918908001855,220.9918908001855,222.22629620018415,['space'],1,2.8121419509407133,3.8212636508978903,None,1,None,1,[0.38406339986249804],,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.49768809997477,None,,,,,"[0.6713397332051403, 0.6713397332051403, 0.6713397332051403, 0.6713397332051403]","[4266.804331586613, 4789.325929768015, 5375.836593148599, 6034.172553722057]",Tone,"[0.8358100735481013, 1.9130873754749476, 2.566116844466812, 3.8729078284856655]",True,224.51550350012258,227.56652510003187,227.56652510003187,228.8029165000189,None,1,3.720679000252858,4.722995700314641,None,1,None,1,,0,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.2646235001739,None,378.9291416275994,-8.0,3.2654564398085426e-05,0,"[0.40431362102351054, 0.6943580129195481, 0.6726615670556193, 0.5612731841340597]","[244.17415655706859, 3958.0332853537766, 4602.934768424377, 3112.7767450614156]",None,"[4.0, 0.4940193753806348, 1.3072675182586222, 0.1755438318443634]",False,232.24820550018921,235.041449500015,235.041449500015,236.27477850019932,None,0,3.3573066506069154,4.368494950700551,None,1,None,1,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.6314687000122,None,1833.882979208179,5.0,0.000119697913880101,1,"[0.6065403635725514, 0.4746259241634258, 0.44772723945350346, 0.5036246742866199]","[1155.2738842741533, 1296.7510905006916, 1455.5538851908193, 1633.803995395953]",Tone,"[7.374753143792167, 9.0, 9.58105541366995, 9.26681740728439]",False,238.63022910011932,241.18028840003535,241.18028840003535,242.41526400018483,['space'],1,3.0468039002735168,4.078022300265729,None,1,None,1,[0.3215539997909218],,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,10,0,10,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.73946320009418,None,189.4645708137998,2.0,0.0003824766710234111,1,"[0.46405047777922065, 0.46405047777922065, 0.46405047777922065, 0.46405047777922065]","[954.8416039104168, 637.2803136596312, 425.333580475428, 283.8761072677194]",Perfect_5th,"[5.0, 1.493318367043476, 4.0, 5.596181116739962]",False,245.83859990001656,248.25446290010586,248.25446290010586,249.48951550014317,['space'],1,2.8690339005552232,3.9015239004511386,None,1,None,1,[0.29040389973670244],,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,11,0,11,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.76873020012863,None,189.4645708137998,2.0,0.0003824766710234111,1,"[0.5522190950152583, 0.7157922493759836, 0.7729163344822382, 0.7046716667536579]","[300.7562590205293, 267.9433656340734, 238.71040097760422, 212.666790237714]",Tone,"[6.0, 4.941271169810042, 3.5253033140191206, 3.0]",False,252.88037390005775,255.96213370002806,255.96213370002806,257.1963221000042,['space'],1,3.7832110507879406,4.8009939508046955,None,1,None,1,[0.31565749971196055],,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.6944605000317,None,,,,,"[0.5365925119259476, 0.5440219538993905, 0.7181040338261618, 0.6557988638148806]","[1877.0973668751878, 1252.8121877313156, 836.1518189868555, 558.0643860602115]",Perfect_5th,"[7.260159745099018, 8.303968446146236, 4.0, 1.3517870611377325]",True,259.69033790007234,262.5371964001097,262.5371964001097,263.77029670006596,['space'],0,3.474806700600311,4.49900730047375,None,1,None,1,[0.6261076997034252],0,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.21976820006967,None,3490.986099118153,-2.0335231655902617,5.9349024439155056e-05,0,"[0.6617735462979755, 0.6617735462979755, 0.6617735462979755, 0.6617735462979755]","[692.6993757683147, 1037.8763768617255, 1555.057520375053, 2329.953687728246]",Perfect_5th,"[2.335362874573512, 6.0, 9.6570143092373, 3.0]",False,266.2138459000271,269.2419192001689,269.2419192001689,270.4766298001632,None,0,3.660288200248033,4.686277900356799,None,1,None,1,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.91308360011317,None,6293.179701914708,2.0,0.00016326569922814712,1,"[0.5815856268336881, 0.7473458634146488, 0.6679927184666885, 0.5666783527112125]","[1194.9337976769127, 631.3735174331802, 716.358984912823, 305.8776816967392]",None,"[8.0, 1.493318367043476, 2.335362874573512, 6.0]",False,272.9075027999934,275.9310167999938,275.9310167999938,277.1514129000716,['space'],1,3.5949110004585236,4.611741000320762,None,1,None,1,[0.007721399888396263],,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.54739080020227,None,574.3491774985172,-8.0,2.3825200795266207e-05,0,"[0.7022645447037487, 0.7989167887005413, 0.509065102411596, 0.7752270988403461]","[5927.453790079256, 155.94487455936397, 1695.5925856630186, 292.88931213146896]",None,"[3.8729078284856655, 3.6893224035748413, 9.0, 5.596181116739962]",False,280.663588500116,283.69267010013573,283.69267010013573,284.8971483001951,None,0,3.835658200783655,4.840111800702289,None,1,None,1,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.50515890005045,None,288.3131585463326,3.3038114442381756,0.00018562209105747377,1,"[0.5183610413508573, 0.4108164204256919, 0.6702342633209966, 0.5382468907160199]","[384.4784146656118, 310.44098797443604, 7921.096196138157, 1382.7786578703772]",None,"[5.0, 6.059135077977032, 4.8691857842181205, 9.58105541366995]",False,287.5110185001977,290.1315522000659,290.1315522000659,291.3650181000121,['space'],1,3.1492776004597545,4.181990300305188,None,1,None,1,[0.34636049973778427],,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.7348677001428,None,,,,,"[0.7598860849370886, 0.7598860849370886, 0.7598860849370886, 0.7598860849370886]","[4426.21080882507, 2954.1412952889427, 1971.6527679005844, 1315.9203465891803]",Perfect_5th,"[1.0, 0.1755438318443634, 6.0, 9.103541586562777]",True,293.7523235999979,297.076379599981,297.076379599981,298.30637900019065,None,1,4.082998600322753,5.105913400184363,None,1,None,1,,0,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
,,,,0,0,0,0,18,0,18,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.8831964000128,None,8000.0,0.0,0.0001815390273850507,0,"[0.5222323739742258, 0.5222323739742258, 0.5222323739742258, 0.5222323739742258]","[1587.4010519681997, 2378.4142300054423, 3563.5948725613575, 5339.359416680138]",Perfect_5th,"[9.26681740728439, 2.0, 0.17184970796578725, 2.566116844466812]",False,301.99490140005946,304.58060950017534,304.58060950017534,305.8154498001095,None,0,3.128326650476083,4.153240050654858,None,1,None,1,,,eqdcwr,001,fr,0,0,2022-04-21_12h04.23.970,Cluster,2022.1.1,35.08088775823293,
