tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_none,Audiogram_both,Audiogram_frequency,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.60285990010016,None,,,,,"[0.7528151299551018, 0.7227412715311827, 0.7763731773209825, 0.6117579877376111]","[321.02428465769634, 1090.4064510545857, 2389.266851380864, 245.52482924347115]",None,"[24.315909985835255, 18.586177919475155, 5.645867847083637, 23.493321563251698]",True,140.6182051000651,143.89900259999558,143.89900259999558,145.11476810008753,['space'],0,[0.20529870002064854],3.908163266722113,4.9363259667297825,None,1,None,1,0,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.5849313000217,None,439.432229817825,17.0,0.0005276993487103839,1,"[0.6171945261861388, 0.7643703034840312, 0.691969024011001, 0.6168306826884519]","[2939.7074677908377, 314.77276389578, 1325.523888115247, 242.19153964194447]",None,"[5.868312522825567, 24.12229882851687, 13.921523164452413, 23.493321563251698]",False,146.60033290006686,149.70498570008203,149.70498570008203,150.9380778000923,['space'],1,[0.45910650002770126],3.736769166775048,4.779831366729923,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.41618390008807,None,353.5533905932738,16.0,0.0005591060055563458,1,"[0.5303216753364274, 0.5303216753364274, 0.5303216753364274, 0.5303216753364274]","[3600.172938799975, 695.5943270741209, 435.5287063473878, 450.7478183660237]",None,"[5.734165779963748, 17.900269021903046, 23.0, 23.0]",False,152.42774980003014,155.03735770005733,155.03735770005733,156.25092520006,['space'],1,[0.6941443999530748],3.147566833300516,4.181550533394329,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.63986780005507,None,2442.0450551853,-0.3541321529163633,8.123043218965363e-05,1,"[0.48120665580990174, 0.48120665580990174, 0.48120665580990174, 0.48120665580990174]","[143.40371153223165, 3638.4437280392776, 1478.6296658390957, 127.7608445101558]",None,"[25.657864776754597, 5.96600276660487, 10.0, 25.0]",False,157.6413774000248,160.11498080007732,160.11498080007732,161.3401576000033,['space'],1,[0.4600597999524325],2.95116756670177,3.962981366785243,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,7,0,7,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.64426540001296,None,189.4645708137998,19.0,0.002707727468763026,1,"[0.7203696898144099, 0.5732749433996791, 0.505113658531936, 0.5767560379767056]","[6965.443506155512, 892.9779345466665, 226.45192863153974, 3512.469491814201]",None,"[6.823176576205113, 18.693979025111148, 23.531253110563384, 5.734165779963748]",False,162.6847562000621,165.51013400009833,165.51013400009833,166.75401070003863,['space'],1,[0.5494225999573246],3.388723666779697,4.411771766724996,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.14115520007908,None,,,,,"[0.5246771394499149, 0.7781081984821305, 0.4354540626050472, 0.5547656079930245]","[5282.365801234752, 3525.556197896487, 2353.0264605342036, 1570.4567487188542]",Perfect_5th,"[9.5808718829304, 5.734165779963748, 5.260599938988865, 8.0]",True,168.14050710003357,170.90873550006654,170.90873550006654,172.14601720008068,['space'],0,[0.6797626999905333],3.3204975666012615,4.358225466683507,None,1,None,1,0,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.5334135000594,None,176.7766952966369,20.0,0.003500209769801159,1,"[0.6648714428195889, 0.6648714428195889, 0.6648714428195889, 0.6648714428195889]","[182.26570037029174, 5080.335840325863, 4907.343116436396, 5812.848496417388]",None,"[25.0, 9.028398643114974, 9.0, 9.668480869467476]",False,173.53829870000482,176.56385480007157,176.56385480007157,177.7884478000924,['space'],1,[0.3655231000157073],3.6791666666977108,4.7035360666923225,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.28898410010152,None,5637.771551936099,3.6684808694674773,0.0001971417477140245,1,"[0.6397194403543653, 0.7835584122796296, 0.6081517256786281, 0.4830181056367441]","[1704.9925929435622, 3181.2062807121765, 6384.471221225843, 255.84873916202514]",None,"[6.0, 5.743745439073422, 8.207358387276932, 23.493321563251698]",False,179.28659910010174,182.3360058000544,182.3360058000544,183.57227510004304,['space'],1,[0.41271060006693006],3.5291491666575894,4.5550804666709155,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,11,0,11,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.8875775000779,None,4802.7686012329095,3.0,0.00019659045050352819,1,"[0.7002929627188341, 0.6482087207398883, 0.6162905666077028, 0.4114202123381106]","[7623.919929956959, 6792.14049280324, 6051.109258467499, 5390.925481695834]",Tone,"[5.0, 7.0, 9.204042212469089, 9.5808718829304]",False,184.89381860010326,187.88312900008168,187.88312900008168,189.11048380006105,['space'],1,[0.7251144000329077],3.4176709667081013,4.456819966784678,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.3854363000719,None,,,,,"[0.7587135287659699, 0.6264206843142662, 0.7006239447431817, 0.7435082460316403]","[2947.9481956754275, 1967.5193698081018, 1313.1616343356823, 876.430242239163]",Perfect_5th,"[5.868312522825567, 4.741683434789566, 14.0, 18.693979025111148]",True,190.37826390005648,193.48827030009124,193.48827030009124,194.71982670004945,['space'],0,[0.3989668999565765],3.8754524666583166,4.909462666721083,None,1,None,1,0,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.32829440000933,None,7854.518229264711,-2.0,0.0001406986678733194,1,"[0.4741265972577257, 0.4741265972577257, 0.4741265972577257, 0.4741265972577257]","[725.7557450121027, 5865.0818680434895, 2091.7427537720923, 142.56059454691967]",None,"[17.900269021903046, 9.204042212469089, 4.886897647501437, 25.657864776754597]",False,196.33432710007764,198.76881780009717,198.76881780009717,199.99114160006866,['space'],1,[0.40381509996950626],2.9223984667332843,3.964079766650684,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.3366027000593,None,329.87697769322364,13.0,0.00042327263585907523,1,"[0.7308106259343984, 0.7253645069862424, 0.734365966734805, 0.6243166859971079]","[6190.362760064764, 3722.5927701874725, 5243.832638918965, 7758.064531153298]",None,"[9.0, 5.96600276660487, 9.5808718829304, 5.0]",False,201.42372680001426,204.6582634000806,204.6582634000806,205.8890998000279,['space'],1,[0.04503929999191314],3.838310399907641,4.854991799918935,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.3143432000652,None,1118.0066178605064,12.0,0.00019502601892845543,1,"[0.5586039753365055, 0.5586039753365055, 0.5586039753365055, 0.5586039753365055]","[704.3000358821126, 790.5500609006011, 887.3624406495883, 996.0306627243413]",Tone,"[17.900269021903046, 18.300670454568305, 18.693979025111148, 19.027493468965773]",False,207.31694240006618,210.01439990010113,210.01439990010113,211.248573900084,['space'],1,[0.2709227999439463],3.25634636671748,4.297200666624121,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.6548727999907,None,,,,,"[0.6425821950579379, 0.6425821950579379, 0.6425821950579379, 0.6425821950579379]","[4063.5500352846702, 2712.0942682560135, 1810.1057587671214, 1208.1006535325218]",Perfect_5th,"[6.493070110718627, 5.898987380816954, 5.031499804641566, 16.0]",True,212.67392910004128,215.61611500009894,215.61611500009894,216.8377838000888,['space'],0,[0.013634599978104234],3.6135384666267782,4.645843166625127,None,1,None,1,0,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.35082430008333,None,394.35129561259964,18.0,0.0006197414617698789,1,"[0.7738973292501624, 0.6886022381522992, 0.42586728750814773, 0.47718147966291447]","[812.757387984905, 748.3289922476229, 474.26414234112883, 745.7317464978526]",None,"[18.300670454568305, 17.99259359280647, 22.0, 17.99259359280647]",False,218.36776920000557,221.27839750004932,221.27839750004932,222.5137601000024,['space'],1,[0.330576500040479],3.410555966780521,4.452610366744921,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
,,,,0,0,0,0,18,0,18,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.86209050007164,None,189.4645708137998,19.0,0.002707727468763026,0,"[0.6270116876267443, 0.6208196675486409, 0.5895236803009276, 0.6168094310335102]","[477.4208019552084, 378.9291416275996, 300.7562590205292, 238.7104009776042]",Major_3rd,"[22.0, 24.14720206948669, 24.0, 23.531253110563384]",False,223.8812120000366,226.75188110000454,226.75188110000454,227.9911623999942,None,0,,3.497556333313696,4.532042033271864,None,1,None,1,,,,,,,rdzaqd,001,fr,0,0,2022-05-06_14h32.44.031,Cluster,2022.1.1,None,
