tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_both,Audiogram_none,Audiogram_frequency,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.15495160000864,None,6753.105417481032,-6.842698339097231,6.538089008619882e-05,0,"[0.44220976358192743, 0.43506691529765784, 0.7731095919950367, 0.4249712681388378]","[1287.7458880718734, 3731.6734731758784, 582.6144911982889, 590.4908123896291]",None,"[6.779769909718749, 1.5900489658360026, 6.263239677530973, 6.263239677530973]",False,165.1740579000034,167.84764399999403,167.84764399999403,169.05808079999406,None,0,,3.106855566671584,4.13949796668021,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.350927099993,None,353.5533905932738,-2.0,7.038727582816145e-05,1,"[0.553635237223566, 0.4662282683011928, 0.7438934134721169, 0.5445551258757808]","[7141.377438697402, 907.5973662992424, 219.170468382599, 370.37123501109517]",None,"[-1.0, 3.8546879595060357, 4.771495999328634, 6.350034686406117]",False,170.8593097999983,173.64528280001832,173.64528280001832,174.8666452000034,['space'],1,[0.24407620000420138],3.360333966673352,4.379062266671099,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,3,0,3,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.27209539999603,None,,,,,"[0.7190212211503091, 0.7190212211503091, 0.7190212211503091, 0.7190212211503091]","[376.95203795802377, 496.4232690076809, 1021.2835523050505, 236.29130814754936]",None,"[6.350034686406117, 6.541656715615594, 4.054859515048216, 5.070289962807075]",True,176.28739670000505,179.47247350000544,179.47247350000544,180.70927890000166,None,1,,3.9085057666525245,4.932031266653212,None,1,None,1,0,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.25695159999304,None,353.5533905932738,-2.0,7.038727582816145e-05,1,"[0.5771872751371472, 0.5771872751371472, 0.5771872751371472, 0.5771872751371472]","[222.72467953508485, 250.00000000000003, 280.6155120773433, 314.9802624737183]",Tone,"[4.771495999328634, 5.347903196485904, 5.809202697236832, 6.0]",False,182.27397569999448,185.03964500001166,185.03964500001166,186.2505591000081,['space'],1,[0.3676319000078365],3.33020616666181,4.368890466663288,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,5,0,5,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.68392790001235,None,1249.304680684988,0.0,5.448014141213442e-05,1,"[0.7414685004142112, 0.6961208597378179, 0.5017275975361031, 0.6614273906864379]","[672.8839073416219, 3242.8760624618653, 1072.8897897918812, 767.2352096184504]",None,"[5.521429633254154, 3.0000000000000004, 4.482667266406526, 4.555734982903949]",False,187.69306550000329,190.66524160001427,190.66524160001427,191.8863355999929,['space'],1,[0.3931462000182364],3.6429574666544795,4.6818815666483715,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.40809169999557,None,189.4645708137998,-4.0,0.00019169242467719167,1,"[0.5811172928215123, 0.7037022735740225, 0.7819504158235121, 0.7406061565528832]","[1526.2497499284389, 160.54854745659537, 744.9225181045719, 2672.3281551520777]",None,"[8.38635033036424, 3.7753546007495498, 4.555734982903949, 5.811982983314229]",False,194.30920300001162,197.40446680001332,197.40446680001332,198.62088709999807,['space'],1,[0.38099249999504536],3.8141369999793824,4.836884499993175,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.18330979999155,None,,,,,"[0.43479067151330864, 0.43479067151330864, 0.43479067151330864, 0.43479067151330864]","[2789.5626021404582, 3269.125953359514, 249.1878382752044, 308.6034002294869]",None,"[5.0, 2.998486563333788, 5.347903196485904, 6.0]",True,200.18370389999473,202.51384450000478,202.51384450000478,203.73531170000206,None,1,,2.76186976666213,3.785673266655067,None,1,None,1,0,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.9970386000059,None,835.3607104558247,-2.0,3.1275157974511315e-05,0,"[0.5700598805634526, 0.4756008001475358, 0.7676830096333956, 0.5739614055000646]","[236.4100615597376, 323.4950041418917, 142.51955982143096, 4478.547521064453]",None,"[5.070289962807075, 6.142930026355189, 3.6043672322220215, 0.48058042627284525]",False,205.006509800005,207.8367804000154,207.8367804000154,209.04941730000428,None,0,,3.409539266664069,4.442213066649856,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.4903883000079,None,1611.4838258394202,2.9336866976871354,8.027946589331113e-05,1,"[0.49904466518510615, 0.49904466518510615, 0.49904466518510615, 0.49904466518510615]","[2558.0711203672345, 2278.982282046991, 2030.3423937402094, 1808.8294359691406]",Tone,"[6.0, 7.674840210994211, 8.963804799751824, 9.250582882084911]",False,210.4941819999949,213.01641199999722,213.01641199999722,214.2268718999985,['space'],1,[0.4465139999811072],3.012684866669588,4.045082166674547,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.58598649999476,None,145.15787186554604,-2.3956327677779785,0.0004123106386177723,1,"[0.7130131680071111, 0.5603199266353543, 0.5873536701990574, 0.7630809564619592]","[365.7749166426885, 290.3157437310921, 230.4237585008329, 182.88745832134424]",Major_3rd,"[6.2570440306439075, 5.809202697236832, 5.0, 4.0]",False,215.59078640001826,218.45949549999204,218.45949549999204,219.68702360001043,['space'],1,[0.46464419999392703],3.6419146666303277,4.669766166654881,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,11,0,11,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.2880739000102,None,,,,,"[0.7948690815327403, 0.5250698688169244, 0.7353777816482877, 0.7818780837307571]","[3917.880730393416, 2614.8716714069674, 1745.217460267115, 1164.7929100789768]",Perfect_5th,"[1.101626449771853, 6.0, 9.240647661617327, 5.127535793346383]",True,221.2968913000077,224.36533600001712,224.36533600001712,225.5906251000124,None,1,,3.8649483666813467,4.8883983666601125,None,1,None,1,0,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.2112741000019,None,4000.0,-2.0,6.667607160816621e-05,1,"[0.7331430594124395, 0.4318775561970127, 0.424762043144848, 0.783890295845148]","[1131.1997502033657, 877.6446279637456, 7582.003943909041, 1137.9654230315996]",None,"[5.0, 3.9001281672132606, -1.069734284184654, 5.0]",False,227.22623070000554,229.8423283000011,229.8423283000011,231.08218240001588,['space'],1,[0.3891379999986384],3.3816597666882444,4.4173463666811585,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.6966713000147,None,189.4645708137998,-4.0,0.00019169242467719167,1,"[0.76660725073047, 0.76660725073047, 0.76660725073047, 0.76660725073047]","[300.7562590205293, 267.9433656340734, 238.71040097760422, 212.666790237714]",Tone,"[5.994234888331151, 5.5936566629773345, 5.070289962807075, 4.771495999328634]",False,232.7776886000065,236.10398169999826,236.10398169999826,237.31597799999872,['space'],1,[0.3657375999900978],4.099287133343751,5.1281339333509095,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,14,0,14,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.94642180000665,None,3556.0172383737654,-4.0,4.804518189283565e-05,1,"[0.4255690969183703, 0.4255690969183703, 0.4255690969183703, 0.4255690969183703]","[2240.15048620807, 2514.4839032703485, 2822.412752505783, 3168.051199352137]",Tone,"[8.0, 6.781753329484543, 4.824661604593502, 3.0000000000000004]",False,238.9361026000115,241.25126910000108,241.25126910000108,242.47423870000057,['space'],1,[0.36568840002291836],2.717056366673205,3.7414614666777197,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.71174379999866,None,615.5722066724584,-5.0,3.0037681611419803e-05,1,"[0.41132554916370156, 0.41132554916370156, 0.41132554916370156, 0.41132554916370156]","[387.78619045843374, 435.27528164806216, 488.5799842171231, 548.4124898473132]",Tone,"[6.350034686406117, 6.50084471269436, 6.541656715615594, 6.456672943607029]",False,244.4143093000166,246.6673570999992,246.6673570999992,247.90421000000788,['space'],1,[0.3399004000239074],2.675126400019508,3.706809900002554,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.16570599999977,None,,,,,"[0.6703529748252932, 0.6703529748252932, 0.6703529748252932, 0.6703529748252932]","[1036.2918560526764, 7321.608670376627, 677.0143349954105, 581.2425748702772]",None,"[4.482667266406526, -1.0, 5.521429633254154, 6.263239677530973]",True,249.16832769999746,252.19576210001833,252.19576210001833,253.4161529999983,['space'],0,[0.48357530002249405],3.7102847666537855,4.726366166636581,None,1,None,1,0,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
,,,,0,0,0,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.93518240001868,None,323.64446284189853,0.14293002635518903,9.797600099119798e-05,1,"[0.4576274563121668, 0.4576274563121668, 0.4576274563121668, 0.4576274563121668]","[1304.919075998108, 2391.465464174955, 1431.6714166188442, 145.09048170040012]",None,"[6.779769909718749, 7.0, 7.634769891063657, 3.6043672322220215]",False,254.94087260001106,257.34182490000967,257.34182490000967,258.574475100002,['space'],1,[0.5476577999943402],2.864566466654651,3.887282966665225,None,1,None,1,,,,,,,,,,,,,qmbami,001,fr,0,0,2022-04-27_15h01.28.884,Cluster,2022.1.1,36.05161293298902,
