tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_time,Audiogram_none,Audiogram_both,Audiogram_frequency,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.19439730001613,None,202.88132956550018,15.510250927933381,0.001549340696875982,0,"[0.6218114800667912, 0.798666680499475, 0.46360415435944025, 0.5019478126893572]","[721.9479510703457, 3688.7593903216625, 2264.480662690947, 141.6930233478021]",None,"[34.0, 42.04590300125809, 42.965464858798846, 23.165536251453887]",False,247.20911409996916,250.1271067999769,250.1271067999769,251.34059270005673,None,0,3.4282638400327414,4.4656140400329605,None,1,['space'],0,[0.4303211000515148],,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,2,0,2,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.69960110005923,None,195.6620900330204,15.759269502676142,0.0017260039641600266,1,"[0.7754050746743114, 0.7577660455251112, 0.6602371658950931, 0.7981600875430381]","[986.0751435961131, 658.1262004392656, 439.24654070991403, 293.16189417295686]",Perfect_5th,"[36.0, 34.77164448763786, 30.304489664930905, 23.0]",False,252.71383310004603,255.94746449997183,255.94746449997183,257.1627929999959,['space'],1,4.014151540235616,5.038271040190011,None,1,None,1,,[0.3574017999926582],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.77494499995373,None,,,,,"[0.6544273933586349, 0.4347656026399489, 0.7537989858035586, 0.472151630715244]","[2252.995410423214, 3057.243797439471, 1684.4794097080878, 353.5863033645966]",None,"[42.965464858798846, 44.0, 43.33907123251382, 25.508643194256045]",True,258.79429310001433,261.6719560000347,261.6719560000347,262.87309899996035,None,1,3.3645192401017994,4.359422940062359,None,1,None,1,,,0,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.1778886000393,None,353.5533905932738,24.0,0.0014044107891325048,0,"[0.49603758697453065, 0.6642568072160857, 0.4096078532928442, 0.7432092601138731]","[890.8987181403395, 707.1067811865477, 561.2310241546866, 445.4493590701697]",Major_3rd,"[34.0, 34.14547453139008, 35.0, 31.0]",False,264.19163120002486,266.7779494000133,266.7779494000133,267.99138250004034,None,0,3.3494015401229262,4.372730240109377,None,1,"['space', 'space']",0,"[-3.6215015000198036, 0.4922698000445962]",,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,5,0,5,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.60670839995146,None,353.5533905932738,25.0,0.0015757748228274538,1,"[0.6438755429107285, 0.7821692635560139, 0.6527326387793883, 0.4778865289654415]","[4388.055430722283, 2608.6230310165806, 638.1482732979412, 2982.7070346691703]",None,"[39.0, 43.605416509454585, 35.0, 44.0]",False,269.61146130005363,272.7012106999755,272.7012106999755,273.9277249999577,['space'],1,3.574212940176949,4.600031840149313,None,1,None,1,,[0.47655789996497333],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,6,0,6,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.25381320004817,None,5858.144647076096,33.0,0.005409375658667302,0,"[0.7426112484983911, 0.7508020776639726, 0.665558341536064, 0.4086446186227873]","[1162.403121918809, 1741.6368237544993, 2609.506778380392, 3909.8424732050116]",Perfect_5th,"[40.0, 43.33907123251382, 43.605416509454585, 41.0]",False,275.2447708999971,278.42277629999444,278.42277629999444,279.63708959997166,None,0,3.6113536400953308,4.633986740140244,None,1,None,1,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.9122180000413,None,5377.732712187132,31.363495548070134,0.005135897820730571,1,"[0.6838016839417065, 0.6838016839417065, 0.6838016839417065, 0.6838016839417065]","[1444.16315125567, 155.4249028668143, 243.70677482580538, 361.20112426743674]",None,"[43.15895965915695, 22.78182025365567, 21.633804144956393, 26.0]",False,280.9144891999895,283.9860904000234,283.9860904000234,285.1958154999884,['space'],1,3.79480864002835,4.820007040048949,None,1,None,1,,[0.26191630004905164],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,8,0,8,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.7606649999507,None,,,,,"[0.6457119759581391, 0.6457119759581391, 0.6457119759581391, 0.6457119759581391]","[2255.2994850349473, 2841.4992950125975, 3580.0647750478133, 4510.598970069894]",Major_3rd,"[42.965464858798846, 43.91363634999545, 43.0, 38.15120362747138]",True,286.75496120005846,289.72255760000553,289.72255760000553,290.95002510002814,['space'],0,3.629325040266849,4.638018040219322,None,1,None,1,,[0.5087857999606058],0,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.4213125000242,None,125.0,22.0,0.00909850429304992,1,"[0.6364780559481421, 0.6385632968408151, 0.4184948583672801, 0.7644890165714961]","[314.9802624737183, 250.00000000000003, 198.42513149602496, 157.49013123685916]",Major_3rd,"[24.0, 21.633804144956393, 21.51025092793338, 22.78182025365567]",False,292.4333941000514,295.14014979999047,295.14014979999047,296.3536092999857,['space'],1,3.4733929401263595,4.4938000401016325,None,1,None,1,,[0.33825979998800904],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.9760753000155,None,1422.4897809763245,37.15895965915695,0.003621463282899039,1,"[0.6562319869909563, 0.42709894929074094, 0.45119970184068303, 0.7334282665870091]","[2656.1596308196504, 456.96775094852126, 5768.585991460571, 163.00964593590808]",None,"[43.605416509454585, 32.0, 38.0, 22.427865668147323]",False,297.9633342999732,300.5303409000626,300.5303409000626,301.7337523000315,['space'],1,3.312987340032123,4.335940640070476,None,1,None,1,,[0.2884351999964565],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,11,0,11,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.33395909995306,None,582.5853779140006,29.20901132748202,0.0016906808497863927,1,"[0.4839714308357475, 0.7671953097226418, 0.5813542122397246, 0.6773429776609394]","[2936.0463239792366, 1959.5758234684547, 1307.8599532168785, 872.891794613423]",Perfect_5th,"[44.0, 43.0, 42.41586704910984, 33.83510414802811]",False,303.3468944999622,306.19642030005343,306.19642030005343,307.40335649996996,['space'],1,3.532519940054044,4.54529474012088,None,1,None,1,,[0.3102749999379739],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.9342056000605,None,,,,,"[0.717473372365871, 0.46455209458338065, 0.679742106213636, 0.5088219716054596]","[192.04818190652054, 287.74715005184, 431.1335912737682, 645.9705108847456]",Perfect_5th,"[21.75926950267614, 22.622938488500367, 30.0, 35.0]",True,308.95187340001576,311.8472827000078,311.8472827000078,313.05913559999317,None,1,3.4044989402173087,4.406023740186356,None,1,None,1,,,0,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.3872746999841,None,353.5533905932738,24.0,0.0014044107891325048,1,"[0.5954895552854322, 0.5954895552854322, 0.5954895552854322, 0.5954895552854322]","[140.30775603867167, 176.77669529663694, 222.72467953508487, 280.6155120773433]",Major_3rd,"[23.165536251453887, 22.08165514605822, 21.381870299461333, 22.622938488500367]",False,314.414591299952,317.23002470005304,317.23002470005304,318.44052780000493,['space'],1,3.3972347400849685,4.4230680401669815,None,1,None,1,,[0.281693400000222],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,14,0,14,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.88541650003754,None,1148.6983549970344,32.0,0.0020013670815014115,0,"[0.7249137702971187, 0.4028043807725446, 0.5979152715743242, 0.70457651606904]","[5789.07694976151, 3863.7453156993806, 2578.740616879157, 1721.1028744886592]",Perfect_5th,"[38.0, 41.0, 43.605416509454585, 43.33907123251382]",False,319.97184550005477,322.7163280999521,322.7163280999521,323.9180383000057,None,0,3.440111560164951,4.461392960161902,None,1,['space'],0,[0.5287408999865875],,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.47986860002857,None,176.7766952966369,25.0,0.006224350964454479,1,"[0.798612727170698, 0.7497421397434898, 0.5995380375242323, 0.5179063754810551]","[3115.5559696672444, 517.5565974641145, 453.1935622387136, 302.07772841279393]",None,"[44.0, 34.0, 31.0, 23.0]",False,325.5133510000305,328.6980263000587,328.6980263000587,329.9129732999718,['space'],1,3.672158840112388,4.677182840066962,None,1,None,1,,[0.34110779990442097],,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.24482170003466,None,,,,,"[0.7247713458290989, 0.7247713458290989, 0.7247713458290989, 0.7247713458290989]","[775.7189272039375, 615.6885205375868, 488.67230259305484, 387.85946360196874]",Major_3rd,"[33.61213434736711, 35.20851958385715, 33.0, 27.0]",True,331.23073219996877,334.42504190001637,334.42504190001637,335.6282589000184,None,1,3.936150440131314,4.958204840077087,None,1,None,1,,,0,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
,,,,0,0,0,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.2174615999684,None,1850.8580661517738,37.095439700475254,0.004872770705132075,0,"[0.6724937831511697, 0.6724937831511697, 0.6724937831511697, 0.6724937831511697]","[367.2567551566441, 550.2633952819665, 824.4635392971612, 1235.2995555557327]",Perfect_5th,"[26.0, 35.0, 33.45210865578541, 41.24673339425587]",False,337.2074055999983,340.23877159995027,340.23877159995027,341.4647078999551,None,0,3.723962340154685,4.730231740162708,None,1,None,1,,,,,,,,bihhjl,001,fr,0,0,2022-06-23_11h09.35.468,Cluster,2022.1.1,36.42254817810165,
