tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,answer_too_late.rt,Audiogram_none,Audiogram_time,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.45532089995686,None,353.5533905932738,-1.0,7.897582242723967e-05,1,"[0.6798817725357794, 0.5890509923925806, 0.5826046485696643, 0.6838930494117785]","[219.11868349853341, 564.146330137555, 5072.352603144437, 618.4907055765337]",None,"[10.432425410968461, 3.0, -3.1701608221140987, 5.458044982307854]",False,164.9489615999628,167.81639259995427,167.81639259995427,169.04189860005863,['space'],1,3.540963133214973,4.573728033225052,None,1,None,1,,[0.2524097999557853],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.57325869996566,None,3295.50128192991,1.0,8.030662822213928e-05,1,"[0.45880713442077736, 0.45880713442077736, 0.45880713442077736, 0.45880713442077736]","[5231.282201698089, 4660.5426077232, 4152.071435059032, 3699.075119121211]",Tone,"[-3.5611283207333813, -2.3823907161649984, 0.0, 3.2278384853111417]",False,170.58449080004357,172.97722230001818,172.97722230001818,174.21602799999528,['space'],1,2.872508666710928,3.9039928667480126,None,1,None,1,,[0.14445180003531277],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.52330520004034,None,,,,,"[0.6135289912177535, 0.6795471415137908, 0.4678297003125757, 0.5347437124971625]","[430.7152391447958, 388.11519435517795, 130.56197918764605, 7306.85474659616]",None,"[2.0, 3.0, 9.701383027368967, -7.0]",True,175.53659390006214,178.3343289999757,178.3343289999757,179.56508249999024,['space'],0,3.334992066840641,4.358258866821416,None,1,None,1,,[0.012718199985101819],0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.92693199997302,None,392.23112760957133,-3.0,5.5624179660762383e-05,1,"[0.6289096586834855, 0.5746358748042287, 0.5163826829989115, 0.6555122869874292]","[856.8338046344655, 254.88836798672284, 6582.373012129049, 760.3293633121376]",None,"[13.68805040169973, 9.542511536681426, -5.1394793270469705, 12.0]",False,180.94551750004757,183.69233290001284,183.69233290001284,184.9272999999812,['space'],1,3.393975766724907,4.415529966820031,None,1,None,1,,[0.04438269999809563],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.40401169995312,None,2389.6085499526343,2.0,0.00010505523823541659,1,"[0.505773758340822, 0.7850699892721673, 0.5373719119277443, 0.7090536678440489]","[948.3167814967542, 1194.8042749763174, 1505.3590565470445, 1896.633562993508]",Major_3rd,"[13.0, 4.0, -2.5412642016218587, 1.0]",False,186.41738810006063,189.28254279994871,189.28254279994871,190.4934233999811,['space'],1,3.580581666668877,4.6075565667124465,None,1,None,1,,[0.7068159999325871],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,6,0,6,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0593407000415,None,176.7766952966369,0.0,0.0003500209769801159,1,"[0.5929100625531396, 0.7358898859011992, 0.7178437586201323, 0.6068927475007054]","[227.47855641931062, 2269.4561996868206, 438.26067363300183, 706.2629318852943]",None,"[10.096333932716702, 6.990211164607461, 1.8810953384182945, 9.95723379361977]",False,192.08391230006237,195.15253810002469,195.15253810002469,196.37298210000154,['space'],1,3.6778290667571127,4.71103016671259,None,1,None,1,,[0.6094640000956133],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.84887970006093,None,176.7766952966369,-1.0,0.0003119565241000184,1,"[0.7095472919868588, 0.7095472919868588, 0.7095472919868588, 0.7095472919868588]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[1.8810953384182945, 4.607193576852355, 8.0, 10.432425410968461]",False,197.8570214000065,201.01065620000008,201.01065620000008,202.24855150002986,['space'],1,3.845489466795698,4.875933866831474,None,1,None,1,,[0.684736599912867],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,8,0,8,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.78011920000426,None,,,,,"[0.693582134388739, 0.5636722188557924, 0.6337514193997741, 0.7213481135582697]","[564.227591167389, 845.3861928151821, 1266.6481153888221, 1897.8278351995837]",Perfect_5th,"[3.0, 13.68805040169973, 2.0, 1.0]",True,203.77031599998008,206.6735743000172,206.6735743000172,207.89426780003123,None,1,3.654233766719699,4.679762866697274,None,1,None,1,,,0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.4799846999813,None,191.6045448573918,4.5436193710008,0.0004994586069358162,1,"[0.5937750506239796, 0.5937750506239796, 0.5937750506239796, 0.5937750506239796]","[322.7506057986979, 161.23504235724158, 191.68662225314395, 4452.437042948975]",None,"[6.0, 10.245471099602025, 10.543619371000801, -2.0]",False,209.47397070005536,212.269745000056,212.269745000056,213.4924759999849,['space'],1,3.4189705667085946,4.458232866716571,None,1,None,1,,[0.22805360006168485],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,10,0,10,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.96802330005448,None,475.1295583190313,-4.487824520861921,4.3374626591147907e-05,1,"[0.6655417484746173, 0.6521804762485817, 0.4759644251317681, 0.445095158059891]","[791.5917847686133, 3382.758237351954, 546.8223079298358, 5220.565525609043]",None,"[13.0, 6.0, 3.0, -3.5611283207333813]",False,214.97967070003506,217.79995699995197,217.79995699995197,219.03164489998017,"['space', 'space']",1,3.2679477666970342,4.283944366732612,None,1,None,1,,"[0.16871989995706826, 0.3444231000030413]",,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,11,0,11,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.31212749995757,None,353.5533905932738,-1.0,7.897582242723967e-05,0,"[0.4857494682527302, 0.4857494682527302, 0.4857494682527302, 0.4857494682527302]","[723.8101853809986, 6268.830585359399, 2334.4315277698042, 6521.393300618877]",None,"[11.0, -5.0, 7.0, -5.1394793270469705]",False,220.34271630004514,222.82387369999196,222.82387369999196,224.03756640001666,None,0,2.9486451667035,3.977105066762306,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,12,0,12,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.36962150002364,None,176.7766952966369,-1.0,0.0003119565241000184,0,"[0.6632302575320345, 0.6192649171672489, 0.5213244373122379, 0.4404446567801715]","[445.44935907016975, 353.55339059327383, 280.6155120773433, 222.72467953508485]",Major_3rd,"[1.8810953384182945, 4.607193576852355, 8.0, 10.432425410968461]",False,225.44070549996104,228.27766270004213,228.27766270004213,229.50902530003805,None,0,3.2550785333150998,4.291506733396091,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,13,0,13,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.78159759996925,None,,,,,"[0.748813545266396, 0.748813545266396, 0.748813545266396, 0.748813545266396]","[5948.504122881956, 4721.3308511499945, 3747.322779902708, 2974.252061440978]",Major_3rd,"[-4.306355949430751, -2.3823907161649984, 3.0, 9.206231582890727]",True,230.80185170006007,234.0722200999735,234.0722200999735,235.31649200001266,None,1,4.032327766763046,5.048370666685514,None,1,None,1,,,0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,14,0,14,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.89307120000012,None,549.8471690580236,-3.0,4.5073861059707734e-05,0,"[0.798339810999513, 0.6816567357706258, 0.5912892350932688, 0.7350777262999059]","[872.8279745844433, 777.6013237143092, 692.764022521309, 617.1825796379793]",Tone,"[13.68805040169973, 12.0, 9.0, 5.458044982307854]",False,236.88256030005869,239.9855908000609,239.9855908000609,241.2001310000196,None,0,3.8329232666874304,4.853008366771974,None,1,['space'],0,[0.49455740000121295],,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,15,0,15,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.7730109000113,None,353.5533905932738,0.0,8.861233020703779e-05,1,"[0.48160892959785184, 0.6503999539637642, 0.5892703495753223, 0.48581493182919827]","[140.30775603867167, 176.77669529663694, 222.72467953508487, 280.6155120773433]",Major_3rd,"[9.883499719674859, 10.41839078124893, 10.432425410968461, 8.0]",False,243.32856759999413,246.09214530000463,246.09214530000463,247.30605340003967,['space'],1,3.216922833235003,4.255622433265671,None,1,None,1,,[0.5462098000571132],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.63449920003768,None,605.2073519450856,-1.0,4.904759963013282e-05,1,"[0.5259584593261583, 0.73588027444181, 0.5574182559508202, 0.5732717003524979]","[240.17669678412943, 302.60367597254293, 381.25674113337425, 480.3533935682587]",Major_3rd,"[10.0, 7.0, 3.5416604876652187, 1.5121754791380786]",False,248.6434378999984,251.48175340006128,251.48175340006128,252.69916219997685,['space'],1,3.4170223667751998,4.438606266747229,None,1,None,1,,[0.5172337000258267],,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,17,0,17,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.12057020002976,None,,,,,"[0.6979989589963376, 0.5457995771018793, 0.4171712630825639, 0.539237343190574]","[3672.202551647082, 4121.90799792869, 4626.685294297824, 5193.2786523203895]",Tone,"[4.0, 0.0, -2.3823907161649984, -3.5611283207333813]",True,254.11851169995498,256.8067616999615,256.8067616999615,258.0202798000537,['space'],0,3.225743666640483,4.255786766647361,None,1,None,1,,[0.01720429991837591],0,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
,,,,0,0,0,0,18,0,18,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.4079786000075,None,1319.5079107728945,-7.0,2.3577555098377164e-05,0,"[0.4152475168115814, 0.7220772998801192, 0.5564476583728392, 0.5712837258433052]","[523.6470614103137, 659.7539553864475, 831.2378961427881, 1047.294122820627]",Major_3rd,"[2.0, 7.672047411979337, 13.29151386160071, 10.0]",False,259.44650299998466,262.1741247000173,262.1741247000173,263.394184499979,None,0,3.3029634333215654,4.336247233324684,None,1,None,1,,,,,,,,,nefynm,001,english,0,0,2022-05-06_09h50.37.702,Cluster,2022.1.1,None,
