tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,API_start,API_stop,API_duration,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_frequency,Audiogram_none,Audiogram_time,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.26975729991682,None,1650620154.9556587,1650620155.9262438,0.9705851078033447,329.87697769322364,8.0,0.0002380236949658044,1,"[0.4604100457940005, 0.7720375831703754, 0.595510817955133, 0.684570160119615]","[207.80947403569695, 233.25824788420186, 261.8235307051567, 293.8869765709022]",Tone,"[9.0, 9.192667839365058, 8.326813114499995, 7.805538975869702]",False,55.258261899929494,58.103586399927735,58.103586399927735,None,['space'],1,3.5340513403061777,None,None,1,,[0.28726729983463883],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,2,0,2,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.108770800055936,None,1650620160.7939444,1650620161.8455753,1.051630973815918,329.87697769322364,8.0,0.0002380236949658044,1,"[0.5564055779768436, 0.5526883971390139, 0.5108648904484268, 0.6854786607906587]","[1129.3227454590974, 4511.535315386866, 959.3668382847527, 188.33248361309148]",None,"[4.902815181024003, -1.825371943492379, 3.0, 8.2776971649791]",False,61.177563100121915,63.837905700085685,63.837905700085685,None,['space'],1,3.3239921000786126,None,None,1,,[0.3882689999882132],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9169006999582,None,,,,467.8765244620072,6.778057821337688,0.0001594915569886882,1,"[0.5834503626822491, 0.5834503626822491, 0.5834503626822491, 0.5834503626822491]","[1178.9749638426729, 935.7530489240145, 742.7076871222152, 589.4874819213364]",Major_3rd,"[5.0, 2.8793151476970755, 4.013998995952191, 8.0]",False,65.92548909992911,68.71310709998943,68.71310709998943,None,['space'],1,3.3508846601471305,None,None,1,,[0.38630009978078306],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,4,0,4,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.68629670003429,None,,,,,,,,"[0.5566378368418684, 0.5566378368418684, 0.5566378368418684, 0.5566378368418684]","[2817.9983790582082, 3550.4554763450683, 4473.29359136168, 5635.996758116416]",Major_3rd,"[-0.1909083371422149, -1.0852869259872637, -1.825371943492379, -1.099175111788238]",True,70.69897049991414,73.3846130000893,73.3846130000893,None,['space'],0,3.246719660004601,None,None,1,,[0.5500179000664502],0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,5,0,5,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.52833770005964,None,1650620176.2102978,1650620177.2027268,0.9924290180206299,329.87697769322364,8.0,0.0002380236949658044,1,"[0.6081959056096888, 0.6081959056096888, 0.6081959056096888, 0.6081959056096888]","[6707.078258165876, 7960.929413135279, 368.66665194332467, 749.3178545182213]",None,"[-1.090804645452339, -2.619118340294624, 7.693636570531561, 4.013998995952191]",False,76.53452429990284,79.38935970002785,79.38935970002785,None,['space'],1,3.447918260237202,None,None,1,,[0.1897689001634717],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.19727659993805,None,1650620181.8833127,1650620182.9567606,1.0734479427337646,164.93848884661182,5.0,0.0006991046927313053,1,"[0.7964508893904263, 0.7964508893904263, 0.7964508893904263, 0.7964508893904263]","[261.82353070515677, 233.25824788420192, 207.809474035697, 185.13719403582058]",Tone,"[8.326813114499995, 9.192667839365058, 9.0, 8.0]",False,82.28939409996383,85.69765400001779,85.69765400001779,None,['space'],1,4.206254420336336,None,None,1,,[0.27326989988796413],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,7,0,7,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.80253700003959,None,,,,2204.6956550341433,-1.3124095463239152,6.822173686035765e-05,1,"[0.6102917690462257, 0.6102917690462257, 0.6102917690462257, 0.6102917690462257]","[3499.7362020709184, 3117.9104962543206, 2777.742464389283, 2474.6872008483992]",Tone,"[-1.0852869259872637, -0.41565361304880266, -0.1909083371422149, 0.12274927998099194]",False,87.8234361000359,90.69843120011501,90.69843120011501,None,['space'],1,3.4795210601296276,None,None,1,,[0.13602309999987483],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47226139996201,None,,,,,,,,"[0.4089280953656435, 0.5834787829444642, 0.4931470219954748, 0.4337642013206509]","[276.7780634967465, 1145.245619471953, 2123.249091898563, 3755.3639413611154]",None,"[8.0, 4.902815181024003, 1.0, -1.4686279785677971]",True,92.491602800088,95.00234000012279,95.00234000012279,96.20700399996713,None,1,2.943526660092175,3.966592060169205,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,9,0,9,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.46900229994208,None,,,,856.0747235531243,0.6695217937040217,4.316396846517386e-05,0,"[0.760451453671003, 0.5333313842427793, 0.5646747618378605, 0.5138048453654983]","[539.2932822437577, 605.3362422268132, 679.4669583658075, 762.6758738458237]",Tone,"[8.89347349739519, 7.334255130632958, 6.0, 4.0]",False,97.48734329990111,100.37023989995942,100.37023989995942,101.57800239999779,None,0,3.3860538599547,4.411245360039175,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.91355850012042,None,1650620203.6007273,1650620204.7256842,1.1249568462371826,203.0630990890589,9.0,0.0007312041673968893,1,"[0.40655436377659115, 0.7902242116857792, 0.5432698556351123, 0.5614411745893857]","[127.92173649959686, 143.58729437462938, 161.1712885549474, 180.90865468004728]",Tone,"[1.0, 3.2164321956632382, 5.989536451728783, 7.250110335393013]",False,104.10857699997723,106.88155809999444,106.88155809999444,None,['space'],1,3.3445361002814025,None,None,1,,[0.30167809990234673],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,11,0,11,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.76172140007839,None,,,,1044.851148200332,1.8497297524169485,5.682875804174897e-05,1,"[0.7081049563854633, 0.6043667994562567, 0.6323014687403044, 0.6306633645382729]","[414.6494529508472, 522.4255741001662, 658.2149778122132, 829.2989059016942]",Major_3rd,"[8.211586807684622, 9.0, 6.218559537063877, 3.2260249263326117]",False,108.76652080006897,111.74997220002115,111.74997220002115,None,['space'],1,3.6027852601837367,None,None,1,,[0.4131076999474317],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.80970910005271,None,,,,,,,,"[0.7420236620080418, 0.6394986540375814, 0.5531810129014065, 0.69690509358182]","[138.17426006430475, 1499.3367003927863, 788.8939515339167, 377.4164031329069]",None,"[2.0, 5.809690816193903, 3.2260249263326117, 7.693636570531561]",True,113.81324260006659,116.78694880008698,116.78694880008698,None,['space'],0,3.6737342602573335,None,None,1,,[0.2596885999664664],0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,13,0,13,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.7632542999927,None,1650620219.4504364,1650620220.6583745,1.2079381942749023,125.0,0.0,0.000722719885372964,1,"[0.5827269703304815, 0.7903263910597997, 0.42390519296378515, 0.6711032433737836]","[198.42513149602502, 176.77669529663694, 157.49013123685918, 140.30775603867164]",Tone,"[8.973732267488668, 7.250110335393013, 5.0, 3.0]",False,119.99076239997521,122.83131800009869,122.83131800009869,None,['space'],1,3.490259420359507,None,None,1,,[0.3823500999715179],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.87876180000603,None,,,,361.7285101317647,5.141178205767744,0.00015632368566412903,1,"[0.6160197087951059, 0.6160197087951059, 0.6160197087951059, 0.6160197087951059]","[2397.8101654306815, 214.8592813678902, 150.74909267193598, 915.82219335944]",None,"[0.12274927998099194, 9.25797861941169, 4.0, 2.8793151476970755]",False,124.89347300003283,127.7600690999534,127.7600690999534,None,['space'],1,3.490794860292226,None,None,1,,[0.4139034999534488],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.82261170004494,None,,,,765.462007754518,1.7911601645047852,4.9085088350158713e-05,0,"[0.4092217022728364, 0.6407118522618659, 0.5786582960703824, 0.5071655932239624]","[189.89906215904043, 618.1188831772914, 5434.187913527345, 2125.070533442971]",None,"[8.2776971649791, 7.334255130632958, -1.3539693998841358, 1.0]",False,129.81925170007162,132.45935910008848,132.45935910008848,133.66199310007505,None,0,3.1611404600553215,4.173157960176468,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,16,0,16,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.00278689991683,None,,,,2467.027851610015,-2.207013510971646,6.605535194494182e-05,1,"[0.7733884343589494, 0.596115151438454, 0.776061362567513, 0.534236878422009]","[979.0406517201466, 1233.5139258050078, 1554.130160460192, 1958.0813034402927]",Major_3rd,"[3.314424444196705, 5.652799643408654, 5.809690816193903, 2.0]",False,135.00179799995385,138.18345679994673,138.18345679994673,None,['space'],1,3.7032415601424873,None,None,1,,[0.3979231999255717],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,17,0,17,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.14052499993704,None,,,,,,,,"[0.7780106170854701, 0.7780106170854701, 0.7780106170854701, 0.7780106170854701]","[746.1520284097583, 471.575049401245, 5904.540894922413, 610.6791167422286]",None,"[4.013998995952191, 9.088737075222543, -1.0, 7.334255130632958]",True,140.1575748999603,143.52866449998692,143.52866449998692,144.753895400092,None,1,4.135186360217631,5.161017460282892,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
