tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,feedback.rt,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.76399180002045,None,1500.6211514955112,10.095998892040232,0.00015461139588711392,0,"[0.4566789464504146, 0.5267159033679689, 0.7671677270197419, 0.4134801147981439]","[1059.6272029872184, 3176.0343450833066, 261.9475449465363, 490.67022300627593]",None,"[13.279640519195809, 10.0, 22.0, 25.0]",False,152.77857470000163,155.56088979996275,155.56088979996275,156.77311109995935,None,0,3.176441319985315,4.195011819945648,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,2,0,2,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0167064999696,None,195.58115399268138,11.0,0.000998925862922165,0,"[0.5457736955073849, 0.5457736955073849, 0.5457736955073849, 0.5457736955073849]","[492.83362575622004, 391.1623079853628, 310.46572959313687, 246.41681287811]",Major_3rd,"[25.0, 30.0, 26.999999999999996, 20.0]",False,158.01369389996398,160.66769469995052,160.66769469995052,161.87170909997076,None,0,3.2139523199293762,4.2379451198503375,None,1,['space'],0,[0.4050527000799775],,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,3,0,3,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.29122609994374,None,446.81331898624046,21.0,0.0008321154164310272,0,"[0.775926853974866, 0.545418459687562, 0.4073580351499151, 0.5482720140459753]","[177.31798314804024, 223.4066594931203, 281.47475298207854, 354.6359662960804]",Major_3rd,"[16.533228341172187, 18.0, 24.0, 29.782625608166118]",False,163.28661680000369,166.03506559995003,166.03506559995003,167.2402596999891,None,0,3.2860401198267937,4.301790119847283,None,1,['space'],0,[0.34890570002608],,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,4,0,4,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.62970059993677,None,353.5533905932738,18.0,0.0007038727582816146,0,"[0.7189251848319593, 0.6866021155376458, 0.7803027953193973, 0.7829801003994382]","[429.45352662423346, 281.4912643965022, 138.06398510305652, 4722.239673413178]",None,"[28.00213892984289, 24.0, 18.0, 7.487080647649432]",False,168.63533099996857,171.84555500000715,171.84555500000715,173.08072840003297,None,0,4.017526509822346,5.023211109917611,None,1,['space'],0,[0.362286499934271],,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.69017409998924,None,353.5533905932738,18.0,0.0007038727582816146,0,"[0.591613171246322, 0.591613171246322, 0.591613171246322, 0.591613171246322]","[140.30775603867167, 176.77669529663694, 222.72467953508487, 280.6155120773433]",Major_3rd,"[17.29647638438854, 16.533228341172187, 18.0, 24.0]",False,174.71455639996566,177.53020459995605,177.53020459995605,178.73144759994466,None,0,3.3899665100034326,4.408598909969442,None,1,['space'],0,[0.4537473999662325],,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,6,0,6,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.15011029993184,None,,,,,"[0.4210885061209089, 0.54035377093357, 0.6192104707589688, 0.4732897770676305]","[5280.48547313377, 4191.124097477671, 3326.497400632663, 2640.242736566885]",Major_3rd,"[7.022136109135772, 7.602375190643109, 9.977041029447504, 13.173429664566957]",True,180.17133819998708,182.7937579000136,182.7937579000136,184.02523209992796,None,1,3.0812778199324384,4.110493819927797,None,1,['space'],0,[0.34309759992174804],0,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,7,0,7,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.32012029993348,None,329.87697769322364,23.0,0.001338505600537739,0,"[0.6088113939723769, 0.4766789535395858, 0.5688260851429093, 0.7890279058548421]","[130.9117653525784, 164.93848884661188, 207.80947403569704, 261.82353070515677]",Major_3rd,"[18.09798957993931, 16.535813243161147, 17.11642891230437, 22.0]",False,185.32451479998417,188.00006140000187,188.00006140000187,189.20176760002505,None,0,3.4715014098910615,4.475330309942365,None,1,['space'],0,[0.36758419999387115],,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.82455140003003,None,199.20296294584986,11.0,0.000952124036139875,0,"[0.5331558170575468, 0.6424622499161239, 0.6585085227795464, 0.5369976494161114]","[3310.0065430200807, 532.3735657204089, 299.4259730045886, 761.4183340257043]",None,"[9.977041029447504, 23.0, 26.0, 18.0]",False,190.81722680001985,193.67867409996688,193.67867409996688,194.89421629998833,None,0,3.389655019971542,4.398493619984947,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,9,0,9,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.26672229997348,None,353.5533905932738,18.0,0.0007038727582816146,1,"[0.6072799793490835, 0.6072799793490835, 0.6072799793490835, 0.6072799793490835]","[191.6006936413892, 498.56099227436897, 624.4587886936189, 2176.2266454558935]",None,"[16.72540755029058, 24.451487491523768, 21.0, 14.174236238575745]",False,196.27855049993377,199.1116717000259,199.1116717000259,200.3434465000173,['space'],1,3.467953009880148,4.484600409865379,None,1,None,1,,,[0.5275899999542162],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7971231000265,None,,,,,"[0.5752606378992586, 0.5923754622055434, 0.5899980881801141, 0.7996095383189389]","[128.62406969545566, 144.37563673224872, 162.05617293244984, 181.9019038109356]",Tone,"[19.0, 17.29647638438854, 16.535813243161147, 16.533228341172187]",True,201.79530460003298,204.5792607999174,204.5792607999174,205.78262810001615,None,1,3.5793057198170573,4.608391119749285,None,1,None,1,,0,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.44113089994062,None,176.7766952966369,22.0,0.004406503025812892,1,"[0.5462214024809449, 0.7896919874383506, 0.5133383445680857, 0.5763007338059131]","[181.64083288100275, 1195.7282140814812, 284.5057818761494, 1303.967092334242]",None,"[16.533228341172187, 14.0, 24.0, 15.507063998267402]",False,207.5094281999627,210.38909650000278,210.38909650000278,211.5927362999646,['space'],1,3.4496975899674,4.469975490006618,None,1,None,1,,,[0.19309790001716465],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,12,0,12,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.01130070001818,None,148.05706118463436,11.0,0.0018359716351608025,0,"[0.7450987091730187, 0.7450987091730187, 0.7450987091730187, 0.7450987091730187]","[2655.6620442817784, 159.31583651685136, 380.0309258022586, 724.5985361388201]",None,"[13.173429664566957, 16.77529653324789, 30.06216040488124, 19.0]",False,213.00794639997184,216.26810590003151,216.26810590003151,217.4925742999185,None,0,4.000384319922887,5.025363320019096,None,1,None,1,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.08181849995162,None,189.4645708137998,21.0,0.003408826918638871,1,"[0.49516289470030367, 0.49516289470030367, 0.49516289470030367, 0.49516289470030367]","[3534.666856329023, 3775.576430366866, 254.04489535777168, 354.1488945065209]",None,"[8.94859108714806, 8.213167330708274, 21.0, 29.782625608166118]",False,219.82167869992554,222.3394514999818,222.3394514999818,223.5536892999662,['space'],1,3.0219668499194086,4.041730949888006,None,1,None,1,,,[0.24072420003358275],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,14,0,14,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.88313029997516,None,,,,,"[0.6890848177036618, 0.6890848177036618, 0.6890848177036618, 0.6890848177036618]","[310.9431939220879, 329.98989882038296, 995.7373458249574, 2438.248679604541]",None,"[26.999999999999996, 28.57696318718835, 13.28722819198618, 13.736246230917883]",True,224.87523609993514,227.98207289993297,227.98207289993297,229.2040483999299,['space'],0,3.7945555199403316,4.823605219949968,None,1,None,1,,0,[0.10771690006367862],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,15,0,15,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.74105780001264,None,6483.96360260622,0.624589840340092,0.00014569312728525486,1,"[0.49874127377460886, 0.49874127377460886, 0.49874127377460886, 0.49874127377460886]","[1286.581330462579, 1927.6939124094984, 2888.277431015249, 4327.526514873349]",Perfect_5th,"[15.0, 14.740833633636964, 12.0, 7.602375190643109]",False,230.73134489997756,233.25579149997793,233.25579149997793,234.47662849992048,['space'],1,3.0250448199221864,4.036251019919291,None,1,None,1,,,[0.3812203999841586],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.81636569998227,None,6015.249213886101,0.48720478398739975,0.00012331489650907858,1,"[0.5167355715844656, 0.6292948244724997, 0.4809410262493373, 0.7280829277447752]","[228.34034233000898, 131.45265847347025, 3023.001987104128, 293.5327749413392]",None,"[18.78141104740799, 18.09798957993931, 11.157465300610848, 25.0]",False,235.80608170002233,238.45734239998274,238.45734239998274,239.68073060002644,['space'],1,3.3679346198914573,4.375465319957584,None,1,None,1,,,[0.45015439996495843],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.2325282000238,None,176.7766952966369,22.0,0.004406503025812892,1,"[0.44001532562076034, 0.44001532562076034, 0.44001532562076034, 0.44001532562076034]","[890.8987181403394, 594.6035575013606, 396.8502629920499, 264.86577358982385]",Perfect_5th,"[15.0, 21.8580067445056, 29.40017881097733, 22.0]",False,241.25748319993727,243.61642159998883,243.61642159998883,244.83852570003364,['space'],1,2.790750209824182,3.79538200981915,None,1,None,1,,,[0.21140539995394647],,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
