tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_both,Audiogram_time,Audiogram_frequency,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,1,0,1,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.20137589995284,None,406.12619817811805,-1.0,6.795016959419142e-05,1,"[0.7205231362050684, 0.520736063359265, 0.7705757174226533, 0.4437677459602988]","[255.84347299919392, 287.174588749259, 322.34257710989505, 361.8173093600948]",Tone,"[12.012059773774315, 13.208387225844973, 13.386035984172485, 13.0]",False,139.87704659998417,142.9081443999894,142.9081443999894,144.14056269999128,['space'],1,[0.3633997000288218],3.4892527802148834,4.510424080188386,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.42987190000713,None,2653.015579978343,-0.4091729245533381,7.287160898974654e-05,1,"[0.6596291604357821, 0.6596291604357821, 0.6596291604357821, 0.6596291604357821]","[691.7607785146191, 6642.300758260719, 1211.186035756442, 191.381879642122]",None,"[6.0, -0.2872264221292191, 5.688239098579929, 8.760153618014385]",False,145.4270515999524,148.44417010003235,148.44417010003235,149.67528049997054,['space'],1,[0.1771573000587523],3.66586261021439,4.6938927101437,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,3,0,3,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.14476349996403,None,,,,,"[0.4661795168303752, 0.556657198459215, 0.5268072101301984, 0.5713958849746871]","[1559.9370360399948, 165.1798767875008, 570.3222494361898, 1561.5460918164645]",None,"[7.231821992746438, 8.421597713268383, 9.118681732301107, 7.231821992746438]",True,151.1522059000563,153.73906599998008,153.73906599998008,154.95445520000067,None,1,,3.1277025199960917,4.149066220037639,None,1,None,1,0,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.34774019999895,None,217.028426843047,4.22167760361431,0.00037733071019251693,1,"[0.41261019576872143, 0.665361980095106, 0.508320965458572, 0.4637428341140223]","[136.7193417025622, 153.46227233096704, 172.25557653882808, 193.35034727448496]",Tone,"[9.749448326053159, 8.696188121303779, 8.432311991088431, 9.0]",False,156.3374529000139,158.93818860000465,158.93818860000465,160.1454751000274,['space'],1,[0.31247550004627556],3.09783831005916,4.129025710048154,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,5,0,5,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.5062375999987,None,6416.178088827976,-6.287226422129219,6.474649577681624e-05,0,"[0.7329078054684783, 0.7329078054684783, 0.7329078054684783, 0.7329078054684783]","[1273.130980977605, 1907.5411585896975, 2858.082417348488, 4282.285112210053]",Perfect_5th,"[6.0, 7.92538900570556, 4.539738028552819, 0.5848890422849387]",False,161.50392559997272,164.72459220001474,164.72459220001474,165.95921630004887,None,0,,3.9650753100868315,4.974665310117416,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,6,0,6,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.51198750000913,None,203.0630990890589,0.0,0.00025944102885580496,0,"[0.7734820029131566, 0.7734820029131566, 0.7734820029131566, 0.7734820029131566]","[566.9590718522883, 406.6016523683701, 1728.528133411243, 1539.6536684799546]",None,"[9.118681732301107, 12.389760054493381, 7.801405455368776, 7.231821992746438]",False,167.5428443000419,170.90710289997514,170.90710289997514,172.133843800053,None,0,,4.1366003102157265,5.1703139102319255,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.7480429999996,None,,,,,"[0.6305589389222829, 0.6305589389222829, 0.6305589389222829, 0.6305589389222829]","[226.9370519322199, 1242.361482729048, 3155.5749468878867, 508.97856614088334]",None,"[11.0, 5.688239098579929, 3.0, 10.774202387751487]",True,173.7517896000063,176.67782149999402,176.67782149999402,177.90262750000693,None,1,,3.5744441100396216,4.584270010120235,None,1,None,1,0,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,8,0,8,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3573616000358,None,3372.6841284111088,-4.0,4.601460447722429e-05,1,"[0.5283981811751017, 0.7242174766312198, 0.4386726972851267, 0.6497468254405965]","[1733.4203838875608, 3978.9876481115148, 387.9718285211105, 6348.303405911187]",None,"[7.801405455368776, 0.7084603997272367, 12.805918243019232, -0.2872264221292191]",False,179.36738920002244,182.0821147999959,182.0821147999959,183.31110130005982,['space'],1,[0.3657275999430567],3.3742169101024047,4.378465510089882,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.77206700004172,None,203.0630990890589,0.0,0.00025944102885580496,1,"[0.5697545527177057, 0.5697545527177057, 0.5697545527177057, 0.5697545527177057]","[322.3425771098949, 287.1745887492588, 255.84347299919378, 227.93062213955423]",Tone,"[13.386035984172485, 13.208387225844973, 12.012059773774315, 11.0]",False,184.7847379000159,187.51475380000193,187.51475380000193,188.748563000001,['space'],1,[0.15566649998072535],3.320980610093102,4.354613910079934,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,10,0,10,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.17429090000223,None,1028.4611979126412,-2.0,3.59377078874414e-05,1,"[0.4424540004029399, 0.4424540004029399, 0.4424540004029399, 0.4424540004029399]","[434.73776585630685, 995.0683295006495, 5218.7459744805265, 581.7207302469773]",None,"[11.917160756346224, 3.994627832510215, 0.558631801578974, 9.0]",False,190.17529939999804,192.52714370004833,192.52714370004833,193.73152529995423,['space'],1,[0.35217550001107156],2.820111110107973,3.835830710013397,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.04493750003166,None,378.9291416275994,-2.0,6.515442175522428e-05,0,"[0.7846519275092495, 0.4425074387651873, 0.6553024027647265, 0.6789798597069159]","[5420.731105061037, 2601.9028261170383, 1434.9228639990197, 7094.794636117282]",None,"[0.558631801578974, 5.590827075446662, 6.797083809598742, -0.6665017941203928]",False,195.05747290002182,197.97849540004972,197.97849540004972,199.20977820002008,None,0,,3.5945343101629987,4.620611110236496,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.71267749997787,None,128.21379037699674,4.0,0.0011000872040235106,1,"[0.423106495225175, 0.5630839525523316, 0.7878793550969584, 0.48883820083322815]","[1510.8242126622247, 263.3322777825749, 4980.182591781417, 139.2474203546628]",None,"[7.231821992746438, 12.726245547506124, 0.6040513895135975, 9.18495440881352]",False,200.71969030005857,203.5057647000067,203.5057647000067,204.72542609996162,['space'],1,[0.3652699999511242],3.304988010087982,4.32290171016939,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,13,0,13,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.07032479997724,None,,,,,"[0.4833331063631975, 0.6239705432221402, 0.6169492964459549, 0.5101035116555178]","[219.57759612746756, 265.3321912995437, 254.84101662216943, 4170.409921205422]",None,"[10.22167760361431, 12.726245547506124, 12.012059773774315, 0.5848890422849387]",True,206.06159000005573,208.81041070003994,208.81041070003994,210.02924810000695,None,1,,3.2815994101110846,4.312439610133879,None,1,None,1,0,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,14,0,14,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.39950739999767,None,2462.2888266898335,-1.0,7.580932840616338e-05,1,"[0.717935608080933, 0.6414659546686992, 0.5130020128582071, 0.48285007530811064]","[488.5799842171232, 732.042847972813, 1096.8249796946263, 1643.3806291715812]",Perfect_5th,"[11.0, 5.0, 4.465980350534826, 7.563702587200398]",False,211.47266830003355,214.37987089995295,214.37987089995295,215.59567109995987,['space'],1,[0.37796630000229925],3.379793389933184,4.40915988991037,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,15,0,15,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.92519980005454,None,203.0630990890589,0.0,0.00025944102885580496,1,"[0.735839097398706, 0.47942935520592017, 0.6776122943490575, 0.5791479351051102]","[3526.957472027729, 536.673438938998, 201.00483558609068, 206.88156243228676]",None,"[1.6228778415857468, 10.0, 9.388390660889556, 9.388390660889556]",False,216.93807599996217,219.85906489996705,219.85906489996705,221.0868322000606,['space'],1,[0.19126150000374764],3.4998199101537466,4.529051310149953,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,16,0,16,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.50428460002877,None,2972.112257016398,-2.0,4.492477300262192e-05,1,"[0.6777501220737736, 0.45881286650620595, 0.4081054166216148, 0.4023922460932899]","[675.720956132843, 625.8120327968404, 2998.934898252367, 796.4292037720124]",None,"[6.939487120190779, 8.0, 3.4549613754624513, 4.178795381812933]",False,222.5095510999672,225.07954770000651,225.07954770000651,226.30704620003235,['space'],1,[0.2260845999699086],2.982091610087082,3.9882827100809664,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,17,0,17,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.52875519997906,None,,,,,"[0.7795874328496872, 0.7795874328496872, 0.7795874328496872, 0.7795874328496872]","[814.8970398107145, 1026.7059339545397, 1293.5684182412997, 1629.7940796214286]",Major_3rd,"[4.178795381812933, 4.0, 6.0, 7.563702587200398]",True,227.53503030003048,230.888842400047,230.888842400047,232.11598020000383,['space'],0,[0.1265068999491632],4.140144719975069,5.168491119984537,None,1,None,1,0,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
